 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -1.7293 -1.7247 -1.7219 -1.7208 -1.7210 -1.7213 -1.7237 -1.7306 -1.7439 -1.7646
 -1.7913
 -2.7018 -2.6555 -2.6091 -2.5572 -2.4999 -2.4381 -2.3736 -2.3099 -2.2508 -2.1975
 -2.1491 -2.1041 -2.0618 -2.0224 -1.9849 -1.8974 -1.8234 -1.7705 -1.7429 -1.7338
 -1.7326 -1.7337 -1.7355 -1.7377 -1.7406 -1.7438 -1.7465 -1.7510 -1.7601 -1.7760
 -1.8001
 -2.6068 -2.5630 -2.5195 -2.4728 -2.4262 -2.3757 -2.3219 -2.2662 -2.2112 -2.1600
 -2.1137 -2.0716 -2.0321 -1.9945 -1.9585 -1.8774 -1.8106 -1.7615 -1.7333 -1.7255
 -1.7288 -1.7360 -1.7437 -1.7510 -1.7579 -1.7643 -1.7706 -1.7773 -1.7864 -1.7982
 -1.8123
 -2.5278 -2.4839 -2.4400 -2.3962 -2.3523 -2.3086 -2.2644 -2.2179 -2.1704 -2.1232
 -2.0792 -2.0395 -2.0033 -1.9688 -1.9357 -1.8603 -1.7976 -1.7514 -1.7235 -1.7146
 -1.7193 -1.7307 -1.7444 -1.7578 -1.7701 -1.7811 -1.7912 -1.8006 -1.8099 -1.8202
 -1.8315
 -2.4652 -2.4165 -2.3699 -2.3253 -2.2825 -2.2413 -2.2018 -2.1632 -2.1236 -2.0832
 -2.0433 -2.0060 -1.9722 -1.9415 -1.9125 -1.8443 -1.7850 -1.7411 -1.7142 -1.7036
 -1.7074 -1.7203 -1.7378 -1.7569 -1.7752 -1.7920 -1.8073 -1.8209 -1.8335 -1.8458
 -1.8586
 -2.4112 -2.3399 -2.2842 -2.2398 -2.2026 -2.1694 -2.1374 -2.1047 -2.0712 -2.0375
 -2.0037 -1.9705 -1.9393 -1.9110 -1.8852 -1.8265 -1.7727 -1.7307 -1.7045
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -3.7816 -3.7540 -3.6861 -3.5249 -3.3333 -3.1475 -2.9902 -2.8599 -2.7415 -2.6287
 -2.5209 -2.4189 -2.3235 -2.2347 -2.1533 -1.9824 -1.8531 -1.7596 -1.7005
 -3.5548 -3.4356 -3.3774 -3.3504 -3.2429 -3.0822 -2.9238 -2.7901 -2.6743 -2.5660
 -2.4632 -2.3663 -2.2759 -2.1927 -2.1170 -1.9600 -1.8436 -1.7618 -1.7076 -1.6722
 -3.4222 -3.2860 -3.1669 -3.0790 -3.0417 -2.9911 -2.8746 -2.7420 -2.6254 -2.5216
 -2.4237 -2.3315 -2.2456 -2.1666 -2.0950 -1.9477 -1.8399 -1.7651 -1.7165 -1.6847
 -1.6636
 -3.3179 -3.1909 -3.0658 -2.9478 -2.8501 -2.7855 -2.7490 -2.6874 -2.5876 -2.4874
 -2.3941 -2.3066 -2.2248 -2.1495 -2.0812 -1.9411 -1.8391 -1.7691 -1.7248 -1.6966
 -1.6776 -1.6650
 -3.2224 -3.1112 -2.9954 -2.8811 -2.7742 -2.6778 -2.5992 -2.5433 -2.5034 -2.4445
 -2.3670 -2.2855 -2.2081 -2.1365 -2.0711 -1.9369 -1.8391 -1.7724 -1.7314 -1.7069
 -1.6909 -1.6801 -1.6733 -1.6709
 -3.1329 -3.0342 -2.9323 -2.8270 -2.7232 -2.6253 -2.5353 -2.4557 -2.3914 -2.3455
 -2.3040 -2.2514 -2.1884 -2.1230 -2.0612 -1.9325 -1.8381 -1.7736 -1.7351 -1.7145
 -1.7024 -1.6945 -1.6896 -1.6874 -1.6867 -1.6888 -1.6951 -1.7068 -1.7246 -1.7479
 -3.0413 -2.9553 -2.8671 -2.7746 -2.6795 -2.5860 -2.4975 -2.4155 -2.3416 -2.2781
 -2.2261 -2.1840 -2.1424 -2.0957 -2.0452 -1.9263 -1.8351 -1.7721 -1.7350 -1.7177
 -1.7103 -1.7066 -1.7049 -1.7048 -1.7061 -1.7080 -1.7121 -1.7205 -1.7348 -1.7559
 -1.7834
 -2.9554 -2.8740 -2.7989 -2.7178 -2.6343 -2.5488 -2.4652 -2.3857 -2.3121 -2.2452
 -2.1861 -2.1348 -2.0910 -2.0518 -2.0129 -1.9144 -1.8293 -1.7677 -1.7311 -1.7156
 -1.7128 -1.7144 -1.7171 -1.7206 -1.7245 -1.7274 -1.7310 -1.7377 -1.7492 -1.7671
 -1.7921
 -2.8821 -2.7988 -2.7275 -2.6559 -2.5820 -2.5067 -2.4308 -2.3561 -2.2852 -2.2194
 -2.1599 -2.1067 -2.0591 -2.0167 -1.9788 -1.8934 -1.8184 -1.7602 -1.7239 -1.7088
 -1.7091 -1.7160 -1.7244 -1.7328 -1.7407 -1.7483 -1.7561 -1.7655 -1.7767 -1.7895
 -1.8037
 -2.8295 -2.7386 -2.6629 -2.5932 -2.5272 -2.4601 -2.3927 -2.3252 -2.2592 -2.1961
 -2.1378 -2.0853 -2.0380 -1.9951 -1.9560 -1.8732 -1.8047 -1.7510 -1.7154 -1.6993
 -1.7001 -1.7106 -1.7246 -1.7387 -1.7520 -1.7642 -1.7756 -1.7865 -1.7973 -1.8092
 -1.8220
 -2.8076 -2.6952 -2.6080 -2.5350 -2.4724 -2.4101 -2.3493 -2.2888 -2.2292 -2.1708
 -2.1151 -2.0639 -2.0177 -1.9760 -1.9380 -1.8562 -1.7905 -1.7402 -1.7061 -1.6891
 -1.6887 -1.7002 -1.7178 -1.7374 -1.7566 -1.7744 -1.7909 -1.8059 -1.8200 -1.8337
 -1.8479
 -2.8138 -2.6686 -2.5626 -2.4825 -2.4179 -2.3597 -2.3036 -2.2483 -2.1941 -2.1412
 -2.0899 -2.0411 -1.9962 -1.9557 -1.9192 -1.8412 -1.7776 -1.7290 -1.6963
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.9801 -3.8715 -3.6592 -3.4349 -3.2173 -3.0310 -2.8918 -2.7738 -2.6643 -2.5611
 -2.4634 -2.3708 -2.2838 -2.2023 -2.1265 -1.9642 -1.8391 -1.7477 -1.6862
 -3.6550 -3.6203 -3.5672 -3.3937 -3.1939 -3.0052 -2.8498 -2.7265 -2.6169 -2.5161
 -2.4212 -2.3318 -2.2479 -2.1698 -2.0978 -1.9458 -1.8312 -1.7489 -1.6932 -1.6570
 -3.5170 -3.3771 -3.3055 -3.2822 -3.1649 -2.9937 -2.8303 -2.6958 -2.5846 -2.4855
 -2.3935 -2.3071 -2.2262 -2.1510 -2.0817 -1.9366 -1.8286 -1.7518 -1.7004 -1.6675
 -1.6464
 -3.4386 -3.2834 -3.1472 -3.0484 -3.0047 -2.9502 -2.8218 -2.6819 -2.5630 -2.4635
 -2.3738 -2.2902 -2.2120 -2.1394 -2.0725 -1.9326 -1.8289 -1.7557 -1.7072 -1.6771
 -1.6583 -1.6462
 -3.3736 -3.2266 -3.0841 -2.9544 -2.8461 -2.7695 -2.7265 -2.6591 -2.5516 -2.4471
 -2.3582 -2.2770 -2.2013 -2.1310 -2.0663 -1.9306 -1.8302 -1.7594 -1.7131 -1.6853
 -1.6692 -1.6591 -1.6531 -1.6503
 -3.3125 -3.1770 -3.0420 -2.9114 -2.7896 -2.6822 -2.5943 -2.5304 -2.4853 -2.4236
 -2.3432 -2.2649 -2.1915 -2.1235 -2.0608 -1.9288 -1.8308 -1.7618 -1.7171 -1.6914
 -1.6782 -1.6710 -1.6671 -1.6661 -1.6670 -1.6708 -1.6791 -1.6927 -1.7119 -1.7352
 -3.2537 -3.1278 -3.0027 -2.8797 -2.7609 -2.6500 -2.5492 -2.4602 -2.3868 -2.3323
 -2.2881 -2.2379 -2.1778 -2.1146 -2.0542 -1.9260 -1.8301 -1.7624 -1.7187 -1.6946
 -1.6842 -1.6807 -1.6800 -1.6813 -1.6842 -1.6880 -1.6942 -1.7047 -1.7208 -1.7432
 -1.7706
 -3.2006 -3.0782 -2.9617 -2.8474 -2.7359 -2.6283 -2.5274 -2.4344 -2.3509 -2.2782
 -2.2183 -2.1720 -2.1315 -2.0884 -2.0404 -1.9211 -1.8274 -1.7607 -1.7175 -1.6942
 -1.6861 -1.6866 -1.6901 -1.6949 -1.7004 -1.7068 -1.7133 -1.7218 -1.7345 -1.7532
 -1.7790
 -3.1609 -3.0314 -2.9181 -2.8108 -2.7066 -2.6059 -2.5092 -2.4178 -2.3332 -2.2562
 -2.1880 -2.1299 -2.0819 -2.0414 -2.0040 -1.9087 -1.8214 -1.7559 -1.7130 -1.6899
 -1.6832 -1.6872 -1.6957 -1.7052 -1.7147 -1.7242 -1.7341 -1.7456 -1.7589 -1.7737
 -1.7900
 -3.1443 -3.0013 -2.8795 -2.7746 -2.6760 -2.5814 -2.4907 -2.4038 -2.3216 -2.2448
 -2.1747 -2.1123 -2.0582 -2.0117 -1.9714 -1.8870 -1.8113 -1.7495 -1.7067 -1.6831
 -1.6762 -1.6823 -1.6950 -1.7098 -1.7245 -1.7383 -1.7518 -1.7648 -1.7779 -1.7920
 -1.8085
 -3.1631 -2.9850 -2.8518 -2.7419 -2.6446 -2.5541 -2.4682 -2.3864 -2.3085 -2.2345
 -2.1654 -2.1021 -2.0456 -1.9961 -1.9527 -1.8656 -1.7966 -1.7398 -1.6987 -1.6744
 -1.6666 -1.6728 -1.6884 -1.7080 -1.7281 -1.7473 -1.7656 -1.7826 -1.7988 -1.8147
 -1.8312
 -3.2255 -3.0042 -2.8444 -2.7209 -2.6174 -2.5266 -2.4437 -2.3654 -2.2916 -2.2215
 -2.1552 -2.0932 -2.0363 -1.9855 -1.9405 -1.8501 -1.7818 -1.7283 -1.6890
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  w   
 -4.0366 -3.8537 -3.6110 -3.3837 -3.1704 -2.9865 -2.8481 -2.7350 -2.6322 -2.5320
 -2.4381 -2.3493 -2.2657 -2.1874 -2.1144 -1.9560 -1.8324 -1.7410 -1.6777
 -3.7426 -3.7275 -3.5771 -3.3620 -3.1559 -2.9662 -2.8156 -2.6958 -2.5914 -2.4932
 -2.4016 -2.3154 -2.2344 -2.1587 -2.0885 -1.9388 -1.8245 -1.7414 -1.6845 -1.6475
 -3.5532 -3.4422 -3.4255 -3.3330 -3.1494 -2.9662 -2.8020 -2.6716 -2.5640 -2.4671
 -2.3778 -2.2941 -2.2156 -2.1423 -2.0745 -1.9306 -1.8220 -1.7440 -1.6910 -1.6569
 -1.6356
 -3.4819 -3.3167 -3.1931 -3.1403 -3.1000 -2.9642 -2.8045 -2.6614 -2.5464 -2.4485
 -2.3610 -2.2796 -2.2034 -2.1324 -2.0666 -1.9272 -1.8224 -1.7477 -1.6974 -1.6655
 -1.6463 -1.6344
 -3.4332 -3.2668 -3.1138 -2.9874 -2.9003 -2.8576 -2.7886 -2.6635 -2.5390 -2.4355
 -2.3479 -2.2684 -2.1943 -2.1254 -2.0615 -1.9258 -1.8238 -1.7513 -1.7029 -1.6730
 -1.6559 -1.6460 -1.6404 -1.6382
 -3.3907 -3.2317 -3.0795 -2.9385 -2.8158 -2.7156 -2.6445 -2.5970 -2.5275 -2.4290
 -2.3374 -2.2586 -2.1863 -2.1192 -2.0571 -1.9247 -1.8249 -1.7540 -1.7071 -1.6786
 -1.6637 -1.6564 -1.6530 -1.6525 -1.6548 -1.6603 -1.6695 -1.6833 -1.7025 -1.7268
 -3.3513 -3.1996 -3.0538 -2.9152 -2.7863 -2.6707 -2.5702 -2.4869 -2.4250 -2.3769
 -2.3178 -2.2475 -2.1779 -2.1126 -2.0521 -1.9229 -1.8250 -1.7552 -1.7091 -1.6819
 -1.6689 -1.6646 -1.6643 -1.6661 -1.6699 -1.6757 -1.6839 -1.6954 -1.7114 -1.7343
 -1.7621
 -3.3186 -3.1682 -3.0286 -2.8958 -2.7701 -2.6530 -2.5461 -2.4507 -2.3676 -2.2981
 -2.2442 -2.1996 -2.1530 -2.1003 -2.0449 -1.9197 -1.8235 -1.7545 -1.7088 -1.6822
 -1.6707 -1.6694 -1.6729 -1.6783 -1.6847 -1.6922 -1.7001 -1.7100 -1.7240 -1.7437
 -1.7700
 -3.3006 -3.1402 -3.0015 -2.8738 -2.7532 -2.6397 -2.5337 -2.4359 -2.3474 -2.2686
 -2.2003 -2.1435 -2.0980 -2.0584 -2.0184 -1.9123 -1.8191 -1.7509 -1.7055 -1.6791
 -1.6686 -1.6698 -1.6774 -1.6873 -1.6977 -1.7082 -1.7194 -1.7311 -1.7443 -1.7608
 -1.7807
 -3.3058 -3.1275 -2.9809 -2.8532 -2.7364 -2.6272 -2.5249 -2.4291 -2.3402 -2.2589
 -2.1858 -2.1215 -2.0665 -2.0206 -1.9813 -1.8944 -1.8125 -1.7461 -1.7005 -1.6736
 -1.6629 -1.6655 -1.6765 -1.6912 -1.7064 -1.7213 -1.7359 -1.7502 -1.7647 -1.7803
 -1.7981
 -3.3454 -3.1349 -2.9728 -2.8376 -2.7194 -2.6127 -2.5138 -2.4214 -2.3350 -2.2544
 -2.1802 -2.1131 -2.0538 -2.0025 -1.9583 -1.8709 -1.7991 -1.7384 -1.6936 -1.6661
 -1.6546 -1.6572 -1.6703 -1.6891 -1.7094 -1.7294 -1.7486 -1.7668 -1.7843 -1.8017
 -1.8193
 -3.4335 -3.1735 -2.9845 -2.8343 -2.7081 -2.5988 -2.5010 -2.4111 -2.3276 -2.2496
 -2.1767 -2.1093 -2.0482 -1.9940 -1.9466 -1.8533 -1.7837 -1.7275 -1.6850
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  w   
 -4.0580 -3.8100 -3.5589 -3.3367 -3.1373 -2.9572 -2.8178 -2.7030 -2.6032 -2.5063
 -2.4154 -2.3297 -2.2490 -2.1735 -2.1029 -1.9484 -1.8259 -1.7338 -1.6683
 -3.8628 -3.7697 -3.5525 -3.3246 -3.1218 -2.9388 -2.7904 -2.6713 -2.5677 -2.4724
 -2.3834 -2.2999 -2.2214 -2.1480 -2.0795 -1.9321 -1.8178 -1.7335 -1.6751 -1.6368
 -3.5943 -3.5539 -3.5074 -3.3255 -3.1216 -2.9381 -2.7790 -2.6511 -2.5444 -2.4495
 -2.3625 -2.2812 -2.2049 -2.1335 -2.0670 -1.9245 -1.8151 -1.7356 -1.6810 -1.6453
 -1.6233
 -3.5119 -3.3502 -3.2727 -3.2523 -3.1236 -2.9463 -2.7825 -2.6427 -2.5295 -2.4334
 -2.3477 -2.2683 -2.1941 -2.1247 -2.0601 -1.9214 -1.8153 -1.7388 -1.6868 -1.6531
 -1.6329 -1.6210
 -3.4775 -3.2942 -3.1402 -3.0361 -2.9938 -2.9317 -2.7921 -2.6477 -2.5237 -2.4227
 -2.3363 -2.2584 -2.1860 -2.1186 -2.0557 -1.9204 -1.8167 -1.7423 -1.6919 -1.6599
 -1.6413 -1.6311 -1.6259 -1.6245
 -3.4544 -3.2716 -3.1044 -2.9596 -2.8456 -2.7688 -2.7225 -2.6452 -2.5289 -2.4187
 -2.3277 -2.2500 -2.1790 -2.1131 -2.0518 -1.9198 -1.8182 -1.7451 -1.6960 -1.6652
 -1.6481 -1.6400 -1.6368 -1.6368 -1.6394 -1.6456 -1.6563 -1.6721 -1.6929 -1.7168
 -3.4372 -3.2573 -3.0904 -2.9381 -2.8039 -2.6904 -2.5986 -2.5314 -2.4801 -2.4117
 -2.3231 -2.2426 -2.1722 -2.1076 -2.0477 -1.9186 -1.8188 -1.7467 -1.6982 -1.6684
 -1.6527 -1.6469 -1.6464 -1.6488 -1.6533 -1.6602 -1.6694 -1.6822 -1.7001 -1.7237
 -1.7513
 -3.4282 -3.2463 -3.0820 -2.9305 -2.7925 -2.6687 -2.5607 -2.4676 -2.3902 -2.3298
 -2.2798 -2.2241 -2.1627 -2.1009 -2.0427 -1.9163 -1.8181 -1.7467 -1.6986 -1.6691
 -1.6545 -1.6508 -1.6536 -1.6592 -1.6664 -1.6749 -1.6854 -1.6976 -1.7127 -1.7324
 -1.7592
 -3.4353 -3.2427 -3.0735 -2.9239 -2.7869 -2.6620 -2.5490 -2.4482 -2.3592 -2.2818
 -2.2166 -2.1636 -2.1190 -2.0754 -2.0290 -1.9112 -1.8149 -1.7442 -1.6962 -1.6669
 -1.6530 -1.6511 -1.6571 -1.6669 -1.6778 -1.6894 -1.7018 -1.7151 -1.7299 -1.7473
 -1.7693
 -3.4660 -3.2509 -3.0735 -2.9209 -2.7848 -2.6608 -2.5479 -2.4449 -2.3520 -2.2687
 -2.1950 -2.1310 -2.0770 -2.0325 -1.9938 -1.9002 -1.8108 -1.7407 -1.6924 -1.6627
 -1.6487 -1.6476 -1.6562 -1.6699 -1.6854 -1.7011 -1.7168 -1.7325 -1.7487 -1.7659
 -1.7854
 -3.5287 -3.2818 -3.0869 -2.9238 -2.7840 -2.6603 -2.5481 -2.4457 -2.3522 -2.2669
 -2.1897 -2.1209 -2.0605 -2.0087 -1.9648 -1.8771 -1.8008 -1.7352 -1.6870 -1.6565
 -1.6419 -1.6408 -1.6508 -1.6678 -1.6877 -1.7082 -1.7283 -1.7477 -1.7667 -1.7857
 -1.8047
 -3.6387 -3.3422 -3.1201 -2.9404 -2.7897 -2.6612 -2.5483 -2.4465 -2.3537 -2.2686
 -2.1906 -2.1196 -2.0560 -1.9999 -1.9513 -1.8568 -1.7856 -1.7259 -1.6798
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  w   
 -4.0381 -3.7620 -3.5108 -3.2968 -3.1060 -2.9333 -2.7959 -2.6770 -2.5765 -2.4839
 -2.3955 -2.3120 -2.2337 -2.1605 -2.0920 -1.9411 -1.8198 -1.7269 -1.6599
 -3.8526 -3.7662 -3.5188 -3.2894 -3.0895 -2.9134 -2.7695 -2.6496 -2.5468 -2.4538
 -2.3669 -2.2855 -2.2091 -2.1376 -2.0707 -1.9256 -1.8112 -1.7255 -1.6652 -1.6252
 -3.6766 -3.6713 -3.5211 -3.3015 -3.0939 -2.9101 -2.7577 -2.6317 -2.5265 -2.4333
 -2.3481 -2.2687 -2.1943 -2.1246 -2.0594 -1.9183 -1.8081 -1.7268 -1.6703 -1.6329
 -1.6098
 -3.5363 -3.4070 -3.3940 -3.2979 -3.1091 -2.9234 -2.7603 -2.6248 -2.5136 -2.4188
 -2.3347 -2.2570 -2.1845 -2.1166 -2.0532 -1.9155 -1.8081 -1.7294 -1.6754 -1.6398
 -1.6181 -1.6060
 -3.5068 -3.3141 -3.1773 -3.1267 -3.0841 -2.9380 -2.7749 -2.6295 -2.5090 -2.4095
 -2.3244 -2.2479 -2.1771 -2.1109 -2.0491 -1.9146 -1.8094 -1.7325 -1.6801 -1.6459
 -1.6255 -1.6147 -1.6097 -1.6086
 -3.5016 -3.2965 -3.1208 -2.9837 -2.8975 -2.8562 -2.7772 -2.6437 -2.5149 -2.4065
 -2.3169 -2.2402 -2.1705 -2.1059 -2.0456 -1.9143 -1.8110 -1.7353 -1.6838 -1.6508
 -1.6315 -1.6221 -1.6188 -1.6193 -1.6229 -1.6303 -1.6420 -1.6588 -1.6806 -1.7052
 -3.5072 -3.2981 -3.1127 -2.9524 -2.8200 -2.7187 -2.6490 -2.5973 -2.5184 -2.4122
 -2.3146 -2.2340 -2.1644 -2.1008 -2.0418 -1.9134 -1.8120 -1.7372 -1.6863 -1.6540
 -1.6358 -1.6279 -1.6268 -1.6293 -1.6345 -1.6423 -1.6531 -1.6675 -1.6866 -1.7112
 -1.7391
 -3.5266 -3.3085 -3.1191 -2.9517 -2.8053 -2.6805 -2.5771 -2.4932 -2.4286 -2.3743
 -2.3088 -2.2302 -2.1588 -2.0956 -2.0375 -1.9116 -1.8119 -1.7379 -1.6871 -1.6552
 -1.6377 -1.6313 -1.6326 -1.6381 -1.6458 -1.6552 -1.6668 -1.6803 -1.6971 -1.7188
 -1.7464
 -3.5613 -3.3270 -3.1304 -2.9592 -2.8077 -2.6745 -2.5586 -2.4589 -2.3734 -2.3013
 -2.2423 -2.1914 -2.1391 -2.0849 -2.0304 -1.9075 -1.8094 -1.7361 -1.6855 -1.6537
 -1.6369 -1.6319 -1.6355 -1.6444 -1.6555 -1.6678 -1.6814 -1.6959 -1.7123 -1.7319
 -1.7556
 -3.6211 -3.3636 -3.1527 -2.9746 -2.8194 -2.6822 -2.5610 -2.4540 -2.3601 -2.2777
 -2.2058 -2.1443 -2.0925 -2.0483 -2.0070 -1.9020 -1.8067 -1.7339 -1.6829 -1.6506
 -1.6337 -1.6294 -1.6349 -1.6468 -1.6619 -1.6779 -1.6946 -1.7117 -1.7295 -1.7481
 -1.7700
 -3.7117 -3.4215 -3.1899 -2.9980 -2.8357 -2.6951 -2.5707 -2.4602 -2.3619 -2.2743
 -2.1966 -2.1280 -2.0681 -2.0167 -1.9735 -1.8838 -1.8007 -1.7300 -1.6788 -1.6457
 -1.6282 -1.6239 -1.6304 -1.6448 -1.6636 -1.6839 -1.7047 -1.7252 -1.7458 -1.7666
 -1.7872
 -3.8445 -3.5067 -3.2471 -3.0359 -2.8600 -2.7118 -2.5838 -2.4707 -2.3700 -2.2797
 -2.1986 -2.1261 -2.0616 -2.0050 -1.9559 -1.8614 -1.7873 -1.7233 -1.6732
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.9762 -3.7004 -3.4610 -3.2590 -3.0709 -2.9036 -2.7727 -2.6585 -2.5558 -2.4644
 -2.3782 -2.2965 -2.2201 -2.1485 -2.0818 -1.9341 -1.8151 -1.7221 -1.6513
 -3.9172 -3.7289 -3.4763 -3.2538 -3.0610 -2.8878 -2.7505 -2.6323 -2.5288 -2.4374
 -2.3522 -2.2724 -2.1977 -2.1278 -2.0623 -1.9192 -1.8048 -1.7175 -1.6550 -1.6129
 -3.7961 -3.7168 -3.5007 -3.2710 -3.0669 -2.8876 -2.7380 -2.6154 -2.5110 -2.4186
 -2.3350 -2.2570 -2.1842 -2.1159 -2.0520 -1.9123 -1.8013 -1.7179 -1.6591 -1.6199
 -1.5953
 -3.6319 -3.5128 -3.4741 -3.2918 -3.0863 -2.9015 -2.7410 -2.6085 -2.4993 -2.4053
 -2.3225 -2.2462 -2.1751 -2.1085 -2.0462 -1.9095 -1.8010 -1.7199 -1.6633 -1.6259
 -1.6026 -1.5896
 -3.5200 -3.3353 -3.2510 -3.2352 -3.1014 -2.9218 -2.7562 -2.6132 -2.4949 -2.3970
 -2.3129 -2.2376 -2.1680 -2.1031 -2.0423 -1.9088 -1.8021 -1.7225 -1.6674 -1.6312
 -1.6089 -1.5969 -1.5919 -1.5911
 -3.5267 -3.3088 -3.1364 -3.0270 -2.9898 -2.9215 -2.7752 -2.6284 -2.5003 -2.3943
 -2.3059 -2.2303 -2.1617 -2.0982 -2.0389 -1.9086 -1.8038 -1.7253 -1.6709 -1.6357
 -1.6143 -1.6032 -1.5995 -1.6002 -1.6045 -1.6124 -1.6252 -1.6436 -1.6663 -1.6918
 -3.5550 -3.3212 -3.1238 -2.9633 -2.8444 -2.7715 -2.7252 -2.6380 -2.5151 -2.4003
 -2.3043 -2.2245 -2.1559 -2.0931 -2.0351 -1.9078 -1.8051 -1.7275 -1.6735 -1.6388
 -1.6182 -1.6082 -1.6060 -1.6085 -1.6141 -1.6225 -1.6342 -1.6501 -1.6709 -1.6966
 -1.7252
 -3.6022 -3.3516 -3.1405 -2.9618 -2.8132 -2.6944 -2.6040 -2.5384 -2.4825 -2.4054
 -2.3099 -2.2231 -2.1510 -2.0884 -2.0309 -1.9061 -1.8054 -1.7286 -1.6749 -1.6403
 -1.6203 -1.6115 -1.6109 -1.6156 -1.6234 -1.6334 -1.6459 -1.6609 -1.6795 -1.7028
 -1.7314
 -3.6594 -3.3955 -3.1702 -2.9798 -2.8177 -2.6809 -2.5671 -2.4732 -2.3961 -2.3334
 -2.2774 -2.2153 -2.1459 -2.0824 -2.0253 -1.9023 -1.8033 -1.7276 -1.6741 -1.6395
 -1.6201 -1.6123 -1.6134 -1.6207 -1.6314 -1.6440 -1.6583 -1.6745 -1.6926 -1.7138
 -1.7394
 -3.7515 -3.4607 -3.2158 -3.0124 -2.8401 -2.6928 -2.5671 -2.4599 -2.3684 -2.2896
 -2.2221 -2.1648 -2.1139 -2.0643 -2.0155 -1.8989 -1.8014 -1.7262 -1.6725 -1.6375
 -1.6179 -1.6107 -1.6132 -1.6227 -1.6365 -1.6524 -1.6696 -1.6878 -1.7072 -1.7283
 -1.7517
 -3.8677 -3.5469 -3.2784 -3.0571 -2.8728 -2.7167 -2.5825 -2.4669 -2.3669 -2.2798
 -2.2035 -2.1368 -2.0788 -2.0286 -1.9850 -1.8883 -1.7979 -1.7235 -1.6695 -1.6337
 -1.6136 -1.6065 -1.6098 -1.6211 -1.6377 -1.6572 -1.6780 -1.6994 -1.7213 -1.7440
 -1.7668
 -4.0078 -3.6541 -3.3584 -3.1174 -2.9164 -2.7490 -2.6069 -2.4844 -2.3781 -2.2851
 -2.2032 -2.1309 -2.0670 -2.0109 -1.9338 -1.8705 -1.7928 -1.7195 -1.6651
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  w   
 -3.9257 -3.6506 -3.4202 -3.2302 -3.0433 -2.8822 -2.7503 -2.6392 -2.5374 -2.4481
 -2.3630 -2.2827 -2.2075 -2.1375 -2.0721 -1.9272 -1.8094 -1.7157 -1.6428
 -3.9601 -3.6881 -3.4377 -3.2222 -3.0369 -2.8684 -2.7300 -2.6158 -2.5126 -2.4231
 -2.3392 -2.2606 -2.1872 -2.1185 -2.0542 -1.9129 -1.7985 -1.7098 -1.6450 -1.6003
 -3.7774 -3.7175 -3.4652 -3.2418 -3.0441 -2.8688 -2.7208 -2.6007 -2.4968 -2.4058
 -2.3232 -2.2463 -2.1746 -2.1075 -2.0446 -1.9063 -1.7947 -1.7093 -1.6479 -1.6063
 -1.5800
