 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.0475 -1.0821 -1.1171 -1.1522 -1.1874 -1.2232 -1.2601 -1.2984 -1.3388 -1.3839
 -1.4358
 -1.4132 -1.3683 -1.3270 -1.2885 -1.2525 -1.2182 -1.1854 -1.1543 -1.1258 -1.1006
 -1.0790 -1.0612 -1.0472 -1.0378 -1.0323 -1.0218 -1.0063 -0.9923 -0.9937 -1.0121
 -1.0439 -1.0823 -1.1215 -1.1600 -1.1978 -1.2352 -1.2728 -1.3109 -1.3502 -1.3925
 -1.4378
 -1.3280 -1.2953 -1.2653 -1.2380 -1.2122 -1.1869 -1.1615 -1.1358 -1.1104 -1.0861
 -1.0639 -1.0445 -1.0280 -1.0148 -1.0047 -0.9913 -0.9852 -0.9813 -0.9849 -1.0027
 -1.0345 -1.0753 -1.1188 -1.1618 -1.2034 -1.2437 -1.2834 -1.3226 -1.3619 -1.4022
 -1.4440
 -1.2392 -1.2141 -1.1922 -1.1734 -1.1566 -1.1404 -1.1235 -1.1053 -1.0859 -1.0658
 -1.0460 -1.0275 -1.0110 -0.9970 -0.9856 -0.9676 -0.9622 -0.9645 -0.9730 -0.9911
 -1.0220 -1.0633 -1.1098 -1.1572 -1.2034 -1.2478 -1.2907 -1.3324 -1.3732 -1.4139
 -1.4551
 -1.1509 -1.1308 -1.1141 -1.1006 -1.0899 -1.0810 -1.0719 -1.0616 -1.0496 -1.0360
 -1.0212 -1.0061 -0.9916 -0.9783 -0.9750 -0.9507 -0.9373 -0.9419 -0.9580
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.0528 -1.9791 -1.9187 -1.8651 -1.8134 -1.7544 -1.6790 -1.5871 -1.4999 -1.4202
 -1.3470 -1.2797 -1.2181 -1.1637 -1.1158 -1.0199 -0.9531 -0.9155 -0.9072
 -1.9233 -1.8423 -1.7800 -1.7297 -1.6857 -1.6409 -1.5848 -1.5188 -1.4538 -1.3915
 -1.3308 -1.2718 -1.2161 -1.1656 -1.1209 -1.0319 -0.9710 -0.9374 -0.9300 -0.9417
 -1.8308 -1.7433 -1.6758 -1.6241 -1.5829 -1.5466 -1.5066 -1.4593 -1.4110 -1.3631
 -1.3146 -1.2648 -1.2148 -1.1678 -1.1256 -1.0422 -0.9860 -0.9552 -0.9480 -0.9591
 -0.9811
 -1.7305 -1.6412 -1.5836 -1.5396 -1.5013 -1.4686 -1.4379 -1.4040 -1.3683 -1.3318
 -1.2942 -1.2544 -1.2118 -1.1689 -1.1292 -1.0504 -0.9978 -0.9691 -0.9624 -0.9731
 -0.9950 -1.0224
 -1.6993 -1.5826 -1.4959 -1.4363 -1.4010 -1.3848 -1.3724 -1.3531 -1.3278 -1.2996
 -1.2697 -1.2383 -1.2041 -1.1672 -1.1305 -1.0558 -1.0065 -0.9796 -0.9734 -0.9841
 -1.0062 -1.0340 -1.0648 -1.0985
 -1.6953 -1.5762 -1.4780 -1.4004 -1.3424 -1.3020 -1.2773 -1.2666 -1.2652 -1.2591
 -1.2424 -1.2182 -1.1906 -1.1606 -1.1285 -1.0584 -1.0119 -0.9867 -0.9813 -0.9921
 -1.0148 -1.0437 -1.0752 -1.1089 -1.1446 -1.1828 -1.2239 -1.2696 -1.3198 -1.3697
 -1.6933 -1.5764 -1.4768 -1.3940 -1.3275 -1.2755 -1.2362 -1.2076 -1.1885 -1.1802
 -1.1803 -1.1785 -1.1673 -1.1468 -1.1214 -1.0578 -1.0141 -0.9906 -0.9858 -0.9970
 -1.0204 -1.0508 -1.0841 -1.1187 -1.1547 -1.1922 -1.2317 -1.2739 -1.3200 -1.3712
 -1.4232
 -1.6786 -1.5704 -1.4753 -1.3937 -1.3253 -1.2689 -1.2231 -1.1866 -1.1577 -1.1357
 -1.1203 -1.1129 -1.1116 -1.1090 -1.1001 -1.0535 -1.0130 -0.9912 -0.9868 -0.9983
 -1.0223 -1.0546 -1.0904 -1.1271 -1.1643 -1.2022 -1.2414 -1.2820 -1.3249 -1.3716
 -1.4241
 -1.6421 -1.5469 -1.4612 -1.3858 -1.3206 -1.2651 -1.2178 -1.1776 -1.1440 -1.1162
 -1.0933 -1.0753 -1.0628 -1.0564 -1.0536 -1.0383 -1.0077 -0.9880 -0.9845 -0.9961
 -1.0206 -1.0546 -1.0934 -1.1332 -1.1729 -1.2124 -1.2523 -1.2928 -1.3345 -1.3788
 -1.4258
 -1.5859 -1.5057 -1.4311 -1.3652 -1.3067 -1.2555 -1.2107 -1.1712 -1.1364 -1.1059
 -1.0796 -1.0572 -1.0388 -1.0246 -1.0150 -1.0052 -0.9950 -0.9814 -0.9789 -0.9901
 -1.0143 -1.0492 -1.0906 -1.1341 -1.1772 -1.2195 -1.2613 -1.3027 -1.3444 -1.3870
 -1.4314
 -1.5161 -1.4483 -1.3847 -1.3282 -1.2780 -1.2336 -1.1941 -1.1585 -1.1260 -1.0963
 -1.0693 -1.0453 -1.0245 -1.0070 -0.9930 -0.9741 -0.9699 -0.9686 -0.9700 -0.9814
 -1.0049 -1.0396 -1.0826 -1.1294 -1.1765 -1.2225 -1.2674 -1.3110 -1.3541 -1.3970
 -1.4404
 -1.4397 -1.3821 -1.3280 -1.2790 -1.2356 -1.1980 -1.1649 -1.1349 -1.1072 -1.0811
 -1.0564 -1.0334 -1.0124 -0.9940 -0.9876 -0.9450 -0.9324 -0.9496 -0.9578
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.2579 -2.1786 -2.1091 -2.0422 -1.9725 -1.8887 -1.7794 -1.6471 -1.5283 -1.4292
 -1.3461 -1.2754 -1.2142 -1.1607 -1.1139 -1.0208 -0.9547 -0.9144 -0.9003
 -2.1025 -2.0163 -1.9464 -1.8858 -1.8279 -1.7639 -1.6799 -1.5811 -1.4882 -1.4066
 -1.3342 -1.2698 -1.2125 -1.1623 -1.1183 -1.0312 -0.9706 -0.9353 -0.9232 -0.9320
 -1.9909 -1.8955 -1.8205 -1.7600 -1.7083 -1.6580 -1.5969 -1.5237 -1.4514 -1.3846
 -1.3228 -1.2653 -1.2121 -1.1643 -1.1222 -1.0398 -0.9836 -0.9509 -0.9406 -0.9489
 -0.9698
 -1.8851 -1.7970 -1.7220 -1.6602 -1.6096 -1.5657 -1.5210 -1.4676 -1.4122 -1.3589
 -1.3078 -1.2584 -1.2105 -1.1656 -1.1253 -1.0466 -0.9939 -0.9637 -0.9544 -0.9624
 -0.9828 -1.0102
 -1.8138 -1.7037 -1.6034 -1.5523 -1.5171 -1.4847 -1.4507 -1.4124 -1.3706 -1.3287
 -1.2875 -1.2466 -1.2054 -1.1647 -1.1266 -1.0512 -1.0015 -0.9733 -0.9650 -0.9730
 -0.9933 -1.0208 -1.0520 -1.0863
 -1.7780 -1.6432 -1.5413 -1.4639 -1.4085 -1.3726 -1.3536 -1.3407 -1.3219 -1.2948
 -1.2630 -1.2295 -1.1952 -1.1602 -1.1255 -1.0536 -1.0064 -0.9800 -0.9725 -0.9808
 -1.0012 -1.0293 -1.0612 -1.0955 -1.1322 -1.1712 -1.2137 -1.2608 -1.3118 -1.3620
 -1.7659 -1.6353 -1.5257 -1.4364 -1.3664 -1.3134 -1.2746 -1.2472 -1.2312 -1.2244
 -1.2178 -1.2028 -1.1788 -1.1504 -1.1205 -1.0534 -1.0085 -0.9838 -0.9771 -0.9858
 -1.0065 -1.0355 -1.0688 -1.1041 -1.1410 -1.1796 -1.2205 -1.2639 -1.3114 -1.3633
 -1.4153
