 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -3.2622 -3.1628 -3.0701 -2.9827 -2.9001 -2.7097 -2.5388 -2.4013 -2.3038 -2.2385
 -2.1968 -2.1708 -2.1532 -2.1390 -2.1257 -2.1123 -2.0990 -2.0856 -2.0728 -2.0617
 -2.0512
 -5.4309 -5.0573 -4.7263 -4.4387 -4.1915 -3.9792 -3.7960 -3.6366 -3.4966 -3.3723
 -3.2605 -3.1590 -3.0652 -2.9771 -2.8938 -2.7044 -2.5402 -2.4045 -2.3032 -2.2342
 -2.1904 -2.1645 -2.1499 -2.1412 -2.1347 -2.1282 -2.1214 -2.1138 -2.1057 -2.0978
 -2.0909
 -5.3921 -5.0459 -4.7364 -4.4610 -4.2189 -4.0058 -3.8183 -3.6531 -3.5069 -3.3773
 -3.2614 -3.1569 -3.0582 -2.9699 -2.8966 -2.6992 -2.5391 -2.4092 -2.3043
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =Vtycho
 -8.1246 -7.6372 -7.1871 -6.7617 -6.3460 -5.9107 -5.4276 -4.9092 -4.4700 -4.1211
 -3.8468 -3.6249 -3.4375 -3.2772 -3.1376 -2.8567 -2.6406 -2.4647 -2.3200
 -7.7482 -7.2084 -6.7179 -6.2713 -5.8589 -5.4609 -5.0428 -4.6262 -4.2654 -3.9674
 -3.7231 -3.5188 -3.3432 -3.1896 -3.0548 -2.7858 -2.5871 -2.4313 -2.3050 -2.2039
 -7.4289 -6.8848 -6.3813 -5.9243 -5.5139 -5.1423 -4.7846 -4.4361 -4.1278 -3.8662
 -3.6456 -3.4566 -3.2900 -3.1416 -3.0096 -2.7456 -2.5554 -2.4112 -2.2971 -2.2059
 -2.1326
 -6.9208 -6.4243 -6.0045 -5.6176 -5.2489 -4.9062 -4.5904 -4.2934 -4.0252 -3.7922
 -3.5920 -3.4178 -3.2614 -3.1185 -2.9890 -2.7265 -2.5387 -2.4006 -2.2942 -2.2104
 -2.1432 -2.0874
 -6.5860 -6.0313 -5.5685 -5.1886 -4.8838 -4.6377 -4.4056 -4.1687 -3.9403 -3.7334
 -3.5506 -3.3895 -3.2442 -3.1089 -2.9829 -2.7207 -2.5317 -2.3959 -2.2942 -2.2158
 -2.1541 -2.1029 -2.0588 -2.0203
 -6.4441 -5.8323 -5.3289 -4.9263 -4.6049 -4.3472 -4.1391 -3.9687 -3.8211 -3.6711
 -3.5164 -3.3678 -3.2313 -3.1045 -2.9839 -2.7233 -2.5310 -2.3945 -2.2952 -2.2209
 -2.1639 -2.1177 -2.0778 -2.0424 -2.0109 -1.9834 -1.9604 -1.9447 -1.9378 -1.9380
 -6.4090 -5.7728 -5.2424 -4.8167 -4.4805 -4.2131 -3.9966 -3.8177 -3.6686 -3.5467
 -3.4429 -3.3363 -3.2198 -3.1012 -2.9869 -2.7305 -2.5345 -2.3951 -2.2961 -2.2243
 -2.1713 -2.1301 -2.0953 -2.0641 -2.0357 -2.0101 -1.9878 -1.9699 -1.9582 -1.9565
 -1.9629
 -6.4094 -5.7726 -5.2296 -4.7875 -4.4365 -4.1593 -3.9369 -3.7548 -3.6020 -3.4718
 -3.3598 -3.2643 -3.1775 -3.0857 -2.9863 -2.7400 -2.5410 -2.3971 -2.2964 -2.2255
 -2.1752 -2.1386 -2.1093 -2.0834 -2.0595 -2.0372 -2.0172 -1.9997 -1.9860 -1.9785
 -1.9821
 -6.3953 -5.7800 -5.2422 -4.7953 -4.4352 -4.1488 -3.9191 -3.7313 -3.5745 -3.4407
 -3.3237 -3.2198 -3.1271 -3.0435 -2.9622 -2.7458 -2.5477 -2.3990 -2.2950 -2.2234
 -2.1746 -2.1416 -2.1177 -2.0979 -2.0796 -2.0621 -2.0458 -2.0307 -2.0178 -2.0092
 -2.0049
 -6.3677 -5.7926 -5.2731 -4.8324 -4.4680 -4.1721 -3.9338 -3.7386 -3.5754 -3.4360
 -3.3143 -3.2062 -3.1081 -3.0185 -2.9360 -2.7435 -2.5575 -2.4049 -2.2958 -2.2212
