 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -5.5218 -5.2883 -5.0704 -4.8664 -4.6789 -4.2879 -3.9825 -3.7306 -3.5132 -3.3213
 -3.1539 -3.0113 -2.8880
 -7.7465 -7.5093 -7.2870 -7.0746 -6.8676 -6.6590 -6.4348 -6.1676 -5.8901 -5.6328
 -5.4014 -5.1894 -4.9878 -4.7931 -4.6090 -4.2204 -3.9218 -3.6820 -3.4799 -3.3041
 -3.1504 -3.0179 -2.9032 -2.8027 -2.7116
 -7.6047 -7.3087 -7.0526 -6.8190 -6.5987 -6.3891 -6.1847 -5.9669 -5.7339 -5.5095
 -5.3028 -5.1115 -4.9283 -4.7471 -4.5693 -4.1812 -3.8845 -3.6517 -3.4597 -3.2956
 -3.1533 -3.0303 -2.9237 -2.8292 -2.7446 -2.6669
 -7.5992 -7.2200 -6.8938 -6.6172 -6.3822 -6.1779 -5.9887 -5.8017 -5.6044 -5.4072
 -5.2206 -5.0465 -4.8804 -4.7155 -4.5482 -4.1623 -3.8637 -3.6340 -3.4486 -3.2931
 -3.1601 -3.0456 -2.9465 -2.8589 -2.7797 -2.7074 -2.6413 -2.5787 -2.5227 -2.4872
 -7.6819 -7.2462 -6.8625 -6.5311 -6.2502 -6.0125 -5.8103 -5.6381 -5.4819 -5.3257
 -5.1632 -5.0004 -4.8430 -4.6899 -4.5367 -4.1582 -3.8549 -3.6250 -3.4436 -3.2941
 -3.1684 -3.0615 -2.9696 -2.8889 -2.8159 -2.7490 -2.6879 -2.6314 -2.5788 -2.5334
 -2.5066
 -7.8412 -7.3531 -6.9224 -6.5485 -6.2283 -5.9582 -5.7310 -5.5384 -5.3717 -5.2244
 -5.0913 -4.9622 -4.8246 -4.6784 -4.5308 -4.1657 -3.8561 -3.6226 -3.4424 -3.2968
 -3.1765 -3.0760 -2.9908 -2.9170 -2.8508 -2.7899 -2.7339 -2.6822 -2.6350 -2.5920
 -2.5574
 -8.0845 -7.5324 -7.0534 -6.6375 -6.2817 -5.9805 -5.7270 -5.5134 -5.3315 -5.1735
 -5.0323 -4.9035 -4.7824 -4.6610 -4.5299 -4.1784 -3.8632 -3.6235 -3.4421 -3.2988
 -3.1823 -3.0865 -3.0072 -2.9401 -2.8811 -2.8272 -2.7774 -2.7310 -2.6882 -2.6494
 -2.6154
 -8.3715 -7.7865 -7.2594 -6.8000 -6.4058 -6.0715 -5.7896 -5.5516 -5.3491 -5.1748
 -5.0217 -4.8835 -4.7551 -4.6333 -4.5144 -4.1997 -3.8835 -3.6340 -3.4476 -3.3039
 -3.1890 -3.0961 -3.0209 -2.9593 -2.9071 -2.8605 -2.8178 -2.7777 -2.7404 -2.7061
 -2.6752
 -8.6437 -8.0487 -7.5053 -7.0130 -6.5836 -6.2161 -5.9042 -5.6395 -5.4134 -5.2184
 -5.0477 -4.8957 -4.7571 -4.6277 -4.5044 -4.2093 -3.9127 -3.6524 -3.4574 -3.3104
 -3.1953 -3.1035 -3.0306 -2.9729 -2.9262 -2.8866 -2.8514 -2.8186 -2.7878 -2.7591
 -2.7328
 -8.8354 -8.2736 -7.7354 -7.2388 -6.7900 -6.3977 -6.0596 -5.7687 -5.5182 -5.3005
 -5.1094 -4.9396 -4.7865 -4.6461 -4.4999 -4.2072 -3.9508 -3.6787 -3.4715
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  B   
 -9.7058 -9.5823 -9.4499 -9.2934 -9.1395 -8.8630 -8.3698 -7.6880 -7.0975 -6.5206
 -6.1491 -5.8527 -5.6037 -5.3850 -5.1875 -4.7640
 -9.0999 -8.9602 -8.8165 -8.6561 -8.4748 -8.2101 -7.7961 -7.2290 -6.6780 -6.2382
 -5.8964 -5.6159 -5.3742 -5.1601 -4.9674 -4.5613 -4.2266 -3.9307 -3.6599
 -8.5930 -8.4337 -8.2750 -8.1073 -7.9138 -7.6677 -7.3234 -6.8588 -6.4014 -6.0160
 -5.7019 -5.4372 -5.2040 -4.9946 -4.8054 -4.4101 -4.0932 -3.8237 -3.5849 -3.3713
 -3.1849
 -8.1851 -8.0028 -7.8254 -7.6470 -7.4566 -7.2357 -6.9517 -6.5774 -6.1941 -5.8540
 -5.5656 -5.3166 -5.0931 -4.8885 -4.7015 -4.3104 -4.0040 -3.7510 -3.5326 -3.3394
 -3.1688 -3.0222 -2.8947
 -7.8885 -7.6748 -7.4722 -7.2762 -7.0807 -6.8752 -6.6407 -6.3427 -6.0224 -5.7245
 -5.4624 -5.2311 -5.0199 -4.8224 -4.6380 -4.2476 -3.9458 -3.7030 -3.4980 -3.3196
 -3.1626 -3.0261 -2.9077 -2.8035 -2.7099
 -7.7194 -7.4566 -7.2199 -6.9995 -6.7885 -6.5830 -6.3740 -6.1365 -5.8711 -5.6126
 -5.3771 -5.1648 -4.9685 -4.7812 -4.6017 -4.2110 -3.9095 -3.6723 -3.4764 -3.3087
 -3.1628 -3.0358 -2.9257 -2.8290 -2.7426 -2.6640
 -7.6754 -7.3247 -7.0289 -6.7786 -6.5598 -6.3556 -6.1564 -5.9548 -5.7350 -5.5120
 -5.3017 -5.1083 -4.9279 -4.7539 -4.5828 -4.1932 -3.8888 -3.6540 -3.4639 -3.3042
 -3.1672 -3.0486 -2.9460 -2.8560 -2.7755 -2.7027 -2.6357 -2.5729 -2.5172 -2.4818
 -7.7384 -7.3204 -6.9536 -6.6400 -6.3737 -6.1455 -5.9487 -5.7750 -5.6040 -5.4228
 -5.2385 -5.0609 -4.8934 -4.7327 -4.5731 -4.1896 -3.8801 -3.6443 -3.4578 -3.3036
 -3.1735 -3.0624 -2.9667 -2.8835 -2.8093 -2.7419 -2.6806 -2.6240 -2.5717 -2.5266
 -2.5000
 -7.8804 -7.4070 -6.9877 -6.6224 -6.3101 -6.0455 -5.8206 -5.6273 -5.4579 -5.3050
 -5.1630 -5.0206 -4.8709 -4.7184 -4.5676 -4.1972 -3.8816 -3.6416 -3.4558 -3.3054
 -3.1804 -3.0753 -2.9861 -2.9095 -2.8419 -2.7807 -2.7248 -2.6734 -2.6260 -2.5840
 -2.5487
 -8.1035 -7.5705 -7.0999 -6.6895 -6.3367 -6.0370 -5.7840 -5.5699 -5.3863 -5.2252
