 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -6.6958 -6.4529 -6.2054 -5.9677 -5.7363 -5.1949 -4.7112 -4.3149 -3.9917
 -8.1461 -7.8108 -7.5593 -7.3474 -7.1664 -7.0137 -6.8814 -6.7556 -6.6224 -6.4728
 -6.3010 -6.1034 -5.8851 -5.6642 -5.4544 -4.9823 -4.5700 -4.2249 -3.9504 -3.7391
 -3.5828
 -7.9303 -7.5498 -7.2448 -7.0090 -6.8370 -6.6953 -6.5528 -6.4088 -6.2680 -6.1291
 -5.9795 -5.8127 -5.6234 -5.4224 -5.2309 -4.8124 -4.4572 -4.1560 -3.9182 -3.7328
 -3.5821 -3.4545 -3.3426
 -7.8224 -7.4385 -7.1176 -6.8499 -6.6284 -6.4477 -6.3039 -6.1783 -6.0391 -5.8846
 -5.7313 -5.5808 -5.4203 -5.2423 -5.0658 -4.6852 -4.3728 -4.1082 -3.8952 -3.7276
 -3.5906 -3.4733 -3.3695 -3.2764 -3.1914
 -7.7473 -7.3745 -7.0560 -6.7817 -6.5438 -6.3373 -6.1582 -6.0025 -5.8653 -5.7321
 -5.5827 -5.4242 -5.2717 -5.1142 -4.9516 -4.5970 -4.3136 -4.0770 -3.8836 -3.7304
 -3.6050 -3.4969 -3.4005 -3.3128 -3.2322 -3.1577
 -7.6709 -7.3205 -7.0148 -6.7454 -6.5053 -6.2893 -6.0946 -5.9191 -5.7601 -5.6139
 -5.4748 -5.3324 -5.1847 -5.0364 -4.8818 -4.5413 -4.2758 -4.0583 -3.8795 -3.7374
 -3.6218 -3.5224 -3.4334 -3.3518 -3.2760 -3.2054 -3.1406 -3.0796 -3.0251 -2.9919
 -7.5790 -7.2586 -6.9738 -6.7174 -6.4831 -6.2674 -6.0678 -5.8825 -5.7116 -5.5533
 -5.4050 -5.2635 -5.1246 -4.9889 -4.8478 -4.5144 -4.2552 -4.0491 -3.8798 -3.7452
 -3.6376 -3.5465 -3.4653 -3.3904 -3.3203 -3.2543 -3.1928 -3.1357 -3.0837 -3.0405
