 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
 -0.0077
  1.8240  1.7844  1.7417  1.6967  1.6517  1.6075  1.5652  1.5251  1.4872  1.4513
  1.4168  1.3833  1.3469  1.3164  1.2851  1.2138  1.1451  1.0741  0.9956
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  J   
  1.7925  1.7365  1.6785  1.6204  1.5638  1.5106  1.4626  1.4214  1.3885  1.3651
  1.3509  1.3431  1.3381  1.3319  1.3230  1.2876  1.2344  1.1656  1.0833
  1.8048  1.7512  1.6939  1.6352  1.5768  1.5206  1.4685  1.4221  1.3832  1.3531
  1.3325  1.3199  1.3115  1.3033  1.2931  1.2560  1.2031  1.1366  1.0581  0.9718
  1.8037  1.7592  1.7077  1.6519  1.5944  1.5375  1.4832  1.4334  1.3896  1.3534
  1.3259  1.3072  1.2949  1.2845  1.2730  1.2338  1.1803  1.1147  1.0386  0.9548
  0.8677
  1.7748  1.7447  1.7024  1.6551  1.6054  1.5529  1.5000  1.4495  1.4032  1.3627
  1.3292  1.3038  1.2861  1.2728  1.2598  1.2185  1.1640  1.0985  1.0236  0.9415
  0.8559  0.7695
  1.7305  1.7124  1.6846  1.6482  1.6040  1.5540  1.5039  1.4574  1.4142  1.3743
  1.3387  1.3085  1.2848  1.2671  1.2520  1.2084  1.1528  1.0869  1.0124  0.9313
  0.8464  0.7608  0.6756  0.5905
  1.7052  1.6769  1.6488  1.6198  1.5873  1.5508  1.5100  1.4650  1.4181  1.3778
  1.3446  1.3155  1.2895  1.2673  1.2489  1.2025  1.1456  1.0792  1.0046  0.9237
  0.8390  0.7535  0.6687  0.5847  0.5010  0.4172  0.3328  0.2468  0.1596  0.0745
  1.6981  1.6644  1.6320  1.6009  1.5701  1.5383  1.5046  1.4688  1.4312  1.3919
  1.3534  1.3207  1.2942  1.2713  1.2504  1.2000  1.1417  1.0745  0.9997  0.9188
  0.8340  0.7478  0.6626  0.5788  0.4960  0.4138  0.3317  0.2490  0.1651  0.0796
 -0.0043
  1.7053  1.6663  1.6289  1.5937  1.5607  1.5292  1.4980  1.4662  1.4337  1.4008
  1.3682  1.3356  1.3046  1.2780  1.2549  1.2006  1.1405  1.0725  0.9974  0.9166
  0.8315  0.7445  0.6581  0.5735  0.4906  0.4090  0.3281  0.2476  0.1668  0.0848
  0.0007
  1.7234  1.6795  1.6374  1.5978  1.5611  1.5272  1.4956  1.4653  1.4351  1.4048
  1.3749  1.3456  1.3170  1.2890  1.2630  1.2040  1.1414  1.0721  0.9966  0.9157
  0.8305  0.7425  0.6545  0.5683  0.4842  0.4022  0.3215  0.2419  0.1629  0.0834
  0.0033
  1.7511  1.7029  1.6570  1.6133  1.5727  1.5352  1.5012  1.4697  1.4398  1.4106
  1.3817  1.3531  1.3252  1.2981  1.2718  1.2095  1.1455  1.0748  0.9989  0.9182
  0.8332  0.7450  0.6556  0.5674  0.4816  0.3983  0.3169  0.2375  0.1592  0.0817
  0.0041
  1.7821  1.7329  1.6848  1.6380  1.5938  1.5530  1.5156  1.4814  1.4497  1.4197
  1.3905  1.3618  1.3334  1.3058  1.2789  1.2143  1.1500  1.0793  1.0027  0.9221
  0.8375  0.7496  0.6596  0.5696  0.4817  0.3963  0.3135  0.2331  0.1546  0.0775
  0.0014
  1.8126  1.7652  1.7169  1.6691  1.6231  1.5796  1.5390  1.5015  1.4669  1.4345
  1.4037  1.3737  1.3442  1.3153  1.2843  1.2184  1.1549  1.0856  1.0080
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  J   
  1.8016  1.7445  1.6862  1.6285  1.5727  1.5205  1.4733  1.4323  1.3990  1.3746
  1.3588  1.3489  1.3415  1.3339  1.3242  1.2882  1.2354  1.1684  1.0894
  1.8196  1.7633  1.7044  1.6448  1.5862  1.5303  1.4784  1.4321  1.3929  1.3621
  1.3406  1.3265  1.3165  1.3071  1.2962  1.2581  1.2053  1.1399  1.0640  0.9791
  1.8320  1.7803  1.7239  1.6651  1.6060  1.5482  1.4933  1.4429  1.3985  1.3618
  1.3338  1.3142  1.3007  1.2894  1.2773  1.2374  1.1839  1.1191  1.0447  0.9625
  0.8757
  1.8202  1.7806  1.7344  1.6822  1.6260  1.5689  1.5132  1.4604  1.4124  1.3706
  1.3365  1.3107  1.2923  1.2783  1.2648  1.2231  1.1687  1.1037  1.0301  0.9496
  0.8645  0.7778
  1.7862  1.7512  1.7220  1.6802  1.6310  1.5802  1.5285  1.4775  1.4292  1.3851
  1.3466  1.3149  1.2908  1.2728  1.2573  1.2136  1.1582  1.0928  1.0193  0.9396
  0.8556  0.7699  0.6842  0.5984
  1.7465  1.7132  1.6876  1.6586  1.6241  1.5828  1.5342  1.4832  1.4364  1.3949
  1.3576  1.3242  1.2957  1.2727  1.2541  1.2078  1.1514  1.0854  1.0118  0.9323
  0.8488  0.7634  0.6781  0.5935  0.5090  0.4244  0.3390  0.2521  0.1644  0.0792
  1.7200  1.6905  1.6616  1.6326  1.6023  1.5690  1.5321  1.4914  1.4472  1.4023
  1.3625  1.3299  1.3022  1.2774  1.2554  1.2052  1.1475  1.0809  1.0070  0.9275
  0.8441  0.7585  0.6730  0.5885  0.5049  0.4217  0.3385  0.2551  0.1703  0.0845
  0.0006
  1.7178  1.6835  1.6499  1.6175  1.5860  1.5544  1.5217  1.4871  1.4507  1.4136
  1.3764  1.3404  1.3089  1.2826  1.2596  1.2054  1.1462  1.0789  1.0047  0.9252
  0.8416  0.7556  0.6693  0.5840  0.5003  0.4178  0.3359  0.2544  0.1728  0.0900
  0.0057
  1.7258  1.6875  1.6498  1.6133  1.5786  1.5456  1.5136  1.4818  1.4493  1.4164
  1.3837  1.3518  1.3211  1.2921  1.2662  1.2083  1.1468  1.0784  1.0038  0.9241
  0.8403  0.7538  0.6662  0.5796  0.4948  0.4119  0.3302  0.2496  0.1697  0.0895
  0.0084
  1.7435  1.7009  1.6599  1.6198  1.5818  1.5459  1.5125  1.4807  1.4499  1.4193
  1.3889  1.3588  1.3298  1.3018  1.2750  1.2135  1.1505  1.0809  1.0059  0.9262
  0.8426  0.7558  0.6674  0.5792  0.4928  0.4086  0.3265  0.2460  0.1668  0.0883
  0.0099
  1.7677  1.7221  1.6778  1.6354  1.5942  1.5555  1.5194  1.4859  1.4544  1.4244
  1.3949  1.3658  1.3370  1.3091  1.2822  1.2182  1.1553  1.0853  1.0096  0.9299
  0.8465  0.7599  0.6710  0.5815  0.4933  0.4073  0.3237  0.2424  0.1630  0.0850
  0.0079
