 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.5262 -4.9368 -4.4339 -4.0201 -3.6847 -3.4142 -3.1953 -3.0163 -2.8687 -2.7482
 -2.6481 -2.5539 -2.4572 -2.3615 -2.2702 -2.0577 -1.8860 -1.7567 -1.6597 -1.5863
 -1.5303 -1.4857 -1.4478 -1.4142 -1.3834 -1.3554 -1.3303 -1.3088 -1.2920 -1.2833
 -1.2851
 -5.5521 -4.9562 -4.4381 -4.0057 -3.6548 -3.3729 -3.1460 -2.9617 -2.8110 -2.6857
 -2.5804 -2.4913 -2.4131 -2.3361 -2.2563 -2.0553 -1.8847 -1.7552 -1.6589 -1.5876
 -1.5329 -1.4950 -1.4624 -1.4337 -1.4074 -1.3829 -1.3606 -1.3395 -1.3221 -1.3113
 -1.3089
 -5.5474 -4.9719 -4.4564 -4.0210 -3.6618 -3.3712 -3.1369 -2.9461 -2.7896 -2.6597
 -2.5501 -2.4555 -2.3722 -2.2977 -2.2280 -2.0494 -1.8826 -1.7526 -1.6561 -1.5856
 -1.5350 -1.4988 -1.4713 -1.4484 -1.4276 -1.4079 -1.3895 -1.3722 -1.3568 -1.3443
 -1.3370
 -5.4994 -4.9614 -4.4749 -4.0487 -3.6907 -3.3963 -3.1564 -2.9595 -2.7966 -2.6601
 -2.5442 -2.4444 -2.3564 -2.2772 -2.2048 -2.0398 -1.8824 -1.7521 -1.6544 -1.5832
 -1.5327 -1.4983 -1.4748 -1.4573 -1.4425 -1.4286 -1.4154 -1.4025 -1.3904 -1.3797
 -1.3699
 -5.4099 -4.9225 -4.4752 -4.0699 -3.7225 -3.4302 -3.1877 -2.9867 -2.8185 -2.6759
 -2.5535 -2.4472 -2.3538 -2.2705 -2.1946 -2.0285 -1.8805 -1.7523 -1.6530 -1.5802
 -1.5289 -1.4945 -1.4730 -1.4596 -1.4503 -1.4426 -1.4355 -1.4282 -1.4208 -1.4138
 -1.4078
 -5.2803 -4.8553 -4.4560 -4.0843 -3.7538 -3.4683 -3.2261 -3.0219 -2.8489 -2.7010
 -2.5727 -2.4603 -2.3611 -2.2727 -2.1974 -2.0155 -1.8769 -1.7532 -1.6519
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -7.9213 -7.6341 -7.3634 -7.1012 -6.9272 -6.6222 -6.0438 -5.1808 -4.4682 -3.7465
 -3.3290 -3.0423 -2.8351 -2.6720 -2.5361 -2.2649
 -7.4624 -7.1348 -6.8317 -6.5485 -6.3000 -5.9795 -5.4687 -4.7528 -4.0856 -3.5647
 -3.1898 -2.9227 -2.7262 -2.5719 -2.4431 -2.1862 -1.9867 -1.8211 -1.6820
 -7.1022 -6.7412 -6.4059 -6.0961 -5.7987 -5.4726 -5.0265 -4.4349 -3.8847 -3.4358
 -3.0945 -2.8417 -2.6518 -2.5025 -2.3780 -2.1305 -1.9407 -1.7893 -1.6651 -1.5623
 -1.4778
 -6.8407 -6.4533 -6.0860 -5.7440 -5.4232 -5.1014 -4.7172 -4.2271 -3.7579 -3.3598
 -3.0431 -2.7993 -2.6119 -2.4638 -2.3408 -2.0978 -1.9142 -1.7706 -1.6553 -1.5605
 -1.4824 -1.4175 -1.3633
 -6.6187 -6.2229 -5.8399 -5.4751 -5.1314 -4.8048 -4.4703 -4.0663 -3.6620 -3.3061
 -3.0120 -2.7773 -2.5921 -2.4441 -2.3214 -2.0802 -1.8995 -1.7604 -1.6507 -1.5619
 -1.4892 -1.4288 -1.3779 -1.3340 -1.2967
 -6.2972 -5.9231 -5.5769 -5.2385 -4.9003 -4.5719 -4.2553 -3.9235 -3.5770 -3.2594
 -2.9877 -2.7639 -2.5825 -2.4354 -2.3127 -2.0720 -1.8923 -1.7555 -1.6495 -1.5651
 -1.4969 -1.4409 -1.3936 -1.3526 -1.3167 -1.2860
 -6.0312 -5.5810 -5.2020 -4.8789 -4.5913 -4.3206 -4.0489 -3.7708 -3.4842 -3.2082
 -2.9619 -2.7517 -2.5765 -2.4317 -2.3099 -2.0695 -1.8897 -1.7537 -1.6498 -1.5688
 -1.5046 -1.4528 -1.4095 -1.3720 -1.3389 -1.3097 -1.2849 -1.2648 -1.2516 -1.2470
 -5.9458 -5.4259 -4.9782 -4.6015 -4.2845 -4.0096 -3.7628 -3.5360 -3.3187 -3.1113
 -2.9138 -2.7313 -2.5687 -2.4291 -2.3093 -2.0705 -1.8898 -1.7535 -1.6507 -1.5720
 -1.5110 -1.4631 -1.4242 -1.3909 -1.3613 -1.3347 -1.3113 -1.2916 -1.2765 -1.2688
 -1.2700
 -5.9876 -5.4171 -4.9136 -4.4837 -4.1236 -3.8230 -3.5670 -3.3424 -3.1393 -2.9564
 -2.7989 -2.6633 -2.5387 -2.4195 -2.3077 -2.0732 -1.8917 -1.7542 -1.6513 -1.5737
 -1.5151 -1.4708 -1.4362 -1.4077 -1.3825 -1.3595 -1.3390 -1.3208 -1.3063 -1.2956
 -1.2929
 -6.0812 -5.4836 -4.9430 -4.4703 -4.0704 -3.7388 -3.4645 -3.2338 -3.0355 -2.8618
 -2.7097 -2.5795 -2.4706 -2.3767 -2.2877 -2.0739 -1.8929 -1.7540 -1.6502 -1.5731
 -1.5161 -1.4743 -1.4438 -1.4202 -1.4002 -1.3820 -1.3654 -1.3502 -1.3370 -1.3267
 -1.3211
 -6.1662 -5.5756 -5.0206 -4.5236 -4.0944 -3.7344 -3.4378 -3.1938 -2.9904 -2.8182
 -2.6701 -2.5420 -2.4315 -2.3364 -2.2540 -2.0702 -1.8969 -1.7563 -1.6506 -1.5725
 -1.5157 -1.4753 -1.4475 -1.4282 -1.4135 -1.4007 -1.3892 -1.3782 -1.3683 -1.3599
 -1.3540
 -6.1959 -5.6279 -5.0928 -4.5939 -4.1524 -3.7744 -3.4595 -3.2001 -2.9863 -2.8084
 -2.6579 -2.5290 -2.4174 -2.3199 -2.2341 -2.0567 -1.8986 -1.7591 -1.6512 -1.5713
 -1.5136 -1.4735 -1.4471 -1.4308 -1.4207 -1.4135 -1.4076 -1.4020 -1.3966 -1.3919
 -1.3881
 -6.1651 -5.6423 -5.1328 -4.6555 -4.2183 -3.8360 -3.5110 -3.2389 -3.0138 -2.8267
 -2.6694 -2.5354 -2.4197 -2.3188 -2.2280 -2.0334 -1.8980 -1.7624 -1.6520
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = G_BP 
 -8.0489 -7.7742 -7.5158 -7.2724 -7.1469 -6.8737 -6.2824 -5.3708 -4.5799 -3.7959
 -3.3436 -3.0373 -2.8191 -2.6518 -2.5144 -2.2446
 -7.5952 -7.2836 -6.9989 -6.7401 -6.5293 -6.2388 -5.7259 -4.9617 -4.2173 -3.6319
 -3.2177 -2.9287 -2.7206 -2.5611 -2.4301 -2.1735 -1.9762 -1.8152 -1.6791
 -7.2399 -6.8969 -6.5830 -6.2997 -6.0334 -5.7350 -5.2918 -4.6555 -4.0342 -3.5213
 -3.1371 -2.8592 -2.6558 -2.4998 -2.3722 -2.1235 -1.9348 -1.7851 -1.6621 -1.5596
 -1.4743
 -6.9830 -6.6141 -6.2681 -5.9512 -5.6591 -5.3623 -4.9801 -4.4522 -3.9225 -3.4641
 -3.1018 -2.8288 -2.6247 -2.4679 -2.3407 -2.0946 -1.9104 -1.7671 -1.6519 -1.5569
 -1.4780 -1.4124 -1.3576
 -6.7751 -6.3933 -6.0262 -5.6810 -5.3601 -5.0538 -4.7245 -4.2906 -3.8361 -3.4262
 -3.0865 -2.8193 -2.6137 -2.4542 -2.3256 -2.0796 -1.8972 -1.7571 -1.6469 -1.5573
 -1.4835 -1.4222 -1.3700 -1.3257 -1.2887
 -6.4998 -6.1419 -5.7954 -5.4561 -5.1238 -4.8054 -4.4941 -4.1421 -3.7548 -3.3907
 -3.0761 -2.8185 -2.6136 -2.4516 -2.3209 -2.0735 -1.8910 -1.7524 -1.6452 -1.5595
 -1.4900 -1.4328 -1.3847 -1.3435 -1.3080 -1.2777
 -6.1795 -5.7668 -5.4236 -5.1273 -4.8521 -4.5750 -4.2849 -3.9867 -3.6645 -3.3473
