 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.5578 -8.0053 -7.5253 -7.1085 -6.7518 -6.4500 -6.1961 -5.9821 -5.7998 -5.6414
 -5.5000 -5.3709 -5.2499 -5.1287 -4.9981 -4.6480 -4.3345 -4.0962 -3.9162 -3.7744
 -3.6594 -3.5649 -3.4867 -3.4206 -3.3623 -3.3091 -3.2599 -3.2139 -3.1715 -3.1331
 -3.0996
 -8.8367 -8.2529 -7.7264 -7.2671 -6.8728 -6.5384 -6.2565 -6.0185 -5.8160 -5.6418
 -5.4887 -5.3506 -5.2225 -5.1009 -4.9824 -4.6692 -4.3548 -4.1067 -3.9217 -3.7793
 -3.6659 -3.5742 -3.5001 -3.4396 -3.3881 -3.3422 -3.3000 -3.2604 -3.2234 -3.1895
 -3.1589
 -9.0992 -8.5071 -7.9658 -7.4749 -7.0465 -6.6797 -6.3684 -6.1043 -5.8786 -5.6841
 -5.5139 -5.3623 -5.2242 -5.0952 -4.9723 -4.6787 -4.3838 -4.1250 -3.9314 -3.7856
 -3.6718 -3.5814 -3.5095 -3.4528 -3.4070 -3.3681 -3.3333 -3.3010 -3.2706 -3.2422
 -3.2161
 -9.2825 -8.7240 -8.1888 -7.6947 -7.2480 -6.8573 -6.5205 -6.2307 -5.9812 -5.7645
 -5.5742 -5.4052 -5.2528 -5.1131 -4.9678 -4.6765 -4.4215 -4.1511 -3.9453
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  B   
 -9.6320 -9.5067 -9.3776 -9.2316 -9.0225 -8.7233 -8.3170 -7.7907 -7.1903 -6.7115
 -6.3494 -6.0604 -5.8159 -5.6017 -5.4099 -5.0070 -4.6761 -4.3870 -4.1244
 -9.1168 -8.9740 -8.8316 -8.6792 -8.4989 -8.2611 -7.9159 -7.4227 -6.9216 -6.4999
 -6.1649 -5.8905 -5.6544 -5.4447 -5.2560 -4.8620 -4.5479 -4.2829 -4.0501 -3.8424
 -8.6943 -8.5307 -8.3713 -8.2095 -8.0331 -7.8211 -7.5373 -7.1420 -6.7225 -6.3488
 -6.0382 -5.7779 -5.5503 -5.3450 -5.1584 -4.7678 -4.4628 -4.2130 -3.9991 -3.8108
 -3.6443
 -8.3752 -8.1841 -8.0015 -7.8235 -7.6430 -7.4475 -7.2152 -6.9045 -6.5560 -6.2283
 -5.9439 -5.6994 -5.4825 -5.2836 -5.0994 -4.7092 -4.4079 -4.1671 -3.9656 -3.7912
 -3.6380 -3.5041
 -8.1834 -7.9455 -7.7301 -7.5279 -7.3325 -7.1379 -6.9338 -6.6908 -6.4056 -6.1223
 -5.8657 -5.6393 -5.4355 -5.2458 -5.0663 -4.6757 -4.3741 -4.1382 -3.9448 -3.7805
 -3.6380 -3.5135 -3.4051 -3.3097
 -8.1230 -7.8043 -7.5371 -7.3076 -7.0979 -6.8966 -6.6989 -6.4957 -6.2645 -6.0230
 -5.7947 -5.5876 -5.3986 -5.2209 -5.0494 -4.6604 -4.3554 -4.1211 -3.9331 -3.7760
 -3.6419 -3.5258 -3.4249 -3.3361 -3.2566 -3.1850 -3.1189 -3.0566 -3.0022 -2.9678
 -8.1744 -7.7815 -7.4386 -7.1462 -6.8966 -6.6799 -6.4881 -6.3113 -6.1283 -5.9295
 -5.7295 -5.5408 -5.3659 -5.2013 -5.0407 -4.6586 -4.3485 -4.1126 -3.9274 -3.7755
 -3.6478 -3.5389 -3.4450 -3.3630 -3.2898 -3.2233 -3.1629 -3.1073 -3.0554 -3.0116
 -2.9859
 -8.3034 -7.8542 -7.4550 -7.1060 -6.8065 -6.5507 -6.3305 -6.1389 -5.9689 -5.8098
 -5.6557 -5.4998 -5.3414 -5.1860 -5.0352 -4.6673 -4.3515 -4.1110 -3.9260 -3.7773
 -3.6543 -3.5512 -3.4638 -3.3884 -3.3218 -3.2614 -3.2064 -3.1557 -3.1089 -3.0676
 -3.0334
 -8.5118 -8.0053 -7.5540 -7.1576 -6.8141 -6.5203 -6.2707 -6.0578 -5.8736 -5.7102
 -5.5626 -5.4283 -5.3011 -5.1709 -5.0324 -4.6801 -4.3605 -4.1132 -3.9259 -3.7787
 -3.6591 -3.5605 -3.4786 -3.4096 -3.3498 -3.2961 -3.2472 -3.2020 -3.1604 -3.1229
 -3.0902
 -8.8167 -8.2494 -7.7419 -7.2960 -6.9088 -6.5771 -6.2953 -6.0565 -5.8532 -5.6779
 -5.5233 -5.3842 -5.2565 -5.1364 -5.0184 -4.7001 -4.3819 -4.1252 -3.9323 -3.7837
 -3.6655 -3.5695 -3.4915 -3.4277 -3.3742 -3.3274 -3.2853 -3.2464 -3.2103 -3.1775
 -3.1479
 -9.1509 -8.5513 -8.0020 -7.5071 -7.0758 -6.7040 -6.3874 -6.1190 -5.8910 -5.6961
 -5.5272 -5.3780 -5.2430 -5.1177 -4.9989 -4.7108 -4.4114 -4.1450 -3.9433 -3.7906
 -3.6717 -3.5768 -3.5012 -3.4410 -3.3926 -3.3523 -3.3173 -3.2853 -3.2557 -3.2283
 -3.2065
 -9.5144 -8.8408 -8.2804 -7.7640 -7.2974 -6.8892 -6.5377 -6.2374 -5.9816 -5.7624
 -5.5729 -5.4070 -5.2591 -5.1247 -4.9739 -4.7122 -4.4490 -4.1726 -3.9589
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  B   
 -9.8679 -9.7689 -9.6638 -9.5420 -9.3541 -9.0603 -8.6309 -8.0425 -7.3450 -6.7801
 -6.3705 -6.0607 -5.8099 -5.5951 -5.4050 -5.0063 -4.6816 -4.3998 -4.1381
 -9.3373 -9.2234 -9.1100 -8.9861 -8.8309 -8.6094 -8.2601 -7.7097 -7.1106 -6.5997
 -6.2121 -5.9133 -5.6690 -5.4581 -5.2701 -4.8770 -4.5632 -4.2995 -4.0689 -3.8630
 -8.8870 -8.7566 -8.6301 -8.5005 -8.3529 -8.1609 -7.8793 -7.4435 -6.9391 -6.4791
 -6.1100 -5.8190 -5.5792 -5.3712 -5.1846 -4.7929 -4.4847 -4.2324 -4.0172 -3.8287
 -3.6616
 -8.5258 -8.3738 -8.2286 -8.0863 -7.9379 -7.7659 -7.5406 -7.2059 -6.7913 -6.3845
 -6.0386 -5.7567 -5.5218 -5.3172 -5.1324 -4.7401 -4.4335 -4.1879 -3.9830 -3.8066
 -3.6518 -3.5153
 -8.2715 -8.0856 -7.9137 -7.7502 -7.5895 -7.4225 -7.2315 -6.9779 -6.6466 -6.2971
 -5.9802 -5.7116 -5.4841 -5.2844 -5.1025 -4.7096 -4.4013 -4.1593 -3.9612 -3.7936
 -3.6484 -3.5211 -3.4093 -3.3116
 -8.1561 -7.9073 -7.6932 -7.4997 -7.3175 -7.1397 -6.9585 -6.7555 -6.4974 -6.2058
 -5.9238 -5.6736 -5.4563 -5.2637 -5.0869 -4.6956 -4.3835 -4.1418 -3.9483 -3.7870
 -3.6493 -3.5299 -3.4255 -3.3339 -3.2525 -3.1793 -3.1129 -3.0494 -2.9948 -2.9601
 -8.1651 -7.8251 -7.5395 -7.3015 -7.0965 -6.9095 -6.7280 -6.5461 -6.3429 -6.1067
 -5.8631 -5.6357 -5.4320 -5.2490 -5.0794 -4.6941 -4.3771 -4.1330 -3.9416 -3.7848
 -3.6529 -3.5401 -3.4426 -3.3574 -3.2823 -3.2150 -3.1543 -3.0987 -3.0463 -3.0021
 -2.9763
 -8.2632 -7.8587 -7.5017 -7.1946 -6.9336 -6.7093 -6.5109 -6.3318 -6.1630 -5.9832
 -5.7896 -5.5940 -5.4079 -5.2360 -5.0756 -4.7022 -4.3807 -4.1315 -3.9396 -3.7855
 -3.6578 -3.5502 -3.4588 -3.3800 -3.3113 -3.2500 -3.1948 -3.1448 -3.0989 -3.0570
 -3.0227
 -8.4377 -7.9754 -7.5628 -7.1994 -6.8843 -6.6143 -6.3820 -6.1786 -5.9977 -5.8307
 -5.6712 -5.5190 -5.3699 -5.2200 -5.0707 -4.7139 -4.3909 -4.1347 -3.9396 -3.7863
 -3.6615 -3.5580 -3.4717 -3.3990 -3.3367 -3.2819 -3.2329 -3.1885 -3.1483 -3.1118
 -3.0787
 -8.7199 -8.1899 -7.7191 -7.3029 -6.9393 -6.6250 -6.3557 -6.1249 -5.9253 -5.7492
 -5.5895 -5.4435 -5.3097 -5.1844 -5.0600 -4.7322 -4.4129 -4.1484 -3.9469 -3.7915
 -3.6676 -3.5666 -3.4840 -3.4160 -3.3595 -3.3111 -3.2687 -3.2302 -3.1950 -3.1633
 -3.1349
 -9.0842 -8.4976 -7.9651 -7.4937 -7.0795 -6.7206 -6.4124 -6.1494 -5.9247 -5.7314
 -5.5623 -5.4117 -5.2752 -5.1498 -5.0321 -4.7445 -4.4419 -4.1699 -3.9595 -3.7992
 -3.6742 -3.5741 -3.4937 -3.4292 -3.3773 -3.3348 -3.2988 -3.2670 -3.2382 -3.2119
 -3.1913
