 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -1.9404 -1.9322 -1.9314 -1.9342 -1.9387 -1.9443 -1.9517 -1.9612 -1.9747 -1.9922
 -2.0179
 -6.1724 -5.5881 -5.0460 -4.5669 -4.1612 -3.8265 -3.5507 -3.3184 -3.1171 -2.9397
 -2.7849 -2.6551 -2.5513 -2.4682 -2.3960 -2.2410 -2.1273 -2.0481 -1.9936 -1.9588
 -1.9402 -1.9342 -1.9368 -1.9438 -1.9521 -1.9609 -1.9704 -1.9807 -1.9927 -2.0077
 -2.0279
 -6.2227 -5.6555 -5.1086 -4.6096 -4.1749 -3.8103 -3.5114 -3.2670 -3.0638 -2.8916
 -2.7438 -2.6175 -2.5117 -2.4253 -2.3559 -2.2256 -2.1206 -2.0425 -1.9889 -1.9545
 -1.9365 -1.9318 -1.9372 -1.9483 -1.9613 -1.9744 -1.9874 -2.0002 -2.0134 -2.0279
 -2.0449
 -6.2081 -5.6677 -5.1480 -4.6544 -4.2128 -3.8332 -3.5183 -3.2608 -3.0503 -2.8762
 -2.7296 -2.6049 -2.4988 -2.4094 -2.3350 -2.2023 -2.1077 -2.0339 -1.9815 -1.9475
 -1.9296 -1.9255 -1.9325 -1.9470 -1.9647 -1.9829 -2.0005 -2.0172 -2.0333 -2.0495
 -2.0664
 -6.1324 -5.6358 -5.1430 -4.6756 -4.2438 -3.8660 -3.5461 -3.2806 -3.0633 -2.8846
 -2.7356 -2.6095 -2.5016 -2.4094 -2.3333 -2.1711 -2.0886 -2.0223 -1.9714
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  r   
 -7.5586 -7.2318 -6.9477 -6.7079 -6.4730 -6.1700 -5.7318 -5.1042 -4.3266 -3.6847
 -3.2316 -2.9271 -2.7216 -2.5768 -2.4667 -2.2671 -2.1236 -2.0171 -1.9392
 -7.3164 -6.9429 -6.6198 -6.3484 -6.1161 -5.8713 -5.4761 -4.8350 -4.1766 -3.6108
 -3.1870 -2.8908 -2.6880 -2.5459 -2.4397 -2.2503 -2.1161 -2.0179 -1.9474 -1.8988
 -7.1839 -6.7671 -6.3963 -6.0775 -5.8067 -5.5495 -5.2029 -4.6638 -4.0977 -3.5894
 -3.1859 -2.8898 -2.6815 -2.5355 -2.4287 -2.2441 -2.1155 -2.0223 -1.9563 -1.9105
 -1.8808
 -7.0884 -6.6514 -6.2471 -5.8844 -5.5665 -5.2812 -4.9781 -4.5312 -4.0410 -3.5844
 -3.2026 -2.9077 -2.6916 -2.5378 -2.4269 -2.2429 -2.1182 -2.0281 -1.9649 -1.9215
 -1.8931 -1.8759
 -6.8626 -6.4734 -6.0934 -5.7298 -5.3879 -5.0700 -4.7691 -4.4079 -3.9860 -3.5781
 -3.2219 -2.9331 -2.7115 -2.5488 -2.4310 -2.2439 -2.1217 -2.0339 -1.9727 -1.9310
 -1.9040 -1.8880 -1.8794 -1.8752
 -6.4217 -6.0518 -5.7416 -5.4608 -5.1818 -4.8899 -4.5848 -4.2740 -3.9193 -3.5603
 -3.2339 -2.9573 -2.7352 -2.5654 -2.4398 -2.2454 -2.1245 -2.0386 -1.9788 -1.9387
 -1.9132 -1.8987 -1.8917 -1.8894 -1.8908 -1.8958 -1.9055 -1.9216 -1.9443 -1.9686
 -6.1911 -5.7361 -5.3589 -5.0540 -4.7974 -4.5627 -4.3281 -4.0719 -3.7931 -3.5022
 -3.2216 -2.9700 -2.7566 -2.5845 -2.4520 -2.2468 -2.1259 -2.0415 -1.9828 -1.9440
