 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1130W
 -2.3296 -2.3972 -2.4600 -2.5240 -2.5935 -2.7786 -2.9592 -3.1313 -3.2953 -3.4527
 -3.6049 -3.7513 -3.8913 -4.0255
 -1.3613 -1.4724 -1.5811 -1.6881 -1.7929 -1.8949 -1.9932 -2.0875 -2.1772 -2.2617
 -2.3407 -2.4136 -2.4797 -2.5412 -2.6056 -2.7856 -2.9665 -3.1388 -3.3030 -3.4601
 -3.6118 -3.7581 -3.8982 -4.0325 -4.1613 -4.2856 -4.4063 -4.5236 -4.6372 -4.7467
 -1.3593 -1.4681 -1.5736 -1.6769 -1.7787 -1.8786 -1.9756 -2.0684 -2.1572 -2.2432
 -2.3276 -2.4086 -2.4841 -2.5528 -2.6178 -2.7908 -2.9710 -3.1437 -3.3081 -3.4651
 -3.6163 -3.7625 -3.9029 -4.0372 -4.1659 -4.2898 -4.4096 -4.5259 -4.6389 -4.7479
 -4.8535
 -1.3595 -1.4677 -1.5716 -1.6726 -1.7714 -1.8685 -1.9637 -2.0559 -2.1442 -2.2284
 -2.3091 -2.3883 -2.4668 -2.5432 -2.6176 -2.7956 -2.9738 -3.1467 -3.3114 -3.4685
 -3.6194 -3.7653 -3.9057 -4.0403 -4.1693 -4.2930 -4.4125 -4.5279 -4.6400 -4.7486
 -4.8532
 -1.3617 -1.4693 -1.5726 -1.6726 -1.7698 -1.8648 -1.9578 -2.0485 -2.1366 -2.2210
 -2.3013 -2.3780 -2.4522 -2.5263 -2.6021 -2.7967 -2.9780 -3.1511 -3.3161 -3.4734
 -3.6241 -3.7696 -3.9102 -4.0452 -4.1745 -4.2985 -4.4180 -4.5331 -4.6447 -4.7528
 -4.8574
 -1.3642 -1.4699 -1.5722 -1.6716 -1.7680 -1.8615 -1.9528 -2.0419 -2.1289 -2.2133
 -2.2943 -2.3716 -2.4452 -2.5164 -2.5881 -2.7810 -2.9764 -3.1513 -3.3166 -3.4740
 -3.6245 -3.7696 -3.9100 -4.0453 -4.1751 -4.2996 -4.4193 -4.5343 -4.6456 -4.7533
 -4.8576
 -1.3723 -1.4737 -1.5735 -1.6714 -1.7666 -1.8595 -1.9497 -2.0375 -2.1232 -2.2069
 -2.2880 -2.3664 -2.4413 -2.5130 -2.5829 -2.7661 -2.9627 -3.1495 -3.3163 -3.4739
 -3.6242 -3.7689 -3.9090 -4.0446 -4.1749 -4.3000 -4.4202 -4.5356 -4.6468 -4.7544
 -4.8584
 -1.3896 -1.4841 -1.5793 -1.6740 -1.7674 -1.8588 -1.9480 -2.0348 -2.1195 -2.2022
 -2.2828 -2.3614 -2.4375 -2.5108 -2.5865 -2.7520 -2.9369 -3.1457 -3.3152
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3462 -1.4407 -1.5263 -1.6042 -1.6770 -1.7505 -1.8303 -1.9182 -2.0072 -2.0945
 -2.1786 -2.2603 -2.3401 -2.4180 -2.4939 -2.6764 -2.8518 -3.0234 -3.1907
 -1.3939 -1.4971 -1.5915 -1.6765 -1.7537 -1.8258 -1.9010 -1.9818 -2.0642 -2.1463
 -2.2261 -2.3042 -2.3818 -2.4595 -2.5364 -2.7218 -2.8988 -3.0700 -3.2357 -3.3959
 -1.4143 -1.5246 -1.6261 -1.7185 -1.8012 -1.8755 -1.9482 -2.0256 -2.1046 -2.1834
 -2.2604 -2.3353 -2.4099 -2.4857 -2.5623 -2.7496 -2.9281 -3.0996 -3.2642 -3.4225
 -3.5754
 -1.4054 -1.5255 -1.6368 -1.7384 -1.8296 -1.9101 -1.9833 -2.0586 -2.1356 -2.2125
 -2.2877 -2.3603 -2.4316 -2.5043 -2.5792 -2.7668 -2.9463 -3.1181 -3.2825 -3.4399
 -3.5920 -3.7383
 -1.3870 -1.5021 -1.6133 -1.7259 -1.8315 -1.9262 -2.0076 -2.0838 -2.1603 -2.2364
 -2.3108 -2.3822 -2.4510 -2.5199 -2.5917 -2.7776 -2.9579 -3.1299 -3.2943 -3.4513
 -3.6028 -3.7489 -3.8889 -4.0231
 -1.3695 -1.4768 -1.5877 -1.6969 -1.8035 -1.9057 -2.0015 -2.0895 -2.1722 -2.2515
 -2.3278 -2.4008 -2.4694 -2.5354 -2.6030 -2.7846 -2.9652 -3.1375 -3.3020 -3.4590
 -3.6100 -3.7557 -3.8957 -4.0299 -4.1588 -4.2834 -4.4043 -4.5218 -4.6360 -4.7460
 -1.3595 -1.4690 -1.5755 -1.6801 -1.7831 -1.8837 -1.9800 -2.0709 -2.1581 -2.2436
 -2.3269 -2.4063 -2.4806 -2.5496 -2.6153 -2.7898 -2.9699 -3.1425 -3.3072 -3.4643
 -3.6149 -3.7601 -3.9000 -4.0342 -4.1631 -4.2871 -4.4073 -4.5239 -4.6373 -4.7470
 -4.8527
