 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -4.6673 -4.4674 -4.2361 -3.9826 -3.7152 -3.1022 -2.5941 -2.1555 -1.7852 -1.4995
 -1.3008 -1.1669 -1.0743 -1.0077 -0.9575 -0.9177 -0.8841 -0.8534 -0.8234 -0.7942
 -7.8412 -7.2794 -6.7876 -6.3575 -5.9803 -5.6491 -5.3587 -5.1031 -4.8752 -4.6690
 -4.4841 -4.3141 -4.1300 -3.9104 -3.6642 -3.0590 -2.5547 -2.1266 -1.7618 -1.4720
 -1.2659 -1.1294 -1.0385 -0.9759 -0.9311 -0.8979 -0.8723 -0.8508 -0.8315 -0.8137
 -0.7960
 -8.3010 -7.6707 -7.1076 -6.6084 -6.1677 -5.7801 -5.4391 -5.1378 -4.8699 -4.6283
 -4.4069 -4.2039 -4.0190 -3.8356 -3.6319 -3.0658 -2.5549 -2.1283 -1.7642 -1.4671
 -1.2469 -1.0996 -1.0047 -0.9426 -0.9006 -0.8717 -0.8516 -0.8369 -0.8250 -0.8156
 -0.8087
 -8.8078 -8.1272 -7.5062 -6.9430 -6.4379 -5.9893 -5.5935 -5.2449 -4.9362 -4.6602
 -4.4097 -4.1797 -3.9676 -3.7705 -3.5801 -3.0830 -2.5815 -2.1495 -1.7835 -1.4789
 -1.2434 -1.0792 -0.9736 -0.9073 -0.8654 -0.8389 -0.8228 -0.8133 -0.8078 -0.8045
 -0.8030
 -9.3433 -8.6296 -7.9663 -7.3519 -6.7903 -6.2825 -5.8292 -5.4286 -5.0752 -4.7617
 -4.4804 -4.2244 -3.9887 -3.7698 -3.5644 -3.0917 -2.6264 -2.1929 -1.8225 -1.5111
 -1.2612 -1.0772 -0.9537 -0.8760 -0.8289 -0.8012 -0.7863 -0.7799 -0.7789 -0.7811
 -0.7843
 -9.8573 -9.1306 -8.4435 -7.7973 -7.1944 -6.6386 -6.1330 -5.6800 -5.2780 -4.9225
 -4.6062 -4.3215 -4.0617 -3.8211 -3.5976 -3.1023 -2.6635 -2.2443 -1.8700 -1.5530
 -1.2925 -1.0911 -0.9478 -0.8531 -0.7948 -0.7614 -0.7445 -0.7384 -0.7397 -0.7456
 -0.7540
-10.3184 -9.5976 -8.9078 -8.2481 -7.6224 -7.0337 -6.4883 -5.9906 -5.5418 -5.1410
 -4.7848 -4.4671 -4.1725 -3.9089 -3.6797 -3.1148 -2.6928 -2.3037 -1.9260
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  U   
 -7.3263 -7.3026 -7.2900 -7.2787 -7.2611 -7.2275 -7.1689 -7.0775 -6.9449 -6.7647
 -6.5355 -6.2611 -5.9555 -5.6460 -5.3427 -4.6146 -3.9094 -3.2325 -2.6346
 -6.8627 -6.8021 -6.7659 -6.7405 -6.7139 -6.6761 -6.6177 -6.5301 -6.4054 -6.2361
 -6.0166 -5.7487 -5.4501 -5.1453 -4.8484 -4.1541 -3.5117 -2.9223 -2.4097 -2.0049
 -6.5876 -6.4491 -6.3547 -6.2917 -6.2434 -6.1940 -6.1306 -6.0443 -5.9277 -5.7738
 -5.5759 -5.3311 -5.0493 -4.7554 -4.4684 -3.8085 -3.2181 -2.6897 -2.2354 -1.8712
 -1.6036
 -6.5043 -6.2830 -6.1260 -6.0032 -5.9022 -5.8200 -5.7418 -5.6507 -5.5379 -5.3968
 -5.2211 -5.0049 -4.7488 -4.4708 -4.1938 -3.5611 -3.0085 -2.5211 -2.1049 -1.7687
 -1.5198 -1.3431
