 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.5204 -3.3969 -3.2744 -3.1537 -3.0370 -2.9280 -2.8290 -2.7416 -2.6698 -2.6169
 -2.5742 -2.5256 -2.4673 -2.4057 -2.3467 -2.2216 -2.1284 -2.0633 -2.0221 -2.0004
 -1.9924 -1.9912 -1.9927 -1.9961 -2.0012 -2.0072 -2.0156 -2.0282 -2.0465 -2.0710
 -2.1002
 -3.4666 -3.3465 -3.2324 -3.1206 -3.0113 -2.9059 -2.8068 -2.7155 -2.6336 -2.5625
 -2.5041 -2.4592 -2.4203 -2.3787 -2.3323 -2.2166 -2.1258 -2.0617 -2.0209 -2.0000
 -1.9942 -1.9968 -2.0025 -2.0093 -2.0168 -2.0252 -2.0337 -2.0442 -2.0590 -2.0797
 -2.1075
 -3.4262 -3.2987 -3.1878 -3.0829 -2.9812 -2.8827 -2.7881 -2.6985 -2.6155 -2.5401
 -2.4735 -2.4168 -2.3701 -2.3311 -2.2952 -2.2037 -2.1195 -2.0568 -2.0164 -1.9957
 -1.9912 -1.9974 -2.0078 -2.0192 -2.0306 -2.0420 -2.0537 -2.0671 -2.0822 -2.0990
 -2.1172
 -3.4089 -3.2676 -3.1480 -3.0455 -2.9494 -2.8572 -2.7687 -2.6838 -2.6034 -2.5283
 -2.4597 -2.3988 -2.3461 -2.3009 -2.2620 -2.1810 -2.1090 -2.0502 -2.0100 -1.9886
 -1.9840 -1.9922 -2.0069 -2.0236 -2.0400 -2.0556 -2.0708 -2.0855 -2.1004 -2.1162
 -2.1344
 -3.4270 -3.2509 -3.1196 -3.0117 -2.9165 -2.8284 -2.7450 -2.6654 -2.5895 -2.5173
 -2.4498 -2.3880 -2.3330 -2.2849 -2.2428 -2.1590 -2.0935 -2.0400 -2.0017 -1.9798
 -1.9741 -1.9825 -2.0000 -2.0214 -2.0433 -2.0642 -2.0840 -2.1026 -2.1204 -2.1380
 -2.1560
 -3.4886 -3.2696 -3.1116 -2.9898 -2.8882 -2.7995 -2.7189 -2.6430 -2.5715 -2.5034
 -2.4388 -2.3785 -2.3232 -2.2737 -2.2302 -2.1430 -2.0781 -2.0278 -1.9916
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  w   
 -4.3018 -4.1208 -3.8805 -3.6557 -3.4448 -3.2630 -3.1265 -3.0150 -2.9139 -2.8151
 -2.7226 -2.6351 -2.5527 -2.4756 -2.4036 -2.2475 -2.1261 -2.0375 -1.9776
 -4.0096 -3.9956 -3.8473 -3.6345 -3.4309 -3.2435 -3.0950 -2.9770 -2.8742 -2.7775
 -2.6874 -2.6026 -2.5229 -2.4485 -2.3793 -2.2320 -2.1199 -2.0394 -1.9856 -1.9519
 -3.8213 -3.7121 -3.6965 -3.6058 -3.4246 -3.2437 -3.0818 -2.9533 -2.8475 -2.7521
 -2.6644 -2.5822 -2.5051 -2.4331 -2.3664 -2.2249 -2.1186 -2.0431 -1.9929 -1.9619
 -1.9436
 -3.7502 -3.5873 -3.4655 -3.4141 -3.3752 -3.2416 -3.0843 -2.9433 -2.8301 -2.7339
 -2.6479 -2.5681 -2.4934 -2.4237 -2.3592 -2.2222 -2.1198 -2.0475 -1.9998 -1.9708
 -1.9544 -1.9453
 -3.7011 -3.5372 -3.3864 -3.2619 -3.1765 -3.1352 -3.0680 -2.9451 -2.8226 -2.7210
 -2.6350 -2.5570 -2.4845 -2.4169 -2.3543 -2.2213 -2.1217 -2.0516 -2.0058 -1.9785
 -1.9641 -1.9567 -1.9537 -1.9540
 -3.6579 -3.5015 -3.3518 -3.2130 -3.0922 -2.9937 -2.9242 -2.8783 -2.8106 -2.7141
