 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -0.3266 -0.3282 -0.3386 -0.3541 -0.3716 -0.3902 -0.4102 -0.4312 -0.4545 -0.4817
 -0.5137
 -2.4989 -2.2328 -2.0042 -1.7981 -1.6103 -1.4429 -1.2963 -1.1687 -1.0580 -0.9615
 -0.8780 -0.8071 -0.7477 -0.6984 -0.6541 -0.5495 -0.4629 -0.3997 -0.3571 -0.3321
 -0.3220 -0.3244 -0.3366 -0.3551 -0.3764 -0.3985 -0.4211 -0.4443 -0.4683 -0.4933
 -0.5223
 -2.5850 -2.2905 -2.0511 -1.8421 -1.6531 -1.4817 -1.3282 -1.1928 -1.0740 -0.9696
 -0.8780 -0.7982 -0.7296 -0.6720 -0.6250 -0.5324 -0.4536 -0.3924 -0.3503 -0.3250
 -0.3147 -0.3173 -0.3305 -0.3514 -0.3765 -0.4028 -0.4292 -0.4554 -0.4816 -0.5082
 -0.5348
 -2.7137 -2.3700 -2.1086 -1.8902 -1.6984 -1.5255 -1.3688 -1.2278 -1.1025 -0.9916
 -0.8934 -0.8070 -0.7316 -0.6668 -0.6124 -0.5134 -0.4404 -0.3822 -0.3412
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.8178 -2.5130 -2.2466 -2.0188 -1.8044 -1.6135 -1.4649 -1.3374 -1.2254 -1.1288
 -1.0389 -0.9548 -0.8766 -0.8033 -0.7349 -0.5831 -0.4638 -0.3747 -0.3113
 -2.7521 -2.5411 -2.2622 -2.0137 -1.7955 -1.5980 -1.4418 -1.3096 -1.1970 -1.1005
 -1.0120 -0.9301 -0.8539 -0.7828 -0.7161 -0.5700 -0.4556 -0.3729 -0.3185 -0.2857
 -2.6232 -2.5278 -2.2883 -2.0337 -1.8049 -1.6014 -1.4311 -1.2933 -1.1786 -1.0808
 -0.9938 -0.9138 -0.8398 -0.7707 -0.7061 -0.5648 -0.4548 -0.3763 -0.3253 -0.2949
 -0.2793
 -2.4517 -2.3134 -2.2614 -2.0576 -1.8288 -1.6211 -1.4389 -1.2890 -1.1678 -1.0669
 -0.9802 -0.9017 -0.8295 -0.7625 -0.7000 -0.5633 -0.4566 -0.3807 -0.3317 -0.3027
 -0.2878 -0.2834
 -2.3408 -2.1287 -2.0277 -2.0006 -1.8476 -1.6467 -1.4606 -1.2987 -1.1658 -1.0584
 -0.9696 -0.8916 -0.8207 -0.7555 -0.6950 -0.5630 -0.4594 -0.3852 -0.3374 -0.3092
 -0.2950 -0.2911 -0.2942 -0.3013
 -2.3622 -2.1103 -1.9113 -1.7836 -1.7339 -1.6506 -1.4852 -1.3203 -1.1761 -1.0577
 -0.9619 -0.8828 -0.8124 -0.7484 -0.6895 -0.5621 -0.4617 -0.3891 -0.3420 -0.3144
 -0.3008 -0.2975 -0.3015 -0.3100 -0.3222 -0.3383 -0.3604 -0.3897 -0.4233 -0.4576
 -2.4098 -2.1392 -1.9093 -1.7227 -1.5850 -1.4977 -1.4384 -1.3356 -1.1968 -1.0682
 -0.9615 -0.8760 -0.8046 -0.7410 -0.6832 -0.5597 -0.4627 -0.3918 -0.3451 -0.3178
 -0.3047 -0.3022 -0.3075 -0.3174 -0.3304 -0.3465 -0.3664 -0.3913 -0.4219 -0.4578
 -0.4946
 -2.4733 -2.1911 -1.9446 -1.7342 -1.5604 -1.4227 -1.3169 -1.2378 -1.1691 -1.0788
 -0.9714 -0.8752 -0.7984 -0.7339 -0.6762 -0.5554 -0.4615 -0.3924 -0.3463 -0.3191
 -0.3065 -0.3049 -0.3116 -0.3235 -0.3384 -0.3555 -0.3752 -0.3977 -0.4247 -0.4574
 -0.4957
 -2.5435 -2.2533 -1.9975 -1.7729 -1.5801 -1.4188 -1.2861 -1.1765 -1.0858 -1.0109
 -0.9438 -0.8714 -0.7939 -0.7265 -0.6681 -0.5485 -0.4571 -0.3899 -0.3446 -0.3177
 -0.3056 -0.3050 -0.3133 -0.3275 -0.3450 -0.3643 -0.3854 -0.4084 -0.4335 -0.4625
 -0.4968
 -2.6260 -2.3272 -2.0633 -1.8310 -1.6259 -1.4489 -1.2991 -1.1727 -1.0656 -0.9733
 -0.8940 -0.8265 -0.7669 -0.7104 -0.6578 -0.5417 -0.4518 -0.3860 -0.3411 -0.3141
 -0.3021 -0.3022 -0.3117 -0.3281 -0.3486 -0.3710 -0.3944 -0.4189 -0.4448 -0.4726
 -0.5031
 -2.7332 -2.4133 -2.1359 -1.8970 -1.6855 -1.4983 -1.3354 -1.1958 -1.0764 -0.9734
 -0.8837 -0.8057 -0.7383 -0.6805 -0.6316 -0.5300 -0.4445 -0.3798 -0.3353 -0.3081
 -0.2959 -0.2961 -0.3066 -0.3248 -0.3481 -0.3739 -0.4009 -0.4282 -0.4560 -0.4846
 -0.5136
 -2.8652 -2.5116 -2.2170 -1.9680 -1.7505 -1.5582 -1.3871 -1.2369 -1.1067 -0.9938
 -0.8956 -0.8099 -0.7350 -0.6701 -0.5895 -0.5134 -0.4352 -0.3713 -0.3272
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.7669 -2.4630 -2.2058 -1.9908 -1.7775 -1.5931 -1.4434 -1.3186 -1.2071 -1.1118
