 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -2.3778 -2.4410 -2.4903 -2.5314 -2.5889 -2.7686 -2.9492 -3.1213 -3.2869 -3.4470
 -3.6004 -3.7469 -3.8865 -4.0202 -4.1486 -4.2728
 -1.3822 -1.4919 -1.5984 -1.7026 -1.8048 -1.9052 -2.0032 -2.0982 -2.1902 -2.2795
 -2.3655 -2.4442 -2.5073 -2.5558 -2.6056 -2.7765 -2.9569 -3.1294 -3.2945 -3.4542
 -3.6077 -3.7544 -3.8943 -4.0280 -4.1562 -4.2795 -4.3992 -4.5153 -4.6276 -4.7372
 -1.3836 -1.4929 -1.5977 -1.6994 -1.7984 -1.8952 -1.9898 -2.0819 -2.1710 -2.2565
 -2.3393 -2.4207 -2.4971 -2.5577 -2.6119 -2.7828 -2.9616 -3.1343 -3.2994 -3.4587
 -3.6124 -3.7595 -3.8997 -4.0336 -4.1618 -4.2848 -4.4035 -4.5187 -4.6302 -4.7383
 -4.8447
 -1.3904 -1.4962 -1.5994 -1.6994 -1.7963 -1.8905 -1.9822 -2.0716 -2.1586 -2.2425
 -2.3231 -2.4009 -2.4772 -2.5459 -2.6022 -2.7831 -2.9642 -3.1370 -3.3022 -3.4613
 -3.6151 -3.7626 -3.9033 -4.0376 -4.1660 -4.2889 -4.4073 -4.5216 -4.6324 -4.7398
 -4.8442
 -1.4064 -1.5061 -1.6055 -1.7030 -1.7980 -1.8902 -1.9799 -2.0670 -2.1521 -2.2347
 -2.3146 -2.3916 -2.4659 -2.5368 -2.5954 -2.7732 -2.9645 -3.1400 -3.3057 -3.4648
 -3.6188 -3.7669 -3.9083 -4.0432 -4.1720 -4.2953 -4.4138 -4.5278 -4.6381 -4.7449
 -4.8487
 -1.4334 -1.5245 -1.6172 -1.7096 -1.8010 -1.8906 -1.9781 -2.0633 -2.1466 -2.2279
 -2.3070 -2.3839 -2.4581 -2.5294 -2.5935 -2.7609 -2.9528 -3.1356 -3.3038 -3.4635
 -3.6177 -3.7662 -3.9082 -4.0438 -4.1732 -4.2971 -4.4158 -4.5300 -4.6400 -4.7465
 -4.8519
 -1.4724 -1.5565 -1.6406 -1.7257 -1.8111 -1.8960 -1.9801 -2.0627 -2.1440 -2.2237
 -2.3018 -2.3781 -2.4523 -2.5239 -2.5914 -2.7546 -2.9401 -3.1254 -3.2984 -3.4601
 -3.6149 -3.7641 -3.9068 -4.0432 -4.1734 -4.2979 -4.4173 -4.5320 -4.6422 -4.7487
 -4.8517
 -1.5236 -1.6002 -1.6772 -1.7545 -1.8322 -1.9105 -1.9892 -2.0677 -2.1459 -2.2233
 -2.2996 -2.3746 -2.4480 -2.5197 -2.5891 -2.7543 -2.9264 -3.1094 -3.2895
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F1130W
 -1.2927 -1.3800 -1.4582 -1.5279 -1.5910 -1.6619 -1.7465 -1.8440 -1.9378 -2.0266
 -2.1104 -2.1920 -2.2712 -2.3481 -2.4238 -2.6085
