 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F160W
  1.7050  1.6874  1.6773  1.6719  1.6647  1.6073  1.5014  1.3795  1.2555  1.1327
  1.0116  0.8919  0.7738  0.6577  0.5441  0.4328  0.3235  0.2162  0.1109  0.0074
 -0.0942
  2.0193  2.0041  1.9828  1.9559  1.9240  1.8879  1.8485  1.8079  1.7685  1.7323
  1.7003  1.6724  1.6494  1.6305  1.6146  1.5704  1.4883  1.3743  1.2516  1.1294
  1.0094  0.8914  0.7751  0.6604  0.5478  0.4377  0.3299  0.2244  0.1209  0.0192
 -0.0809
  1.9887  1.9800  1.9663  1.9470  1.9224  1.8929  1.8589  1.8216  1.7821  1.7427
  1.7052  1.6707  1.6399  1.6125  1.5875  1.5299  1.4608  1.3633  1.2467  1.1259
  1.0067  0.8901  0.7755  0.6624  0.5511  0.4420  0.3352  0.2309  0.1289  0.0288
 -0.0694
  1.9482  1.9442  1.9362  1.9239  1.9065  1.8842  1.8571  1.8256  1.7904  1.7526
  1.7138  1.6756  1.6395  1.6061  1.5752  1.5025  1.4306  1.3441  1.2384
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F160W
  1.9493  1.9362  1.9133  1.8934  1.8858  1.8860  1.8809  1.8727  1.8635  1.8553
  1.8420  1.8245  1.8024  1.7758  1.7450  1.6551  1.5517  1.4342  1.3025
  1.9207  1.9387  1.9316  1.9113  1.8927  1.8841  1.8769  1.8682  1.8588  1.8498
  1.8360  1.8175  1.7944  1.7667  1.7349  1.6426  1.5381  1.4219  1.2941  1.1601
  1.9158  1.8972  1.9202  1.9275  1.9107  1.8914  1.8784  1.8671  1.8559  1.8457
  1.8314  1.8125  1.7890  1.7607  1.7283  1.6341  1.5279  1.4119  1.2868  1.1562
  1.0245
  1.9441  1.9000  1.8762  1.8894  1.9159  1.9079  1.8875  1.8697  1.8551  1.8422
  1.8276  1.8085  1.7849  1.7567  1.7242  1.6287  1.5208  1.4043  1.2807  1.1527
  1.0237  0.8955
