 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.3154 -0.2541 -0.1899 -0.1423 -0.1283 -0.1472 -0.1444 -0.1059 -0.0669 -0.0350
 -0.0076  0.0147  0.0315  0.0437  0.0522  0.0620  0.0603  0.0465  0.0191 -0.0205
 -0.0696 -0.1251 -0.1827 -0.2399 -0.2961 -0.3526 -0.4106 -0.4711 -0.5337 -0.5951
 -0.2698 -0.2286 -0.1736 -0.1175 -0.0730 -0.0490 -0.0482 -0.0617 -0.0587 -0.0348
 -0.0093  0.0131  0.0300  0.0421  0.0504  0.0591  0.0562  0.0418  0.0141 -0.0257
 -0.0750 -0.1310 -0.1900 -0.2491 -0.3073 -0.3647 -0.4219 -0.4803 -0.5410 -0.6042
 -0.6666
 -0.2084 -0.1876 -0.1506 -0.1040 -0.0569 -0.0177  0.0079  0.0192  0.0166  0.0066
  0.0041  0.0153  0.0308  0.0426  0.0508  0.0585  0.0545  0.0394  0.0116 -0.0282
 -0.0776 -0.1342 -0.1947 -0.2561 -0.3165 -0.3757 -0.4343 -0.4924 -0.5513 -0.6123
 -0.6763
 -0.1302 -0.1279 -0.1107 -0.0805 -0.0429 -0.0047  0.0278  0.0511  0.0647  0.0693
  0.0655  0.0566  0.0511  0.0518  0.0552  0.0604  0.0551  0.0393  0.0112 -0.0286
 -0.0782 -0.1353 -0.1974 -0.2613 -0.3245 -0.3863 -0.4470 -0.5064 -0.5654 -0.6253
 -0.6868
 -0.0403 -0.0522 -0.0526 -0.0407 -0.0184  0.0099  0.0393  0.0653  0.0847  0.0973
  0.1034  0.1035  0.0982  0.0907  0.0824  0.0670  0.0582  0.0417  0.0137 -0.0257
 -0.0750 -0.1324 -0.1954 -0.2616 -0.3279 -0.3928 -0.4561 -0.5179 -0.5786 -0.6389
 -0.6989
  0.0573  0.0359  0.0219  0.0176  0.0235  0.0377  0.0570  0.0780  0.0971  0.1122
  0.1221  0.1271  0.1277  0.1245  0.1182  0.0921  0.0668  0.0467  0.0185 -0.0205
 -0.0694 -0.1265 -0.1901 -0.2578 -0.3269 -0.3951 -0.4617 -0.5265 -0.5896 -0.6515
 -0.7118
  0.1596  0.1321  0.1086  0.0919  0.0832  0.0828  0.0891  0.1000  0.1128  0.1253
  0.1355  0.1420  0.1448  0.1442  0.1409  0.1205  0.0891  0.0570  0.0258
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.6181 -0.4920 -0.3818 -0.2909 -0.2058 -0.1346 -0.0879 -0.0500 -0.0151  0.0167
  0.0453  0.0697  0.0888  0.1032  0.1137  0.1290  0.1312  0.1223  0.1040
 -0.6070 -0.5309 -0.4110 -0.3087 -0.2242 -0.1514 -0.1019 -0.0614 -0.0257  0.0063
  0.0340  0.0569  0.0746  0.0876  0.0970  0.1097  0.1106  0.1004  0.0787  0.0447
 -0.5432 -0.5366 -0.4365 -0.3294 -0.2400 -0.1662 -0.1107 -0.0695 -0.0352 -0.0022
  0.0246  0.0467  0.0637  0.0760  0.0848  0.0957  0.0952  0.0834  0.0600  0.0248
 -0.0214
 -0.4390 -0.4064 -0.4244 -0.3460 -0.2556 -0.1804 -0.1206 -0.0762 -0.0415 -0.0095
  0.0171  0.0386  0.0553  0.0674  0.0757  0.0853  0.0837  0.0709  0.0462  0.0101
