 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140M
  0.6048  0.5905  0.5746  0.5564  0.5352  0.4692  0.3903  0.3011  0.2030  0.0985
 -0.0092 -0.1175 -0.2254 -0.3331
  0.8223  0.7692  0.7305  0.7024  0.6809  0.6631  0.6450  0.6298  0.6257  0.6170
  0.6021  0.5870  0.5704  0.5520  0.5309  0.4650  0.3853  0.2953  0.1973  0.0939
 -0.0126 -0.1195 -0.2256 -0.3310 -0.4359 -0.5405 -0.6450 -0.7490 -0.8516 -0.9512
  0.8783  0.8158  0.7656  0.7272  0.6974  0.6734  0.6530  0.6342  0.6161  0.6029
  0.5946  0.5833  0.5678  0.5494  0.5284  0.4629  0.3825  0.2917  0.1936  0.0906
 -0.0151 -0.1213 -0.2264 -0.3302 -0.4330 -0.5351 -0.6366 -0.7377 -0.8385 -0.9386
 -1.0342
  0.9369  0.8696  0.8105  0.7617  0.7225  0.6903  0.6631  0.6390  0.6166  0.5956
  0.5771  0.5648  0.5561  0.5440  0.5262  0.4623  0.3814  0.2899  0.1915  0.0888
 -0.0164 -0.1223 -0.2271 -0.3301 -0.4316 -0.5318 -0.6310 -0.7295 -0.8275 -0.9253
 -1.0229
  0.9927  0.9251  0.8615  0.8048  0.7565  0.7160  0.6812  0.6506  0.6229  0.5969
  0.5727  0.5513  0.5351  0.5231  0.5116  0.4609  0.3809  0.2886  0.1896  0.0869
 -0.0180 -0.1237 -0.2287 -0.3319 -0.4330 -0.5323 -0.6302 -0.7268 -0.8225 -0.9177
 -1.0125
  1.0406  0.9773  0.9141  0.8539  0.7991  0.7507  0.7084  0.6711  0.6372  0.6062
  0.5773  0.5504  0.5271  0.5074  0.4906  0.4483  0.3805  0.2895  0.1903  0.0876
 -0.0168 -0.1221 -0.2271 -0.3306 -0.4318 -0.5308 -0.6279 -0.7231 -0.8170 -0.9099
 -1.0021
  1.0762  1.0199  0.9611  0.9022  0.8454  0.7922  0.7436  0.6999  0.6600  0.6233
  0.5894  0.5578  0.5290  0.5034  0.4806  0.4289  0.3704  0.2891  0.1915  0.0890
 -0.0150 -0.1199 -0.2245 -0.3281 -0.4298 -0.5291 -0.6261 -0.7208 -0.8136 -0.9050
 -0.9949
  1.0964  1.0490  0.9972  0.9431  0.8884  0.8347  0.7833  0.7351  0.6901  0.6483
  0.6093  0.5728  0.5389  0.5079  0.4798  0.4162  0.3549  0.2819  0.1915
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F140M
  0.6464  0.6678  0.6764  0.6774  0.6782  0.6827  0.6816  0.6770  0.6686  0.6624
  0.6513  0.6380  0.6229  0.6053  0.5845  0.5197  0.4422  0.3525  0.2519
  0.6302  0.6339  0.6577  0.6661  0.6656  0.6658  0.6635  0.6580  0.6511  0.6441
  0.6325  0.6185  0.6027  0.5843  0.5630  0.4975  0.4209  0.3346  0.2358  0.1258
  0.6954  0.6442  0.6299  0.6530  0.6601  0.6579  0.6539  0.6473  0.6389  0.6316
  0.6197  0.6051  0.5887  0.5699  0.5484  0.4825  0.4057  0.3199  0.2234  0.1171
  0.0054
  0.7194  0.6952  0.6641  0.6333  0.6491  0.6554  0.6510  0.6430  0.6327  0.6228
  0.6111  0.5960  0.5790  0.5601  0.5385  0.4726  0.3953  0.3093  0.2139  0.1101
  0.0013 -0.1093
  0.7501  0.7167  0.6948  0.6747  0.6480  0.6434  0.6497  0.6437  0.6317  0.6177
  0.6054  0.5900  0.5726  0.5534  0.5319  0.4664  0.3885  0.3018  0.2067  0.1046
 -0.0021 -0.1104 -0.2189 -0.3272
  0.7938  0.7468  0.7147  0.6924  0.6746  0.6567  0.6404  0.6390  0.6336  0.6187
  0.6022  0.5865  0.5686  0.5491  0.5276  0.4627  0.3844  0.2970  0.2017  0.1004
 -0.0048 -0.1116 -0.2182 -0.3242 -0.4298 -0.5351 -0.6400 -0.7445 -0.8477 -0.9467
  0.8477  0.7891  0.7444  0.7118  0.6875  0.6679  0.6508  0.6345  0.6223  0.6158
  0.6025  0.5850  0.5666  0.5466  0.5251  0.4608  0.3824  0.2942  0.1986  0.0976
 -0.0067 -0.1126 -0.2180 -0.3225 -0.4259 -0.5287 -0.6310 -0.7327 -0.8340 -0.9341
 -1.0305
  0.9077  0.8415  0.7856  0.7415  0.7075  0.6803  0.6574  0.6373  0.6183  0.6010
  0.5880  0.5771  0.5635  0.5453  0.5240  0.4604  0.3820  0.2932  0.1971  0.0962
 -0.0076 -0.1129 -0.2178 -0.3215 -0.4236 -0.5246 -0.6248 -0.7240 -0.8225 -0.9207
 -1.0182
  0.9690  0.8984  0.8360  0.7818  0.7374  0.7012  0.6708  0.6444  0.6202  0.5975
  0.5761  0.5572  0.5437  0.5323  0.5180  0.4604  0.3823  0.2927  0.1960  0.0949
 -0.0088 -0.1138 -0.2187 -0.3224 -0.4241 -0.5242 -0.6229 -0.7203 -0.8167 -0.9124
 -1.0078
  1.0268  0.9579  0.8918  0.8313  0.7780  0.7325  0.6939  0.6604  0.6302  0.6024
  0.5761  0.5511  0.5289  0.5111  0.4966  0.4548  0.3839  0.2946  0.1975  0.0963
 -0.0071 -0.1118 -0.2166 -0.3204 -0.4222 -0.5219 -0.6197 -0.7158 -0.8105 -0.9041
 -0.9969
  1.0754  1.0112  0.9468  0.8844  0.8261  0.7733  0.7266  0.6857  0.6489  0.6155
  0.5844  0.5549  0.5274  0.5028  0.4815  0.4360  0.3791  0.2966  0.1999  0.0986
 -0.0047 -0.1090 -0.2134 -0.3173 -0.4194 -0.5194 -0.6171 -0.7126 -0.8062 -0.8984
 -0.9890
  1.1114  1.0548  0.9949  0.9347  0.8757  0.8196  0.7674  0.7199  0.6767  0.6372
  0.6008  0.5667  0.5346  0.5049  0.4780  0.4198  0.3639  0.2930  0.2021
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F140M
  0.6790  0.6926  0.6947  0.6901  0.6860  0.6859  0.6828  0.6796  0.6729  0.6644
  0.6520  0.6369  0.6198  0.6008  0.5793  0.5137  0.4357  0.3493  0.2520
  0.6612  0.6624  0.6778  0.6793  0.6747  0.6707  0.6657  0.6605  0.6543  0.6465
  0.6339  0.6184  0.6008  0.5813  0.5593  0.4929  0.4157  0.3310  0.2365  0.1302
  0.6747  0.6278  0.6547  0.6696  0.6695  0.6643  0.6570  0.6497  0.6412  0.6341
  0.6215  0.6057  0.5877  0.5678  0.5455  0.4790  0.4019  0.3177  0.2247  0.1218
  0.0116
  0.7092  0.6823  0.6378  0.6501  0.6639  0.6623  0.6545  0.6449  0.6344  0.6250
  0.6129  0.5969  0.5786  0.5584  0.5362  0.4700  0.3927  0.3082  0.2159  0.1152
  0.0081 -0.1023
  0.7329  0.7065  0.6866  0.6570  0.6459  0.6581  0.6556  0.6454  0.6325  0.6189
  0.6069  0.5909  0.5724  0.5519  0.5298  0.4642  0.3868  0.3018  0.2095  0.1101
  0.0052 -0.1027 -0.2115 -0.3202
  0.7699  0.7301  0.7046  0.6861  0.6675  0.6484  0.6491  0.6476  0.6353  0.6190
  0.6028  0.5871  0.5684  0.5477  0.5255  0.4606  0.3832  0.2977  0.2051  0.1064
  0.0030 -0.1032 -0.2099 -0.3165 -0.4226 -0.5283 -0.6339 -0.7392 -0.8425 -0.9413
  0.8201  0.7666  0.7282  0.7015  0.6815  0.6647  0.6488  0.6377  0.6342  0.6230
  0.6038  0.5852  0.5662  0.5453  0.5229  0.4587  0.3816  0.2955  0.2025  0.1040
  0.0014 -0.1034 -0.2089 -0.3138 -0.4179 -0.5213 -0.6242 -0.7266 -0.8285 -0.9287
 -1.0248
  0.8784  0.8152  0.7643  0.7257  0.6967  0.6739  0.6547  0.6378  0.6226  0.6117
  0.6024  0.5855  0.5657  0.5445  0.5218  0.4581  0.3815  0.2950  0.2015  0.1029
  0.0009 -0.1033 -0.2079 -0.3119 -0.4146 -0.5163 -0.6171 -0.7172 -0.8166 -0.9151
 -1.0125
  0.9413  0.8719  0.8115  0.7617  0.7219  0.6903  0.6639  0.6411  0.6204  0.6012
  0.5840  0.5700  0.5569  0.5412  0.5210  0.4582  0.3820  0.2951  0.2008  0.1019
 -0.0001 -0.1039 -0.2083 -0.3119 -0.4142 -0.5148 -0.6143 -0.7126 -0.8098 -0.9062
 -1.0020
  1.0049  0.9335  0.8674  0.8088  0.7588  0.7172  0.6826  0.6527  0.6260  0.6013
  0.5779  0.5557  0.5360  0.5204  0.5064  0.4578  0.3843  0.2975  0.2030  0.1038
  0.0019 -0.1017 -0.2057 -0.3093 -0.4114 -0.5116 -0.6102 -0.7071 -0.8026 -0.8984
 -0.9907
  1.0636  0.9941  0.9264  0.8632  0.8057  0.7553  0.7117  0.6740  0.6406  0.6102
  0.5818  0.5547  0.5289  0.5056  0.4860  0.4435  0.3844  0.3007  0.2061  0.1067
  0.0048 -0.0985 -0.2023 -0.3057 -0.4080 -0.5083 -0.6066 -0.7029 -0.7974 -0.8904
 -0.9818
  1.1127  1.0482  0.9829  0.9191  0.8583  0.8020  0.7510  0.7055  0.6649  0.6282
  0.5944  0.5627  0.5326  0.5041  0.4782  0.4244  0.3722  0.3012  0.2098
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F140M
  0.7120  0.7167  0.7124  0.7025  0.6965  0.6936  0.6871  0.6815  0.6769  0.6678
  0.6541  0.6376  0.6189  0.5985  0.5760  0.5094  0.4314  0.3445  0.2502
  0.6541  0.6909  0.6974  0.6929  0.6841  0.6780  0.6696  0.6633  0.6585  0.6501
