 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -1.2338 -1.2078 -1.1864 -1.1702 -1.1585 -1.1338 -1.1059 -1.0815 -1.0741 -1.0849
 -1.1104 -1.1431 -1.1771 -1.2108 -1.2440 -1.2772 -1.3111 -1.3459 -1.3824 -1.4225
 -1.4663
 -1.8040 -1.6956 -1.6045 -1.5282 -1.4639 -1.4097 -1.3627 -1.3206 -1.2824 -1.2477
 -1.2166 -1.1893 -1.1657 -1.1458 -1.1296 -1.1022 -1.0839 -1.0698 -1.0646 -1.0748
 -1.1004 -1.1357 -1.1742 -1.2125 -1.2495 -1.2855 -1.3210 -1.3564 -1.3922 -1.4294
 -1.4684
 -1.7500 -1.6384 -1.5476 -1.4746 -1.4158 -1.3671 -1.3258 -1.2894 -1.2562 -1.2252
 -1.1964 -1.1702 -1.1468 -1.1264 -1.1090 -1.0774 -1.0600 -1.0521 -1.0519 -1.0626
 -1.0871 -1.1230 -1.1647 -1.2076 -1.2494 -1.2895 -1.3283 -1.3659 -1.4028 -1.4398
 -1.4776
 -1.7130 -1.5934 -1.4967 -1.4206 -1.3620 -1.3165 -1.2794 -1.2478 -1.2198 -1.1938
 -1.1693 -1.1463 -1.1246 -1.1048 -1.0967 -1.0594 -1.0342 -1.0284 -1.0360
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  i   
 -2.7831 -2.6382 -2.5147 -2.4025 -2.2937 -2.1764 -2.0395 -1.8853 -1.7496 -1.6355
 -1.5381 -1.4535 -1.3786 -1.3135 -1.2562 -1.1402 -1.0571 -1.0072 -0.9894
 -2.5968 -2.4459 -2.3214 -2.2143 -2.1166 -2.0194 -1.9098 -1.7936 -1.6885 -1.5962
 -1.5135 -1.4384 -1.3706 -1.3101 -1.2566 -1.1490 -1.0731 -1.0278 -1.0110 -1.0156
 -2.4614 -2.3074 -2.1802 -2.0733 -1.9807 -1.8964 -1.8105 -1.7207 -1.6374 -1.5621
 -1.4928 -1.4274 -1.3657 -1.3092 -1.2587 -1.1577 -1.0873 -1.0449 -1.0285 -1.0322
 -1.0486
 -2.3090 -2.1589 -2.0498 -1.9583 -1.8742 -1.7981 -1.7270 -1.6564 -1.5893 -1.5275
 -1.4699 -1.4147 -1.3605 -1.3084 -1.2607 -1.1651 -1.0987 -1.0587 -1.0427 -1.0458
 -1.0616 -1.0843
 -2.2448 -2.0629 -1.9205 -1.8137 -1.7391 -1.6898 -1.6466 -1.5972 -1.5445 -1.4929
 -1.4439 -1.3972 -1.3513 -1.3053 -1.2609 -1.1700 -1.1072 -1.0691 -1.0537 -1.0566
 -1.0723 -1.0949 -1.1216 -1.1524
 -2.2272 -2.0360 -1.8774 -1.7505 -1.6526 -1.5797 -1.5281 -1.4947 -1.4734 -1.4489
 -1.4152 -1.3763 -1.3368 -1.2975 -1.2579 -1.1721 -1.1125 -1.0763 -1.0616 -1.0647
 -1.0807 -1.1040 -1.1309 -1.1607 -1.1937 -1.2302 -1.2705 -1.3162 -1.3670 -1.4177
 -2.2241 -2.0312 -1.8673 -1.7319 -1.6236 -1.5386 -1.4729 -1.4224 -1.3850 -1.3613
 -1.3483 -1.3349 -1.3129 -1.2830 -1.2497 -1.1709 -1.1144 -1.0800 -1.0660 -1.0695
 -1.0862 -1.1109 -1.1392 -1.1694 -1.2017 -1.2364 -1.2739 -1.3149 -1.3606 -1.4118
 -1.4641
 -2.2164 -2.0290 -1.8659 -1.7285 -1.6158 -1.5250 -1.4523 -1.3943 -1.3478 -1.3110
 -1.2831 -1.2651 -1.2549 -1.2442 -1.2278 -1.1658 -1.1128 -1.0803 -1.0669 -1.0706
 -1.0880 -1.1145 -1.1451 -1.1771 -1.2102 -1.2444 -1.2807 -1.3189 -1.3602 -1.4060
 -1.4582
 -2.1944 -2.0150 -1.8576 -1.7228 -1.6105 -1.5185 -1.4430 -1.3810 -1.3299 -1.2878
 -1.2530 -1.2248 -1.2034 -1.1894 -1.1798 -1.1496 -1.1068 -1.0767 -1.0641 -1.0680
 -1.0858 -1.1141 -1.1477 -1.1828 -1.2181 -1.2535 -1.2898 -1.3271 -1.3661 -1.4084
 -1.4540
 -2.1689 -1.9938 -1.8408 -1.7111 -1.6014 -1.5103 -1.4354 -1.3728 -1.3201 -1.2753
 -1.2373 -1.2050 -1.1779 -1.1561 -1.1398 -1.1156 -1.0931 -1.0694 -1.0580 -1.0615
 -1.0791 -1.1083 -1.1447 -1.1835 -1.2222 -1.2602 -1.2980 -1.3357 -1.3740 -1.4136
 -1.4555
 -2.1544 -1.9730 -1.8180 -1.6896 -1.5827 -1.4942 -1.4212 -1.3603 -1.3087 -1.2642
 -1.2253 -1.1915 -1.1622 -1.1373 -1.1166 -1.0835 -1.0673 -1.0556 -1.0483 -1.0522
 -1.0691 -1.0982 -1.1362 -1.1785 -1.2213 -1.2631 -1.3038 -1.3435 -1.3828 -1.4221
 -1.4623
 -2.1621 -1.9676 -1.8034 -1.6679 -1.5583 -1.4703 -1.3990 -1.3402 -1.2909 -1.2485
 -1.2111 -1.1779 -1.1485 -1.1227 -1.1102 -1.0533 -1.0294 -1.0353 -1.0350
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  i   
 -3.0890 -2.9276 -2.7862 -2.6538 -2.5215 -2.3719 -2.1881 -1.9749 -1.7921 -1.6500
 -1.5389 -1.4492 -1.3741 -1.3098 -1.2537 -1.1408 -1.0580 -1.0050 -0.9816
 -2.8677 -2.7007 -2.5610 -2.4379 -2.3215 -2.1985 -2.0489 -1.8843 -1.7381 -1.6185
 -1.5200 -1.4374 -1.3670 -1.3064 -1.2537 -1.1481 -1.0722 -1.0248 -1.0034 -1.0052
 -2.7109 -2.5368 -2.3934 -2.2718 -2.1637 -2.0593 -1.9419 -1.8131 -1.6942 -1.5924
 -1.5054 -1.4297 -1.3634 -1.3055 -1.2550 -1.1551 -1.0844 -1.0399 -1.0203 -1.0213
 -1.0366
 -2.5542 -2.3979 -2.2612 -2.1422 -2.0377 -1.9429 -1.8490 -1.7478 -1.6508 -1.5649
 -1.4892 -1.4214 -1.3601 -1.3051 -1.2565 -1.1609 -1.0943 -1.0525 -1.0339 -1.0344
 -1.0488 -1.0715
 -2.4375 -2.2553 -2.0932 -1.9947 -1.9159 -1.8406 -1.7638 -1.6845 -1.6059 -1.5336
 -1.4684 -1.4092 -1.3542 -1.3031 -1.2568 -1.1649 -1.1017 -1.0622 -1.0446 -1.0448
 -1.0587 -1.0810 -1.1083 -1.1398
 -2.3701 -2.1552 -1.9921 -1.8640 -1.7660 -1.6935 -1.6422 -1.5989 -1.5512 -1.4978
 -1.4436 -1.3920 -1.3436 -1.2978 -1.2548 -1.1667 -1.1064 -1.0689 -1.0522 -1.0527
 -1.0665 -1.0890 -1.1163 -1.1469 -1.1809 -1.2183 -1.2601 -1.3072 -1.3588 -1.4098
 -2.3450 -2.1346 -1.9583 -1.8139 -1.6988 -1.6088 -1.5388 -1.4846 -1.4455 -1.4190
 -1.3951 -1.3645 -1.3270 -1.2876 -1.2491 -1.1660 -1.1083 -1.0727 -1.0567 -1.0576
 -1.0716 -1.0948 -1.1232 -1.1542 -1.1875 -1.2234 -1.2624 -1.3047 -1.3518 -1.4037
 -1.4559
 -2.3478 -2.1352 -1.9529 -1.8002 -1.6752 -1.5752 -1.4960 -1.4329 -1.3822 -1.3423
 -1.3136 -1.2956 -1.2811 -1.2618 -1.2355 -1.1621 -1.1072 -1.0734 -1.0582 -1.0592
 -1.0736 -1.0978 -1.1279 -1.1606 -1.1947 -1.2302 -1.2677 -1.3075 -1.3502 -1.3974
 -1.4500
 -2.3463 -2.1360 -1.9537 -1.7978 -1.6682 -1.5628 -1.4778 -1.4091 -1.3533 -1.3076
 -1.2701 -1.2405 -1.2193 -1.2056 -1.1941 -1.1518 -1.1023 -1.0707 -1.0563 -1.0576
 -1.0723 -1.0976 -1.1299 -1.1652 -1.2014 -1.2381 -1.2757 -1.3144 -1.3549 -1.3981
 -1.4454
 -2.3430 -2.1356 -1.9538 -1.7985 -1.6673 -1.5593 -1.4714 -1.3993 -1.3401 -1.2909
 -1.2497 -1.2152 -1.1866 -1.1642 -1.1480 -1.1225 -1.0930 -1.0647 -1.0514 -1.0526
 -1.0672 -1.0929 -1.1270 -1.1653 -1.2046 -1.2437 -1.2827 -1.3218 -1.3615 -1.4026
 -1.4459
 -2.3497 -2.1347 -1.9512 -1.7941 -1.6631 -1.5543 -1.4651 -1.3919 -1.3314 -1.2805
 -1.2373 -1.2005 -1.1691 -1.1426 -1.1208 -1.0875 -1.0698 -1.0540 -1.0432 -1.0447
 -1.0589 -1.0846 -1.1196 -1.1604 -1.2032 -1.2458 -1.2876 -1.3285 -1.3691 -1.4099
 -1.4515
 -2.3808 -2.1516 -1.9555 -1.7901 -1.6548 -1.5445 -1.4546 -1.3811 -1.3205 -1.2698
 -1.2264 -1.1889 -1.1564 -1.1284 -1.1125 -1.0468 -1.0327 -1.0386 -1.0317
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  i   
