 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.9478 -1.8140 -1.6798 -1.5500 -1.4300 -1.3231 -1.2303 -1.1510 -1.0843 -1.0281
 -0.9809 -0.9423 -0.9102 -0.8783 -0.8424 -0.7323 -0.6257 -0.5441 -0.4852 -0.4448
 -0.4169 -0.4025 -0.3914 -0.3827 -0.3754 -0.3689 -0.3638 -0.3593 -0.3576 -0.3610
 -0.3711
 -1.9132 -1.7960 -1.6709 -1.5473 -1.4294 -1.3218 -1.2263 -1.1427 -1.0705 -1.0088
 -0.9557 -0.9097 -0.8696 -0.8350 -0.8039 -0.7176 -0.6213 -0.5410 -0.4826 -0.4429
 -0.4184 -0.4051 -0.3983 -0.3944 -0.3915 -0.3891 -0.3871 -0.3857 -0.3855 -0.3875
 -0.3936
 -1.8541 -1.7545 -1.6457 -1.5338 -1.4239 -1.3209 -1.2275 -1.1438 -1.0696 -1.0042
 -0.9466 -0.8961 -0.8512 -0.8109 -0.7748 -0.6950 -0.6128 -0.5373 -0.4793 -0.4393
 -0.4149 -0.4032 -0.3997 -0.4005 -0.4026 -0.4050 -0.4075 -0.4097 -0.4122 -0.4156
 -0.4196
 -1.7763 -1.6926 -1.6005 -1.5023 -1.4044 -1.3102 -1.2226 -1.1427 -1.0702 -1.0045
 -0.9449 -0.8912 -0.8427 -0.7990 -0.7593 -0.6746 -0.5993 -0.5306 -0.4747 -0.4345
 -0.4095 -0.3977 -0.3960 -0.4003 -0.4073 -0.4150 -0.4225 -0.4295 -0.4360 -0.4424
 -0.4493
 -1.6845 -1.6146 -1.5375 -1.4546 -1.3696 -1.2862 -1.2070 -1.1334 -1.0654 -1.0024
 -0.9438 -0.8895 -0.8393 -0.7932 -0.7574 -0.6564 -0.5808 -0.5209 -0.4688
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.6969 -2.6377 -2.5801 -2.5178 -2.4530 -2.3587 -2.2053 -1.9859 -1.7548 -1.5461
 -1.3727 -1.2334 -1.1212 -1.0278 -0.9471 -0.7821 -0.6528 -0.5492 -0.4666
 -2.5140 -2.4459 -2.3850 -2.3250 -2.2590 -2.1765 -2.0525 -1.8681 -1.6724 -1.4895
 -1.3308 -1.1989 -1.0903 -0.9997 -0.9213 -0.7616 -0.6382 -0.5416 -0.4660 -0.4071
 -2.3745 -2.2940 -2.2248 -2.1614 -2.0979 -2.0259 -1.9257 -1.7748 -1.6085 -1.4476
 -1.3029 -1.1783 -1.0729 -0.9837 -0.9066 -0.7501 -0.6305 -0.5381 -0.4668 -0.4114
 -0.3684
 -2.2715 -2.1788 -2.0989 -2.0277 -1.9604 -1.8916 -1.8103 -1.6905 -1.5502 -1.4097
 -1.2791 -1.1630 -1.0620 -0.9748 -0.8988 -0.7444 -0.6270 -0.5373 -0.4690 -0.4165
 -0.3763 -0.3450
 -2.1708 -2.0714 -1.9899 -1.9168 -1.8462 -1.7758 -1.7012 -1.6079 -1.4920 -1.3706
 -1.2541 -1.1476 -1.0527 -0.9689 -0.8945 -0.7420 -0.6260 -0.5381 -0.4719 -0.4219
 -0.3842 -0.3556 -0.3332 -0.3152
 -2.1198 -1.9900 -1.8803 -1.7908 -1.7183 -1.6562 -1.5933 -1.5201 -1.4291 -1.3274
 -1.2253 -1.1292 -1.0415 -0.9626 -0.8912 -0.7413 -0.6263 -0.5394 -0.4748 -0.4268
 -0.3915 -0.3657 -0.3461 -0.3306 -0.3181 -0.3082 -0.3015 -0.2982 -0.2999 -0.3072
 -2.1062 -1.9628 -1.8325 -1.7173 -1.6187 -1.5343 -1.4605 -1.3940 -1.3280 -1.2584
 -1.1830 -1.1042 -1.0263 -0.9536 -0.8865 -0.7410 -0.6268 -0.5407 -0.4770 -0.4305
 -0.3974 -0.3743 -0.3580 -0.3457 -0.3358 -0.3279 -0.3222 -0.3192 -0.3196 -0.3255
 -0.3374
 -2.1070 -1.9595 -1.8200 -1.6907 -1.5739 -1.4714 -1.3815 -1.3013 -1.2269 -1.1579
 -1.0971 -1.0436 -0.9911 -0.9354 -0.8774 -0.7402 -0.6272 -0.5413 -0.4780 -0.4325
 -0.4010 -0.3805 -0.3675 -0.3589 -0.3525 -0.3475 -0.3441 -0.3422 -0.3430 -0.3467
 -0.3565
 -2.1086 -1.9629 -1.8224 -1.6871 -1.5603 -1.4453 -1.3433 -1.2533 -1.1732 -1.1006
 -1.0347 -0.9770 -0.9286 -0.8873 -0.8470 -0.7354 -0.6257 -0.5401 -0.4770 -0.4321
 -0.4018 -0.3832 -0.3733 -0.3687 -0.3665 -0.3654 -0.3652 -0.3657 -0.3675 -0.3714
 -0.3790
 -2.0984 -1.9637 -1.8280 -1.6942 -1.5646 -1.4432 -1.3332 -1.2356 -1.1496 -1.0736
 -1.0060 -0.9456 -0.8922 -0.8460 -0.8065 -0.7185 -0.6238 -0.5392 -0.4758 -0.4306
 -0.4006 -0.3830 -0.3752 -0.3741 -0.3763 -0.3796 -0.3836 -0.3876 -0.3920 -0.3975
 -0.4048
 -2.0663 -1.9461 -1.8224 -1.6961 -1.5701 -1.4488 -1.3360 -1.2342 -1.1440 -1.0644
 -0.9940 -0.9315 -0.8759 -0.8263 -0.7822 -0.6933 -0.6137 -0.5367 -0.4735 -0.4279
 -0.3975 -0.3800 -0.3733 -0.3746 -0.3806 -0.3886 -0.3972 -0.4056 -0.4139 -0.4223
 -0.4314
 -2.0129 -1.9070 -1.7971 -1.6836 -1.5663 -1.4506 -1.3405 -1.2387 -1.1471 -1.0655
 -0.9929 -0.9282 -0.8703 -0.8183 -0.7741 -0.6598 -0.5954 -0.5326 -0.4701
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F350LP
 -2.9219 -2.8736 -2.8225 -2.7610 -2.6710 -2.5402 -2.3599 -2.1234 -1.8454 -1.5984
 -1.3987 -1.2426 -1.1204 -1.0224 -0.9399 -0.7752 -0.6474 -0.5456 -0.4637
