 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -1.1700
 -6.8861 -6.6544 -6.4390 -6.2362 -6.0373 -5.8311 -5.6109 -5.3781 -5.1396 -4.9036
 -4.6749 -4.4554 -4.2447 -4.0414 -3.8456 -3.3868 -2.9541 -2.5301 -2.1512 -1.8304
 -1.5651 -1.3586 -1.2116 -1.1158 -1.0597 -1.0317 -1.0230 -1.0273 -1.0404 -1.0590
 -1.0798
 -6.7193 -6.5172 -6.3364 -6.1735 -6.0186 -5.8574 -5.6774 -5.4732 -5.2482 -5.0119
 -4.7744 -4.5425 -4.3101 -4.0943 -3.9015 -3.3899 -2.9858 -2.5918 -2.2059
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  u   
 -7.7888 -7.6829 -7.5797 -7.4684 -7.3429 -7.1844 -6.9739 -6.7140 -6.4622 -6.2331
 -6.0267 -5.8324 -5.6375 -5.4406 -5.2393 -4.7113 -4.1471 -3.5776 -3.0704
 -7.3547 -7.2258 -7.1126 -7.0021 -6.8840 -6.7485 -6.5786 -6.3805 -6.1790 -5.9805
 -5.7829 -5.5798 -5.3666 -5.1456 -4.9209 -4.3562 -3.7985 -3.2760 -2.8271 -2.4810
 -7.0696 -6.8847 -6.7342 -6.6059 -6.4858 -6.3621 -6.2221 -6.0621 -5.8930 -5.7172
 -5.5313 -5.3290 -5.1069 -4.8723 -4.6351 -4.0590 -3.5199 -3.0350 -2.6272 -2.3104
 -2.0880
 -6.9089 -6.6624 -6.4756 -6.3167 -6.1723 -6.0406 -5.9108 -5.7712 -5.6221 -5.4634
 -5.2917 -5.1006 -4.8841 -4.6483 -4.4072 -3.8313 -3.3105 -2.8514 -2.4693 -2.1712
 -1.9601 -1.8244
 -6.9360 -6.5931 -6.3139 -6.0920 -5.9220 -5.7928 -5.6732 -5.5436 -5.4025 -5.2515
 -5.0893 -4.9113 -4.7098 -4.4832 -4.2443 -3.6713 -3.1631 -2.7196 -2.3508 -2.0617
 -1.8536 -1.7196 -1.6400 -1.5953
 -7.0638 -6.6634 -6.3193 -6.0309 -5.7959 -5.6063 -5.4537 -5.3311 -5.2249 -5.1003
 -4.9471 -4.7742 -4.5847 -4.3733 -4.1423 -3.5718 -3.0688 -2.6333 -2.2684 -1.9802
 -1.7684 -1.6294 -1.5469 -1.5021 -1.4804 -1.4722 -1.4710 -1.4719 -1.4702 -1.4598
 -7.2613 -6.8089 -6.4145 -6.0777 -5.7945 -5.5579 -5.3599 -5.1923 -5.0488 -4.9265
 -4.8129 -4.6775 -4.5059 -4.3077 -4.0901 -3.5242 -3.0198 -2.5861 -2.2198 -1.9260
 -1.7049 -1.5549 -1.4642 -1.4143 -1.3906 -1.3828 -1.3841 -1.3896 -1.3952 -1.3971
 -1.3919
 -7.4942 -7.0083 -6.5730 -6.1950 -5.8720 -5.5970 -5.3618 -5.1591 -4.9812 -4.8224
 -4.6782 -4.5464 -4.4151 -4.2581 -4.0667 -3.5208 -3.0100 -2.5730 -2.2023 -1.8991
 -1.6644 -1.4980 -1.3932 -1.3340 -1.3047 -1.2941 -1.2953 -1.3027 -1.3125 -1.3215
 -1.3272
 -7.6719 -7.1996 -6.7533 -6.3516 -5.9991 -5.6929 -5.4254 -5.1906 -4.9824 -4.7953
 -4.6237 -4.4638 -4.3136 -4.1694 -4.0172 -3.5420 -3.0304 -2.5855 -2.2085 -1.8949
 -1.6449 -1.4590 -1.3354 -1.2623 -1.2240 -1.2082 -1.2068 -1.2141 -1.2260 -1.2387
 -1.2513
 -7.7288 -7.3142 -6.9008 -6.5127 -6.1556 -5.8322 -5.5418 -5.2804 -5.0443 -4.8298
 -4.6331 -4.4505 -4.2784 -4.1147 -3.9572 -3.5528 -3.0833 -2.6300 -2.2441 -1.9197
 -1.6539 -1.4469 -1.2997 -1.2062 -1.1533 -1.1280 -1.1208 -1.1252 -1.1366 -1.1517
 -1.1676
 -7.6628 -7.3076 -6.9528 -6.6116 -6.2854 -5.9764 -5.6840 -5.4085 -5.1514 -4.9129
 -4.6919 -4.4866 -4.2944 -4.1126 -3.9390 -3.5355 -3.1274 -2.6937 -2.2981 -1.9628
 -1.6828 -1.4569 -1.2865 -1.1696 -1.0973 -1.0580 -1.0414 -1.0398 -1.0481 -1.0626
 -1.0800
 -7.5285 -7.2124 -6.9095 -6.6220 -6.3481 -6.0818 -5.8171 -5.5517 -5.2893 -5.0352
 -4.7938 -4.5669 -4.3541 -4.1540 -3.9626 -3.4901 -3.1627 -2.7766 -2.3705
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  u   
 -7.7959 -7.7315 -7.6609 -7.5755 -7.4740 -7.3282 -7.1075 -6.8107 -6.5139 -6.2528
 -6.0306 -5.8348 -5.6486 -5.4604 -5.2666 -4.7550 -4.2104 -3.6651 -3.1618
