 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.9641 -1.9057 -1.8619 -1.8278 -1.7990 -1.7708 -1.7344 -1.6861 -1.6389 -1.5939
 -1.5486 -1.5009 -1.4511 -1.4025 -1.3580 -1.2690 -1.2105 -1.1808 -1.1768 -1.1901
 -1.2136
 -1.8752 -1.8080 -1.7583 -1.7218 -1.6942 -1.6715 -1.6479 -1.6165 -1.5842 -1.5530
 -1.5210 -1.4861 -1.4464 -1.4041 -1.3636 -1.2819 -1.2284 -1.2009 -1.1964 -1.2091
 -1.2315 -1.2592 -1.2915
 -1.8200 -1.7351 -1.6751 -1.6382 -1.6108 -1.5902 -1.5729 -1.5535 -1.5321 -1.5110
 -1.4895 -1.4659 -1.4375 -1.4033 -1.3673 -1.2921 -1.2426 -1.2170 -1.2125 -1.2247
 -1.2467 -1.2740 -1.3050 -1.3390 -1.3770
 -1.7970 -1.6966 -1.6207 -1.5664 -1.5312 -1.5128 -1.5061 -1.4976 -1.4851 -1.4707
 -1.4555 -1.4395 -1.4212 -1.3972 -1.3674 -1.2988 -1.2529 -1.2291 -1.2251 -1.2372
 -1.2596 -1.2871 -1.3175 -1.3508 -1.3867 -1.4259
 -1.7987 -1.6959 -1.6093 -1.5392 -1.4866 -1.4500 -1.4293 -1.4233 -1.4246 -1.4258
 -1.4214 -1.4114 -1.3984 -1.3830 -1.3619 -1.3015 -1.2591 -1.2372 -1.2341 -1.2465
 -1.2699 -1.2984 -1.3294 -1.3625 -1.3975 -1.4347 -1.4747 -1.5193 -1.5688 -1.6186
 -1.7973 -1.6977 -1.6113 -1.5386 -1.4792 -1.4332 -1.3998 -1.3771 -1.3635 -1.3588
 -1.3617 -1.3664 -1.3664 -1.3601 -1.3481 -1.2999 -1.2613 -1.2413 -1.2391 -1.2523
 -1.2769 -1.3074 -1.3400 -1.3738 -1.4088 -1.4453 -1.4837 -1.5248 -1.5697 -1.6201
 -1.6721
 -1.7830 -1.6913 -1.6098 -1.5392 -1.4798 -1.4307 -1.3915 -1.3612 -1.3393 -1.3239
 -1.3142 -1.3104 -1.3122 -1.3155 -1.3163 -1.2929 -1.2592 -1.2414 -1.2400 -1.2538
 -1.2771 -1.3126 -1.3478 -1.3836 -1.4197 -1.4565 -1.4945 -1.5335 -1.5751 -1.6212
 -1.6730
 -1.7436 -1.6674 -1.5944 -1.5306 -1.4751 -1.4280 -1.3882 -1.3551 -1.3283 -1.3075
