 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -0.4489
 -4.9551 -4.3151 -3.7705 -3.3277 -2.9763 -2.6987 -2.4759 -2.2936 -2.1411 -2.0121
 -1.9022 -1.8096 -1.7266 -1.6394 -1.5454 -1.3146 -1.1267 -0.9842 -0.8766 -0.7945
 -0.7314 -0.6827 -0.6436 -0.6106 -0.5813 -0.5546 -0.5306 -0.5091 -0.4910 -0.4776
 -0.4731
 -4.9436 -4.3237 -3.7841 -3.3369 -2.9768 -2.6903 -2.4603 -2.2722 -2.1153 -1.9819
 -1.8664 -1.7651 -1.6758 -1.5962 -1.5194 -1.3146 -1.1275 -0.9829 -0.8744 -0.7927
 -0.7314 -0.6857 -0.6511 -0.6233 -0.5992 -0.5773 -0.5574 -0.5390 -0.5228 -0.5103
 -0.5015
 -4.9092 -4.3307 -3.8113 -3.3726 -3.0101 -2.7153 -2.4777 -2.2826 -2.1193 -1.9799
 -1.8588 -1.7521 -1.6566 -1.5704 -1.4919 -1.3094 -1.1318 -0.9850 -0.8742 -0.7916
 -0.7304 -0.6860 -0.6545 -0.6313 -0.6126 -0.5962 -0.5814 -0.5674 -0.5546 -0.5435
 -0.5350
 -4.8448 -4.3169 -3.8344 -3.4145 -3.0569 -2.7599 -2.5151 -2.3121 -2.1414 -1.9951
 -1.8675 -1.7548 -1.6541 -1.5631 -1.4801 -1.2985 -1.1344 -0.9887 -0.8751 -0.7904
 -0.7281 -0.6837 -0.6536 -0.6336 -0.6197 -0.6089 -0.5998 -0.5913 -0.5832 -0.5758
 -0.5696
 -4.7641 -4.2867 -3.8482 -3.4562 -3.1136 -2.8192 -2.5691 -2.3575 -2.1778 -2.0234
 -1.8886 -1.7693 -1.6628 -1.5669 -1.4840 -1.2819 -1.1353 -0.9940 -0.8771
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.8913 -6.4929 -6.1114 -5.7412 -5.3741 -4.9471 -4.3952 -3.7293 -3.1554 -2.7181
