 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.2373 -0.2826 -0.3216 -0.3529 -0.3767 -0.3937 -0.4051 -0.4133 -0.4200 -0.4262
 -0.4327 -0.4393 -0.4460 -0.4531 -0.4597 -0.4774 -0.4993 -0.5307 -0.5775 -0.6327
 -0.6887 -0.7429 -0.7956 -0.8473 -0.8980 -0.9480 -0.9965 -1.0450 -1.0955 -1.1496
 -1.2082
 -0.1399 -0.1923 -0.2382 -0.2782 -0.3119 -0.3385 -0.3590 -0.3744 -0.3866 -0.3968
 -0.4060 -0.4149 -0.4235 -0.4321 -0.4399 -0.4595 -0.4854 -0.5199 -0.5668 -0.6241
 -0.6844 -0.7437 -0.8008 -0.8558 -0.9094 -0.9615 -1.0129 -1.0646 -1.1166 -1.1688
 -1.2213
 -0.0395 -0.0955 -0.1490 -0.1953 -0.2362 -0.2717 -0.3013 -0.3253 -0.3449 -0.3611
 -0.3750 -0.3875 -0.3990 -0.4102 -0.4207 -0.4441 -0.4715 -0.5075 -0.5539 -0.6106
 -0.6729 -0.7363 -0.7981 -0.8575 -0.9147 -0.9699 -1.0237 -1.0765 -1.1323 -1.1843
 -1.2341
  0.0638  0.0078 -0.0540 -0.1094 -0.1544 -0.1962 -0.2336 -0.2660 -0.2936 -0.3172
 -0.3374 -0.3551 -0.3710 -0.3855 -0.3992 -0.4298 -0.4588 -0.4956 -0.5417 -0.5969
 -0.6587 -0.7236 -0.7889 -0.8527 -0.9141 -0.9730 -1.0301 -1.0854 -1.1395 -1.1929
 -1.2465
  0.1701  0.1176  0.0468 -0.0217 -0.0704 -0.1163 -0.1591 -0.1982 -0.2334 -0.2646
 -0.2920 -0.3163 -0.3378 -0.3571 -0.3754 -0.4166 -0.4473 -0.4842 -0.5302
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  z   
 -0.5167 -0.5255 -0.5520 -0.5899 -0.6283 -0.6587 -0.6495 -0.6667 -0.6713 -0.6612
 -0.6368 -0.5984 -0.5617 -0.5248 -0.4911 -0.4326 -0.4189 -0.4414 -0.4843
 -0.4998 -0.4913 -0.5089 -0.5307 -0.5529 -0.5780 -0.6040 -0.6267 -0.6411 -0.6442
 -0.6337 -0.6100 -0.5778 -0.5453 -0.5166 -0.4685 -0.4564 -0.4758 -0.5119 -0.5540
 -0.5225 -0.4992 -0.4892 -0.4949 -0.5204 -0.5547 -0.5817 -0.6000 -0.6132 -0.6220
 -0.6223 -0.6114 -0.5885 -0.5611 -0.5358 -0.4931 -0.4819 -0.4998 -0.5354 -0.5779
 -0.6228
 -0.5369 -0.5179 -0.5045 -0.4970 -0.4974 -0.5077 -0.5315 -0.5638 -0.5891 -0.6012
 -0.6053 -0.6032 -0.5915 -0.5708 -0.5499 -0.5118 -0.5019 -0.5186 -0.5539 -0.5965
 -0.6416 -0.6875
 -0.5290 -0.5197 -0.5112 -0.5032 -0.4973 -0.4958 -0.5001 -0.5110 -0.5310 -0.5556
 -0.5733 -0.5827 -0.5827 -0.5723 -0.5560 -0.5242 -0.5159 -0.5321 -0.5674 -0.6110
 -0.6570 -0.7037 -0.7506 -0.7975
 -0.4960 -0.4999 -0.5005 -0.4979 -0.4934 -0.4890 -0.4869 -0.4885 -0.4938 -0.5036
 -0.5188 -0.5353 -0.5491 -0.5550 -0.5518 -0.5298 -0.5238 -0.5398 -0.5755 -0.6211
 -0.6690 -0.7172 -0.7655 -0.8136 -0.8614 -0.9090 -0.9571 -1.0072 -1.0617 -1.1177
 -0.4386 -0.4570 -0.4699 -0.4765 -0.4779 -0.4762 -0.4737 -0.4724 -0.4733 -0.4763
 -0.4815 -0.4898 -0.5022 -0.5146 -0.5228 -0.5268 -0.5254 -0.5416 -0.5774 -0.6255
 -0.6766 -0.7274 -0.7776 -0.8275 -0.8769 -0.9258 -0.9746 -1.0240 -1.0756 -1.1323
 -1.1909
 -0.3612 -0.3927 -0.4185 -0.4367 -0.4473 -0.4522 -0.4537 -0.4537 -0.4542 -0.4559
 -0.4586 -0.4625 -0.4689 -0.4774 -0.4869 -0.5065 -0.5196 -0.5380 -0.5736 -0.6235
 -0.6786 -0.7332 -0.7863 -0.8385 -0.8899 -0.9404 -0.9907 -1.0408 -1.0914 -1.1452
 -1.2042
 -0.2709 -0.3122 -0.3489 -0.3785 -0.4001 -0.4143 -0.4228 -0.4276 -0.4310 -0.4340
 -0.4375 -0.4415 -0.4464 -0.4524 -0.4595 -0.4806 -0.5041 -0.5296 -0.5658 -0.6163
 -0.6746 -0.7338 -0.7912 -0.8467 -0.9007 -0.9535 -1.0057 -1.0573 -1.1089 -1.1615
 -1.2171
 -0.1735 -0.2216 -0.2660 -0.3049 -0.3367 -0.3612 -0.3789 -0.3912 -0.4000 -0.4070
 -0.4132 -0.4195 -0.4259 -0.4324 -0.4393 -0.4591 -0.4852 -0.5164 -0.5546 -0.6045
 -0.6639 -0.7266 -0.7884 -0.8481 -0.9057 -0.9615 -1.0161 -1.0695 -1.1224 -1.1754
 -1.2296
 -0.0718 -0.1250 -0.1744 -0.2200 -0.2599 -0.2939 -0.3212 -0.3424 -0.3588 -0.3719
 -0.3828 -0.3929 -0.4023 -0.4113 -0.4201 -0.4421 -0.4684 -0.5020 -0.5424 -0.5917
 -0.6504 -0.7143 -0.7794 -0.8433 -0.9050 -0.9644 -1.0221 -1.0781 -1.1330 -1.1872
 -1.2415
  0.0306 -0.0250 -0.0779 -0.1279 -0.1736 -0.2147 -0.2506 -0.2808 -0.3058 -0.3266
 -0.3440 -0.3593 -0.3773 -0.3885 -0.4019 -0.4296 -0.4537 -0.4864 -0.5292
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.5844 -0.5748 -0.5815 -0.5995 -0.6238 -0.6487 -0.6693 -0.6817 -0.6837 -0.6733
 -0.6499 -0.6166 -0.5790 -0.5442 -0.5138 -0.4590 -0.4356 -0.4427 -0.4764
 -0.5379 -0.5192 -0.5199 -0.5363 -0.5628 -0.5932 -0.6219 -0.6444 -0.6580 -0.6602
 -0.6491 -0.6254 -0.5943 -0.5634 -0.5361 -0.4873 -0.4665 -0.4746 -0.5052 -0.5460
 -0.5075 -0.4817 -0.4857 -0.5020 -0.5231 -0.5498 -0.5792 -0.6061 -0.6268 -0.6386
 -0.6393 -0.6271 -0.6037 -0.5769 -0.5524 -0.5089 -0.4911 -0.4986 -0.5277 -0.5683
 -0.6127
 -0.5280 -0.4890 -0.4681 -0.4660 -0.4834 -0.5168 -0.5502 -0.5768 -0.5980 -0.6133
 -0.6211 -0.6196 -0.6063 -0.5850 -0.5634 -0.5247 -0.5096 -0.5173 -0.5452 -0.5855
 -0.6304 -0.6765
 -0.5467 -0.5110 -0.4873 -0.4742 -0.4708 -0.4789 -0.4994 -0.5294 -0.5629 -0.5869
 -0.5997 -0.6040 -0.6002 -0.5869 -0.5691 -0.5351 -0.5226 -0.5308 -0.5581 -0.5986
 -0.6445 -0.6917 -0.7391 -0.7867
 -0.5479 -0.5207 -0.5013 -0.4877 -0.4792 -0.4763 -0.4794 -0.4885 -0.5046 -0.5295
 -0.5558 -0.5748 -0.5826 -0.5798 -0.5688 -0.5403 -0.5303 -0.5394 -0.5666 -0.6076
 -0.6550 -0.7040 -0.7530 -0.8019 -0.8506 -0.8987 -0.9478 -0.9998 -1.0549 -1.1105
 -0.5254 -0.5108 -0.5000 -0.4913 -0.4838 -0.4778 -0.4746 -0.4749 -0.4789 -0.4864
 -0.4992 -0.5180 -0.5376 -0.5512 -0.5554 -0.5406 -0.5332 -0.5433 -0.5706 -0.6122
 -0.6617 -0.7131 -0.7641 -0.8149 -0.8651 -0.9151 -0.9651 -1.0157 -1.0685 -1.1256
 -1.1842
 -0.4770 -0.4774 -0.4788 -0.4791 -0.4770 -0.4733 -0.4692 -0.4661 -0.4652 -0.4666
 -0.4700 -0.4764 -0.4878 -0.5027 -0.5163 -0.5321 -0.5315 -0.5429 -0.5702 -0.6120
 -0.6635 -0.7180 -0.7719 -0.8250 -0.8773 -0.9290 -0.9805 -1.0318 -1.0836 -1.1383
 -1.1978
 -0.4050 -0.4204 -0.4353 -0.4471 -0.4542 -0.4568 -0.4563 -0.4542 -0.4523 -0.4516
 -0.4523 -0.4545 -0.4588 -0.4662 -0.4764 -0.5041 -0.5231 -0.5385 -0.5662 -0.6079
 -0.6607 -0.7184 -0.7761 -0.8325 -0.8874 -0.9413 -0.9946 -1.0475 -1.1003 -1.1546
 -1.2106
 -0.3162 -0.3444 -0.3712 -0.3946 -0.4127 -0.4246 -0.4311 -0.4338 -0.4345 -0.4348
 -0.4356 -0.4374 -0.4402 -0.4444 -0.4504 -0.4739 -0.5023 -0.5286 -0.5584 -0.5994
 -0.6520 -0.7118 -0.7732 -0.8334 -0.8918 -0.9486 -1.0042 -1.0589 -1.1131 -1.1673
 -1.2226
 -0.2176 -0.2547 -0.2910 -0.3244 -0.3526 -0.3747 -0.3906 -0.4009 -0.4074 -0.4116
 -0.4150 -0.4186 -0.4226 -0.4271 -0.4323 -0.4511 -0.4794 -0.5123 -0.5474 -0.5889
 -0.6405 -0.7006 -0.7645 -0.8284 -0.8907 -0.9510 -1.0096 -1.0668 -1.1229 -1.1783
 -1.2337
 -0.1123 -0.1562 -0.1991 -0.2402 -0.2768 -0.3082 -0.3337 -0.3532 -0.3677 -0.3785
 -0.3868 -0.3940 -0.4023 -0.4082 -0.4221 -0.4357 -0.4544 -0.4896 -0.5332
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  z   
 -0.7806 -0.7564 -0.7438 -0.7378 -0.7343 -0.7294 -0.7199 -0.7055 -0.6923 -0.6750
 -0.6498 -0.6180 -0.5838 -0.5523 -0.5251 -0.4751 -0.4486 -0.4459 -0.4681
 -0.6887 -0.6597 -0.6473 -0.6466 -0.6530 -0.6617 -0.6675 -0.6703 -0.6712 -0.6662
 -0.6512 -0.6266 -0.5972 -0.5686 -0.5435 -0.4983 -0.4755 -0.4749 -0.4965 -0.5333
 -0.6292 -0.5923 -0.5745 -0.5729 -0.5828 -0.5992 -0.6162 -0.6307 -0.6423 -0.6480
 -0.6440 -0.6287 -0.6050 -0.5793 -0.5561 -0.5150 -0.4957 -0.4969 -0.5179 -0.5539
 -0.5973
 -0.5753 -0.5334 -0.5195 -0.5197 -0.5282 -0.5454 -0.5675 -0.5890 -0.6079 -0.6218
 -0.6277 -0.6229 -0.6073 -0.5858 -0.5646 -0.5269 -0.5104 -0.5133 -0.5342 -0.5696
 -0.6133 -0.6597
 -0.5772 -0.5143 -0.4774 -0.4636 -0.4708 -0.4948 -0.5246 -0.5520 -0.5749 -0.5928
 -0.6046 -0.6085 -0.6025 -0.5874 -0.5691 -0.5346 -0.5207 -0.5250 -0.5463 -0.5815
 -0.6257 -0.6732 -0.7215 -0.7700
 -0.5902 -0.5311 -0.4890 -0.4627 -0.4511 -0.4532 -0.4679 -0.4943 -0.5289 -0.5593
 -0.5789 -0.5884 -0.5898 -0.5829 -0.5695 -0.5389 -0.5272 -0.5329 -0.5547 -0.5899
 -0.6347 -0.6837 -0.7337 -0.7837 -0.8337 -0.8840 -0.9350 -0.9885 -1.0449 -1.1005
 -0.5949 -0.5411 -0.5016 -0.4745 -0.4578 -0.4504 -0.4513 -0.4598 -0.4750 -0.4977
 -0.5258 -0.5508 -0.5658 -0.5693 -0.5640 -0.5399 -0.5303 -0.5374 -0.5597 -0.5951
 -0.6404 -0.6910 -0.7431 -0.7951 -0.8468 -0.8985 -0.9503 -1.0029 -1.0576 -1.1156
 -1.1740
 -0.5818 -0.5376 -0.5048 -0.4817 -0.4659 -0.4558 -0.4508 -0.4508 -0.4552 -0.4636
 -0.4756 -0.4925 -0.5131 -0.5312 -0.5422 -0.5372 -0.5303 -0.5387 -0.5614 -0.5969
 -0.6426 -0.6948 -0.7492 -0.8036 -0.8575 -0.9109 -0.9643 -1.0176 -1.0717 -1.1278
 -1.1878
 -0.5441 -0.5135 -0.4913 -0.4759 -0.4652 -0.4573 -0.4512 -0.4475 -0.4465 -0.4483
 -0.4524 -0.4588 -0.4682 -0.4814 -0.4964 -0.5230 -0.5267 -0.5369 -0.5602 -0.5956
 -0.6416 -0.6953 -0.7524 -0.8097 -0.8662 -0.9219 -0.9772 -1.0320 -1.0869 -1.1430
 -1.2005
 -0.4803 -0.4665 -0.4568 -0.4521 -0.4495 -0.4475 -0.4448 -0.4418 -0.4392 -0.4379
 -0.4383 -0.4406 -0.4445 -0.4504 -0.4588 -0.4891 -0.5151 -0.5315 -0.5556 -0.5906
 -0.6361 -0.6902 -0.7495 -0.8100 -0.8697 -0.9281 -0.9856 -1.0421 -1.0983 -1.1545
 -1.2116
 -0.3946 -0.3961 -0.4004 -0.4075 -0.4152 -0.4216 -0.4255 -0.4270 -0.4267 -0.4259
 -0.4255 -0.4263 -0.4284 -0.4318 -0.4367 -0.4580 -0.4895 -0.5198 -0.5478 -0.5830
 -0.6277 -0.6815 -0.7419 -0.8051 -0.8681 -0.9297 -0.9900 -1.0489 -1.1068 -1.1643
 -1.2215
 -0.2938 -0.3080 -0.3248 -0.3432 -0.3611 -0.3769 -0.3894 -0.3982 -0.4036 -0.4066
 -0.4085 -0.4104 -0.4128 -0.4162 -0.4301 -0.4297 -0.4499 -0.5018 -0.5368
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  z   
 -0.9269 -0.8968 -0.8748 -0.8552 -0.8327 -0.8038 -0.7660 -0.7229 -0.6923 -0.6682
 -0.6421 -0.6124 -0.5815 -0.5521 -0.5265 -0.4793 -0.4537 -0.4482 -0.4638
 -0.8109 -0.7772 -0.7573 -0.7455 -0.7369 -0.7264 -0.7086 -0.6887 -0.6745 -0.6620
 -0.6447 -0.6210 -0.5936 -0.5668 -0.5430 -0.5001 -0.4780 -0.4758 -0.4922 -0.5257
 -0.7292 -0.6874 -0.6638 -0.6535 -0.6519 -0.6539 -0.6533 -0.6502 -0.6489 -0.6469
 -0.6392 -0.6232 -0.6006 -0.5764 -0.5541 -0.5146 -0.4957 -0.4953 -0.5130 -0.5458
 -0.5879
 -0.6623 -0.6218 -0.5943 -0.5807 -0.5798 -0.5875 -0.5982 -0.6073 -0.6162 -0.6234
 -0.6251 -0.6183 -0.6026 -0.5820 -0.5615 -0.5248 -0.5085 -0.5101 -0.5286 -0.5612
 -0.6033 -0.6494
 -0.6293 -0.5730 -0.5224 -0.5126 -0.5188 -0.5311 -0.5473 -0.5641 -0.5799 -0.5938
 -0.6033 -0.6054 -0.5982 -0.5833 -0.5655 -0.5315 -0.5174 -0.5208 -0.5401 -0.5727
 -0.6150 -0.6621 -0.7106 -0.7594
 -0.6235 -0.5511 -0.5010 -0.4705 -0.4583 -0.4634 -0.4849 -0.5148 -0.5426 -0.5635
 -0.5778 -0.5859 -0.5867 -0.5792 -0.5659 -0.5353 -0.5232 -0.5280 -0.5481 -0.5809
 -0.6235 -0.6717 -0.7218 -0.7722 -0.8229 -0.8737 -0.9258 -0.9807 -1.0380 -1.0940
 -0.6281 -0.5592 -0.5075 -0.4713 -0.4496 -0.4407 -0.4435 -0.4567 -0.4800 -0.5103
 -0.5393 -0.5592 -0.5682 -0.5684 -0.5615 -0.5365 -0.5262 -0.5324 -0.5531 -0.5862
 -0.6290 -0.6782 -0.7301 -0.7826 -0.8351 -0.8876 -0.9405 -0.9943 -1.0502 -1.1090
 -1.1673
 -0.6270 -0.5631 -0.5145 -0.4795 -0.4558 -0.4418 -0.4365 -0.4387 -0.4474 -0.4614
 -0.4803 -0.5036 -0.5261 -0.5417 -0.5474 -0.5346 -0.5265 -0.5340 -0.5551 -0.5883
 -0.6314 -0.6815 -0.7354 -0.7902 -0.8448 -0.8991 -0.9535 -1.0081 -1.0633 -1.1207
 -1.1811
 -0.6078 -0.5534 -0.5116 -0.4812 -0.4603 -0.4464 -0.4381 -0.4347 -0.4361 -0.4413
 -0.4495 -0.4602 -0.4741 -0.4908 -0.5071 -0.5262 -0.5239 -0.5329 -0.5547 -0.5880
 -0.6312 -0.6822 -0.7380 -0.7955 -0.8527 -0.9093 -0.9656 -1.0216 -1.0778 -1.1347
 -1.1935
 -0.5637 -0.5244 -0.4925 -0.4702 -0.4550 -0.4448 -0.4376 -0.4330 -0.4306 -0.4309
 -0.4336 -0.4383 -0.4446 -0.4529 -0.4638 -0.4964 -0.5166 -0.5286 -0.5511 -0.5842
 -0.6270 -0.6782 -0.7354 -0.7954 -0.8555 -0.9147 -0.9732 -1.0309 -1.0882 -1.1457
 -1.2039
 -0.4925 -0.4701 -0.4527 -0.4405 -0.4339 -0.4302 -0.4277 -0.4256 -0.4236 -0.4223
 -0.4223 -0.4239 -0.4271 -0.4316 -0.4375 -0.4618 -0.4937 -0.5201 -0.5448 -0.5779
 -0.6202 -0.6710 -0.7288 -0.7906 -0.8536 -0.9158 -0.9769 -1.0368 -1.0959 -1.1545
 -1.2130
 -0.3997 -0.3930 -0.3900 -0.3900 -0.3935 -0.3984 -0.4031 -0.4065 -0.4084 -0.4091
 -0.4095 -0.4105 -0.4126 -0.4159 -0.4282 -0.4224 -0.4552 -0.5074 -0.5358
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.1022 -1.0699 -1.0411 -1.0090 -0.9660 -0.9078 -0.8317 -0.7464 -0.6892 -0.6550
 -0.6286 -0.6019 -0.5745 -0.5481 -0.5245 -0.4802 -0.4565 -0.4499 -0.4611
 -0.9598 -0.9247 -0.8995 -0.8777 -0.8531 -0.8189 -0.7691 -0.7146 -0.6759 -0.6519
 -0.6320 -0.6102 -0.5858 -0.5614 -0.5392 -0.4988 -0.4780 -0.4744 -0.4880 -0.5176
 -0.8533 -0.8097 -0.7820 -0.7642 -0.7505 -0.7345 -0.7094 -0.6785 -0.6554 -0.6408
 -0.6282 -0.6123 -0.5921 -0.5700 -0.5492 -0.5115 -0.4933 -0.4923 -0.5076 -0.5373
 -0.5774
 -0.7773 -0.7251 -0.6904 -0.6703 -0.6603 -0.6552 -0.6484 -0.6365 -0.6269 -0.6217
 -0.6169 -0.6082 -0.5935 -0.5748 -0.5558 -0.5204 -0.5044 -0.5054 -0.5221 -0.5521
 -0.5922 -0.6376
 -0.6930 -0.6425 -0.6138 -0.5958 -0.5857 -0.5841 -0.5875 -0.5897 -0.5917 -0.5953
 -0.5983 -0.5972 -0.5894 -0.5757 -0.5593 -0.5264 -0.5123 -0.5149 -0.5327 -0.5631
 -0.6033 -0.6495 -0.6980 -0.7472
 -0.6660 -0.5919 -0.5411 -0.5125 -0.5043 -0.5120 -0.5268 -0.5417 -0.5537 -0.5643
 -0.5736 -0.5794 -0.5791 -0.5718 -0.5594 -0.5299 -0.5176 -0.5215 -0.5401 -0.5711
 -0.6114 -0.6583 -0.7081 -0.7589 -0.8102 -0.8621 -0.9155 -0.9714 -1.0297 -1.0863
 -0.6664 -0.5874 -0.5272 -0.4850 -0.4598 -0.4499 -0.4542 -0.4718 -0.4981 -0.5245
 -0.5445 -0.5569 -0.5626 -0.5620 -0.5553 -0.5311 -0.5204 -0.5257 -0.5449 -0.5761
 -0.6167 -0.6641 -0.7155 -0.7682 -0.8214 -0.8748 -0.9286 -0.9838 -1.0412 -1.1009
 -1.1596
 -0.6688 -0.5908 -0.5299 -0.4846 -0.4538 -0.4357 -0.4290 -0.4322 -0.4442 -0.4636
 -0.4885 -0.5141 -0.5337 -0.5438 -0.5450 -0.5296 -0.5208 -0.5274 -0.5472 -0.5785
 -0.6193 -0.6673 -0.7200 -0.7748 -0.8300 -0.8853 -0.9408 -0.9966 -1.0533 -1.1120
 -1.1733
 -0.6631 -0.5891 -0.5313 -0.4878 -0.4569 -0.4365 -0.4251 -0.4216 -0.4249 -0.4336
 -0.4462 -0.4620 -0.4806 -0.4998 -0.5151 -0.5241 -0.5187 -0.5267 -0.5473 -0.5787
 -0.6198 -0.6683 -0.7223 -0.7793 -0.8369 -0.8944 -0.9518 -1.0091 -1.0666 -1.1249
 -1.1851
 -0.6393 -0.5763 -0.5240 -0.4850 -0.4571 -0.4383 -0.4263 -0.4197 -0.4180 -0.4204
 -0.4262 -0.4343 -0.4439 -0.4554 -0.4691 -0.5020 -0.5136 -0.5232 -0.5445 -0.5759
 -0.6167 -0.6654 -0.7202 -0.7790 -0.8391 -0.8989 -0.9584 -1.0173 -1.0760 -1.1348
 -1.1944
 -0.5886 -0.5406 -0.5007 -0.4687 -0.4467 -0.4321 -0.4228 -0.4170 -0.4137 -0.4129
 -0.4145 -0.4183 -0.4236 -0.4301 -0.4377 -0.4656 -0.4961 -0.5166 -0.5391 -0.5707
 -0.6111 -0.6596 -0.7148 -0.7748 -0.8370 -0.8994 -0.9613 -1.0223 -1.0826 -1.1425
 -1.2025
 -0.5109 -0.4796 -0.4538 -0.4341 -0.4201 -0.4123 -0.4081 -0.4059 -0.4047 -0.4041
 -0.4044 -0.4060 -0.4089 -0.4132 -0.4209 -0.4149 -0.4662 -0.5069 -0.5311
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  z   
 -1.2992 -1.2708 -1.2405 -1.1993 -1.1360 -1.0447 -0.9216 -0.7818 -0.6892 -0.6416
 -0.6138 -0.5906 -0.5673 -0.5444 -0.5229 -0.4817 -0.4593 -0.4528 -0.4608
 -1.1314 -1.1000 -1.0740 -1.0449 -1.0046 -0.9443 -0.8560 -0.7550 -0.6815 -0.6411
 -0.6177 -0.5982 -0.5777 -0.5566 -0.5366 -0.4987 -0.4790 -0.4751 -0.4861 -0.5114
 -0.9977 -0.9576 -0.9299 -0.9073 -0.8823 -0.8466 -0.7918 -0.7232 -0.6674 -0.6342
 -0.6151 -0.5997 -0.5827 -0.5640 -0.5454 -0.5100 -0.4925 -0.4911 -0.5043 -0.5308
 -0.5680
 -0.8997 -0.8475 -0.8122 -0.7889 -0.7713 -0.7525 -0.7242 -0.6831 -0.6452 -0.6205
 -0.6065 -0.5957 -0.5831 -0.5676 -0.5510 -0.5178 -0.5023 -0.5027 -0.5177 -0.5452
 -0.5827 -0.6266
 -0.8147 -0.7629 -0.7223 -0.6939 -0.6760 -0.6646 -0.6535 -0.6350 -0.6142 -0.5996
 -0.5917 -0.5862 -0.5786 -0.5673 -0.5535 -0.5231 -0.5093 -0.5112 -0.5274 -0.5559
 -0.5937 -0.6381 -0.6860 -0.7348
 -0.7307 -0.6639 -0.6233 -0.6029 -0.5926 -0.5864 -0.5840 -0.5814 -0.5756 -0.5714
 -0.5706 -0.5710 -0.5691 -0.5628 -0.5527 -0.5261 -0.5140 -0.5173 -0.5343 -0.5634
 -0.6016 -0.6466 -0.6955 -0.7462 -0.7976 -0.8499 -0.9039 -0.9610 -1.0199 -1.0771
 -0.7124 -0.6294 -0.5672 -0.5253 -0.5017 -0.4944 -0.5008 -0.5151 -0.5283 -0.5373
 -0.5442 -0.5502 -0.5540 -0.5535 -0.5481 -0.5269 -0.5165 -0.5211 -0.5389 -0.5683
 -0.6070 -0.6523 -0.7024 -0.7547 -0.8079 -0.8617 -0.9162 -0.9723 -1.0308 -1.0914
 -1.1504
 -0.7109 -0.6241 -0.5557 -0.5042 -0.4688 -0.4477 -0.4394 -0.4426 -0.4565 -0.4777
 -0.5009 -0.5202 -0.5326 -0.5384 -0.5387 -0.5253 -0.5168 -0.5227 -0.5413 -0.5709
 -0.6098 -0.6557 -0.7065 -0.7605 -0.8156 -0.8712 -0.9274 -0.9839 -1.0417 -1.1017
 -1.1638
 -0.7094 -0.6234 -0.5542 -0.5010 -0.4619 -0.4356 -0.4206 -0.4155 -0.4190 -0.4295
 -0.4457 -0.4660 -0.4877 -0.5063 -0.5183 -0.5202 -0.5146 -0.5220 -0.5416 -0.5716
 -0.6108 -0.6573 -0.7091 -0.7645 -0.8217 -0.8793 -0.9374 -0.9955 -1.0541 -1.1136
 -1.1750
 -0.7019 -0.6198 -0.5525 -0.5003 -0.4616 -0.4345 -0.4170 -0.4077 -0.4056 -0.4095
 -0.4178 -0.4293 -0.4428 -0.4584 -0.4747 -0.5051 -0.5100 -0.5187 -0.5391 -0.5693
 -0.6085 -0.6552 -0.7077 -0.7643 -0.8233 -0.8830 -0.9429 -1.0026 -1.0623 -1.1224
 -1.1833
 -0.6735 -0.6022 -0.5419 -0.4932 -0.4573 -0.4321 -0.4155 -0.4054 -0.4006 -0.4003
 -0.4038 -0.4101 -0.4182 -0.4274 -0.4378 -0.4699 -0.4976 -0.5128 -0.5342 -0.5648
 -0.6038 -0.6505 -0.7033 -0.7608 -0.8212 -0.8829 -0.9449 -1.0065 -1.0678 -1.1289
 -1.1902
 -0.6172 -0.5609 -0.5124 -0.4729 -0.4421 -0.4212 -0.4077 -0.3995 -0.3952 -0.3935
 -0.3943 -0.3974 -0.4023 -0.4084 -0.4076 -0.4146 -0.4774 -0.5043 -0.5269
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  z   
 -1.4974 -1.4796 -1.4540 -1.4085 -1.3285 -1.1929 -1.0093 -0.8116 -0.6822 -0.6173
 -0.5861 -0.5653 -0.5461 -0.5265 -0.5081 -0.4712 -0.4517 -0.4474 -0.4550
 -1.3115 -1.2898 -1.2679 -1.2353 -1.1800 -1.0898 -0.9538 -0.7969 -0.6817 -0.6204
 -0.5910 -0.5727 -0.5560 -0.5385 -0.5211 -0.4868 -0.4693 -0.4667 -0.4773 -0.5000
 -1.1537 -1.1225 -1.0993 -1.0750 -1.0394 -0.9819 -0.8913 -0.7751 -0.6774 -0.6193
 -0.5907 -0.5745 -0.5605 -0.5454 -0.5295 -0.4972 -0.4812 -0.4804 -0.4932 -0.5179
 -0.5530
