 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.2252 -1.2011 -1.1719 -1.1383 -1.0971 -0.9823 -0.8915 -0.8281 -0.7883 -0.7650
 -0.7504 -0.7400 -0.7324 -0.7268 -0.7228 -0.7205 -0.7207 -0.7254 -0.7361 -0.7530
 -1.8776 -1.7692 -1.6627 -1.5634 -1.4738 -1.3953 -1.3288 -1.2745 -1.2315 -1.1973
 -1.1703 -1.1486 -1.1271 -1.1034 -1.0740 -0.9767 -0.8897 -0.8281 -0.7900 -0.7699
 -0.7597 -0.7536 -0.7493 -0.7463 -0.7442 -0.7431 -0.7435 -0.7459 -0.7531 -0.7676
 -0.7893
 -1.8232 -1.7312 -1.6386 -1.5497 -1.4671 -1.3923 -1.3256 -1.2673 -1.2178 -1.1767
 -1.1418 -1.1115 -1.0846 -1.0611 -1.0385 -0.9634 -0.8850 -0.8252 -0.7879 -0.7697
 -0.7637 -0.7626 -0.7629 -0.7638 -0.7648 -0.7659 -0.7677 -0.7706 -0.7758 -0.7854
 -0.8042
 -1.7439 -1.6685 -1.5920 -1.5167 -1.4454 -1.3790 -1.3175 -1.2608 -1.2095 -1.1642
 -1.1247 -1.0900 -1.0585 -1.0298 -1.0047 -0.9401 -0.8742 -0.8189 -0.7824 -0.7648
 -0.7616 -0.7654 -0.7713 -0.7772 -0.7825 -0.7872 -0.7918 -0.7964 -0.8019 -0.8096
 -0.8223
 -1.6484 -1.5900 -1.5290 -1.4674 -1.4081 -1.3521 -1.2989 -1.2481 -1.1997 -1.1543
 -1.1127 -1.0753 -1.0416 -1.0107 -0.9824 -0.9185 -0.8596 -0.8102 -0.7752 -0.7573
 -0.7546 -0.7615 -0.7725 -0.7841 -0.7949 -0.8045 -0.8132 -0.8211 -0.8287 -0.8369
 -0.8459
 -1.5456 -1.4995 -1.4522 -1.4035 -1.3557 -1.3101 -1.2662 -1.2234 -1.1811 -1.1395
 -1.0993 -1.0615 -1.0268 -0.9950 -0.9658 -0.9012 -0.8447 -0.7994 -0.7668 -0.7487
 -0.7452 -0.7529 -0.7670 -0.7837 -0.8003 -0.8157 -0.8297 -0.8421 -0.8534 -0.8643
 -0.8754
 -1.4372 -1.4032 -1.3673 -1.3299 -1.2923 -1.2556 -1.2205 -1.1859 -1.1510 -1.1156
 -1.0798 -1.0445 -1.0107 -0.9791 -0.9549 -0.8882 -0.8295 -0.7865 -0.7572
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  G   
 -2.5719 -2.5183 -2.4685 -2.4157 -2.3682 -2.2955 -2.1803 -2.0238 -1.8612 -1.7128
 -1.5815 -1.4671 -1.3678 -1.2803 -1.2010 -1.0357
 -2.4000 -2.3362 -2.2801 -2.2257 -2.1721 -2.1047 -2.0077 -1.8785 -1.7474 -1.6258
 -1.5153 -1.4149 -1.3237 -1.2415 -1.1673 -1.0128 -0.8935 -0.8044 -0.7423
 -2.2660 -2.1916 -2.1278 -2.0692 -2.0107 -1.9466 -1.8648 -1.7591 -1.6527 -1.5525
 -1.4596 -1.3725 -1.2901 -1.2134 -1.1435 -0.9977 -0.8875 -0.8064 -0.7496 -0.7107
 -0.6835
 -2.1699 -2.0845 -2.0116 -1.9462 -1.8840 -1.8213 -1.7516 -1.6656 -1.5771 -1.4929
 -1.4144 -1.3399 -1.2670 -1.1960 -1.1296 -0.9904 -0.8861 -0.8103 -0.7574 -0.7217
 -0.6972 -0.6797 -0.6678
 -2.1023 -1.9955 -1.9132 -1.8469 -1.7835 -1.7208 -1.6569 -1.5863 -1.5118 -1.4399
