 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.9343 -3.9626 -3.9880 -4.0046 -4.0260 -4.1530 -4.3184 -4.4826 -4.6423 -4.7979
 -4.9477 -5.0908 -5.2273 -5.3582 -5.4842 -5.6060 -5.7242 -5.8389 -5.9505 -6.0592
 -6.1651
 -3.5306 -3.5633 -3.6002 -3.6405 -3.6837 -3.7291 -3.7759 -3.8223 -3.8664 -3.9058
 -3.9396 -3.9705 -4.0015 -4.0292 -4.0533 -4.1676 -4.3228 -4.4850 -4.6434 -4.7981
 -4.9484 -5.0924 -5.2296 -5.3606 -5.4863 -5.6074 -5.7246 -5.8381 -5.9483 -6.0556
 -6.1604
 -3.5863 -3.6094 -3.6380 -3.6700 -3.7052 -3.7431 -3.7835 -3.8256 -3.8683 -3.9097
 -3.9481 -3.9830 -4.0164 -4.0497 -4.0790 -4.1891 -4.3332 -4.4901 -4.6465 -4.7995
 -4.9492 -5.0943 -5.2328 -5.3648 -5.4908 -5.6118 -5.7285 -5.8413 -5.9506 -6.0568
 -6.1602
 -3.6570 -3.6748 -3.6956 -3.7189 -3.7450 -3.7739 -3.8060 -3.8410 -3.8789 -3.9184
 -3.9579 -3.9961 -4.0327 -4.0684 -4.1027 -4.2087 -4.3455 -4.4950 -4.6476 -4.7981
 -4.9458 -5.0905 -5.2302 -5.3636 -5.4906 -5.6121 -5.7288 -5.8413 -5.9499 -6.0552
 -6.1595
 -3.7365 -3.7548 -3.7707 -3.7872 -3.8052 -3.8251 -3.8479 -3.8741 -3.9044 -3.9383
 -3.9750 -4.0129 -4.0509 -4.0884 -4.1253 -4.2285 -4.3592 -4.5024 -4.6503 -4.7977
 -4.9428 -5.0856 -5.2252 -5.3598 -5.4885 -5.6112 -5.7286 -5.8413 -5.9499 -6.0549
 -6.1565
 -3.8235 -3.8417 -3.8572 -3.8705 -3.8830 -3.8961 -3.9108 -3.9279 -3.9491 -3.9749
 -4.0051 -4.0389 -4.0750 -4.1123 -4.1468 -4.2485 -4.3743 -4.5123 -4.6546
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4790 -3.5010 -3.5135 -3.5161 -3.5067 -3.5009 -3.5100 -3.5274 -3.5552 -3.5901
 -3.6354 -3.6925 -3.7544 -3.8190 -3.8865 -4.0584
 -3.5378 -3.5635 -3.5805 -3.5884 -3.5871 -3.5847 -3.5896 -3.6059 -3.6269 -3.6506
 -3.6812 -3.7249 -3.7826 -3.8483 -3.9168 -4.0888 -4.2570 -4.4205 -4.5826
