 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  u   
 -9.2174 -8.9372 -8.7011 -8.5076 -8.3503 -8.2188 -8.0957 -7.9648 -7.8183 -7.6656
 -7.5148 -7.3682 -7.2244 -7.0795 -6.9295 -6.5439 -6.1830 -5.8631 -5.5901 -5.3695
 -5.2007 -5.0818 -5.0080 -4.9675 -4.9486 -4.9422 -4.9424 -4.9453 -4.9462 -4.9379
 -9.3333 -9.0030 -8.7116 -8.4617 -8.2527 -8.0786 -7.9313 -7.8043 -7.6866 -7.5673
 -7.4391 -7.3049 -7.1689 -7.0321 -6.8902 -6.5088 -6.1425 -5.8196 -5.5435 -5.3177
 -5.1431 -5.0172 -4.9366 -4.8916 -4.8708 -4.8650 -4.8677 -4.8744 -4.8816 -4.8855
 -4.8809
 -9.4917 -9.1208 -8.7866 -8.4924 -8.2397 -8.0275 -7.8495 -7.6976 -7.5642 -7.4453
 -7.3391 -7.2374 -7.1269 -7.0025 -6.8682 -6.4998 -6.1290 -5.8006 -5.5196 -5.2862
 -5.1021 -4.9658 -4.8744 -4.8211 -4.7951 -4.7867 -4.7895 -4.7981 -4.8084 -4.8194
 -4.8260
 -9.6769 -9.2735 -8.9063 -8.5755 -8.2861 -8.0393 -7.8316 -7.6566 -7.5069 -7.3757
 -7.2582 -7.1519 -7.0544 -6.9577 -6.8486 -6.5078 -6.1360 -5.8008 -5.5134 -5.2718
 -5.0764 -4.9268 -4.8217 -4.7567 -4.7226 -4.7095 -4.7102 -4.7189 -4.7318 -4.7461
 -4.7590
 -9.8230 -9.4317 -9.0512 -8.6977 -8.3803 -8.1042 -7.8692 -7.6705 -7.5016 -7.3560
 -7.2278 -7.1121 -7.0053 -6.9048 -6.8068 -6.5240 -6.1683 -5.8260 -5.5307 -5.2804
 -5.0727 -4.9079 -4.7859 -4.7046 -4.6577 -4.6360 -4.6315 -4.6377 -4.6506 -4.6668
 -4.6836
 -9.8673 -9.5132 -9.1596 -8.8112 -8.4860 -8.1943 -7.9403 -7.7222 -7.5352 -7.3738
 -7.2323 -7.1060 -6.9904 -6.8818 -6.7773 -6.5171 -6.2078 -5.8689 -5.5643 -5.3048
 -5.0858 -4.9066 -4.7675 -4.6680 -4.6047 -4.5704 -4.5573 -4.5583 -4.5685 -4.5845
 -4.6030
 -9.8021 -9.4922 -9.1760 -8.8615 -8.5554 -8.2720 -8.0174 -7.7920 -7.5947 -7.4213
 -7.2675 -7.1294 -7.0033 -6.8860 -6.7601 -6.4871 -6.2545 -5.9295 -5.6142
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  u   
-10.3851-10.3228-10.2512-10.1670-10.0506 -9.8731 -9.6086 -9.2365 -8.7829 -8.3975
 -8.1072 -7.8904 -7.7240 -7.5894 -7.4707 -7.1902 -6.8960 -6.5861 -6.2769
 -9.9413 -9.8798 -9.8095 -9.7286 -9.6322 -9.5047 -9.2957 -8.9598 -8.5963 -8.2686
 -8.0035 -7.7937 -7.6245 -7.4818 -7.3521 -7.0384 -6.7166 -6.3965 -6.1005 -5.8470
 -9.5510 -9.4886 -9.4185 -9.3390 -9.2482 -9.1377 -8.9749 -8.7179 -8.4272 -8.1479
 -7.9057 -7.7023 -7.5297 -7.3785 -7.2385 -6.8995 -6.5618 -6.2386 -5.9514 -5.7133
 -5.5258
 -9.2360 -9.1626 -9.0879 -9.0070 -8.9175 -8.8160 -8.6889 -8.4932 -8.2606 -8.0246
 -7.8070 -7.6140 -7.4420 -7.2858 -7.1386 -6.7828 -6.4366 -6.1130 -5.8304 -5.6005
 -5.4217 -5.2924
 -9.0750 -8.9402 -8.8345 -8.7413 -8.6482 -8.5483 -8.4366 -8.2875 -8.1006 -7.9020
 -7.7096 -7.5307 -7.3648 -7.2086 -7.0582 -6.6921 -6.3409 -6.0175 -5.7364 -5.5086
 -5.3328 -5.2054 -5.1222 -5.0718
 -9.1304 -8.8978 -8.7132 -8.5684 -8.4486 -8.3402 -8.2306 -8.1068 -7.9544 -7.7867
 -7.6178 -7.4549 -7.2989 -7.1480 -6.9990 -6.6284 -6.2728 -5.9488 -5.6671 -5.4372
 -5.2595 -5.1296 -5.0436 -4.9932 -4.9671 -4.9552 -4.9513 -4.9506 -4.9478 -4.9359
 -9.2595 -8.9629 -8.7075 -8.4955 -8.3219 -8.1787 -8.0575 -7.9451 -7.8228 -7.6837
 -7.5362 -7.3888 -7.2442 -7.1018 -6.9586 -6.5905 -6.2308 -5.9048 -5.6208 -5.3857
 -5.2021 -5.0658 -4.9730 -4.9175 -4.8892 -4.8779 -4.8765 -4.8795 -4.8835 -4.8841
 -4.8755
 -9.4270 -9.0819 -8.7750 -8.5084 -8.2831 -8.0947 -7.9355 -7.7972 -7.6729 -7.5567
 -7.4436 -7.3258 -7.1996 -7.0678 -6.9328 -6.5758 -6.2137 -5.8836 -5.5957 -5.3538
 -5.1610 -5.0149 -4.9120 -4.8480 -4.8135 -4.7995 -4.7978 -4.8032 -4.8114 -4.8185
 -4.8215
 -9.6332 -9.2474 -8.8970 -8.5853 -8.3144 -8.0838 -7.8894 -7.7239 -7.5794 -7.4499
 -7.3325 -7.2263 -7.1271 -7.0249 -6.9105 -6.5770 -6.2157 -5.8807 -5.5874 -5.3378
 -5.1340 -4.9758 -4.8605 -4.7845 -4.7415 -4.7223 -4.7187 -4.7240 -4.7340 -4.7456
 -4.7557
 -9.8603 -9.4525 -9.0696 -8.7206 -8.4101 -8.1407 -7.9113 -7.7168 -7.5508 -7.4065
 -7.2781 -7.1620 -7.0559 -6.9579 -6.8633 -6.5871 -6.2415 -5.9023 -5.6027 -5.3449
 -5.1292 -4.9563 -4.8256 -4.7343 -4.6782 -4.6497 -4.6404 -4.6432 -4.6532 -4.6662
 -4.6812
-10.0141 -9.6293 -9.2487 -8.8814 -8.5446 -8.2443 -7.9839 -7.7614 -7.5715 -7.4083
 -7.2660 -7.1394 -7.0244 -6.9180 -6.8177 -6.5737 -6.2759 -5.9407 -5.6342 -5.3682
 -5.1415 -4.9545 -4.8075 -4.6993 -4.6271 -4.5855 -4.5670 -4.5643 -4.5716 -4.5850
 -4.5980
-10.0946 -9.7028 -9.3565 -9.0111 -8.6750 -8.3641 -8.0857 -7.8422 -7.6318 -7.4498
 -7.2911 -7.1509 -7.0249 -6.9096 -6.7737 -6.5368 -6.3189 -5.9959 -5.6819
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  u   
-10.4602-10.4140-10.3610-10.2987-10.2080-10.0517 -9.7956 -9.4120 -8.9237 -8.4922
 -8.1689 -7.9323 -7.7553 -7.6162 -7.4990 -7.2326 -6.9531 -6.6536 -6.3497
-10.0164 -9.9716 -9.9197 -9.8602 -9.7873 -9.6829 -9.4933 -9.1477 -8.7487 -8.3741
 -8.0753 -7.8466 -7.6685 -7.5236 -7.3975 -7.1024 -6.7932 -6.4768 -6.1794 -5.9208
 -9.6195 -9.5754 -9.5237 -9.4643 -9.3954 -9.3069 -9.1626 -8.9049 -8.5872 -8.2671
 -7.9913 -7.7686 -7.5877 -7.4358 -7.3009 -6.9829 -6.6562 -6.3317 -6.0370 -5.7902
 -5.5941
 -9.2839 -9.2359 -9.1822 -9.1213 -9.0525 -8.9721 -8.8630 -8.6734 -8.4244 -8.1555
 -7.9066 -7.6931 -7.5119 -7.3548 -7.2129 -6.8792 -6.5436 -6.2161 -5.9225 -5.6807
 -5.4917 -5.3502
 -9.0435 -8.9688 -8.9032 -8.8370 -8.7654 -8.6861 -8.5936 -8.4550 -8.2611 -8.0394
 -7.8195 -7.6197 -7.4426 -7.2840 -7.1378 -6.7936 -6.4534 -6.1264 -5.8332 -5.5920
 -5.4045 -5.2647 -5.1677 -5.1056
 -9.0245 -8.8531 -8.7240 -8.6233 -8.5377 -8.4544 -8.3641 -8.2553 -8.1040 -7.9227
 -7.7325 -7.5500 -7.3813 -7.2252 -7.0782 -6.7280 -6.3849 -6.0589 -5.7664 -5.5227
 -5.3324 -5.1898 -5.0899 -5.0267 -4.9907 -4.9719 -4.9625 -4.9580 -4.9523 -4.9378
 -9.1566 -8.8987 -8.6870 -8.5193 -8.3866 -8.2773 -8.1792 -8.0796 -7.9587 -7.8106
 -7.6480 -7.4848 -7.3279 -7.1785 -7.0344 -6.6839 -6.3382 -6.0123 -5.7196 -5.4719
 -5.2754 -5.1267 -5.0204 -4.9515 -4.9127 -4.8941 -4.8873 -4.8862 -4.8874 -4.8859
 -4.8758
 -9.3261 -9.0124 -8.7382 -8.5063 -8.3154 -8.1587 -8.0269 -7.9124 -7.8049 -7.6894
 -7.5604 -7.4220 -7.2809 -7.1415 -7.0041 -6.6604 -6.3136 -5.9860 -5.6919 -5.4391
 -5.2339 -5.0758 -4.9603 -4.8827 -4.8374 -4.8156 -4.8087 -4.8096 -4.8143 -4.8196
 -4.8216
 -9.5355 -9.1737 -8.8498 -8.5656 -8.3222 -8.1179 -7.9464 -7.7987 -7.6674 -7.5468
 -7.4327 -7.3238 -7.2152 -7.1007 -6.9785 -6.6518 -6.3077 -5.9773 -5.6796 -5.4208
 -5.2056 -5.0361 -4.9092 -4.8208 -4.7663 -4.7386 -4.7292 -4.7279 -4.7320 -4.7410
 -4.7544
 -9.7956 -9.3926 -9.0252 -8.6951 -8.4050 -8.1551 -7.9430 -7.7627 -7.6071 -7.4691
 -7.3437 -7.2288 -7.1238 -7.0266 -6.9309 -6.6549 -6.3237 -5.9925 -5.6906 -5.4250
 -5.1991 -5.0157 -4.8746 -4.7722 -4.7050 -4.6672 -4.6515 -4.6498 -4.6564 -4.6667
 -4.6795
-10.0387 -9.6326 -9.2400 -8.8762 -8.5464 -8.2556 -8.0043 -7.7897 -7.6062 -7.4479
 -7.3086 -7.1835 -7.0696 -6.9650 -6.8681 -6.6359 -6.3501 -6.0236 -5.7180 -5.4459
 -5.2102 -5.0132 -4.8566 -4.7386 -4.6562 -4.6051 -4.5795 -4.5716 -4.5753 -4.5858
 -4.5969
-10.1722 -9.8048 -9.4335 -9.0670 -8.7173 -8.3988 -8.1155 -7.8694 -7.6578 -7.4757
 -7.3176 -7.1785 -7.0539 -6.9405 -6.7901 -6.5948 -6.3869 -6.0706 -5.7618
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  u   
-10.5430-10.5056-10.5263-10.5427-10.4938-10.3305-10.0132 -9.5468 -9.0537 -8.5994
 -8.2434 -7.9860 -7.7967 -7.6515 -7.5340 -7.2851 -7.0245 -6.7373 -6.4373
-10.1055-10.0702-10.0296 -9.9843 -9.9293 -9.8408 -9.6662 -9.3139 -8.8938 -8.4897
 -8.1594 -7.9107 -7.7223 -7.5739 -7.4501 -7.1775 -6.8889 -6.5786 -6.2781 -6.0112
 -9.7077 -9.6735 -9.6333 -9.5878 -9.5351 -9.4634 -9.3346 -9.0800 -8.7444 -8.3940
 -8.0878 -7.8451 -7.6549 -7.5010 -7.3701 -7.0779 -6.7714 -6.4491 -6.1454 -5.8854
 -5.6769
 -9.3601 -9.3258 -9.2847 -9.2375 -9.1844 -9.1210 -9.0269 -8.8467 -8.5875 -8.2935
 -8.0151 -7.7809 -7.5901 -7.4315 -7.2941 -6.9873 -6.6717 -6.3450 -6.0392 -5.7811
 -5.5775 -5.4221
 -9.0791 -9.0352 -8.9896 -8.9392 -8.8831 -8.8206 -8.7443 -8.6178 -8.4226 -8.1828
 -7.9369 -7.7158 -7.5276 -7.3665 -7.2244 -6.9066 -6.5871 -6.2614 -5.9558 -5.6965
 -5.4928 -5.3383 -5.2261 -5.1494
 -8.9766 -8.8373 -8.7603 -8.6964 -8.6343 -8.5684 -8.4953 -8.4009 -8.2553 -8.0645
 -7.8537 -7.6505 -7.4689 -7.3083 -7.1639 -6.8382 -6.5169 -6.1947 -5.8914 -5.6302
 -5.4226 -5.2647 -5.1495 -5.0709 -5.0218 -4.9932 -4.9771 -4.9670 -4.9564 -4.9377
 -9.0404 -8.8300 -8.6699 -8.5474 -8.4496 -8.3670 -8.2896 -8.2049 -8.0936 -7.9437
 -7.7676 -7.5864 -7.4155 -7.2592 -7.1152 -6.7857 -6.4630 -6.1437 -5.8437 -5.5806
 -5.3668 -5.2023 -5.0808 -4.9966 -4.9441 -4.9152 -4.9007 -4.8945 -4.8916 -4.8862
 -4.8723
 -9.2084 -8.9284 -8.6912 -8.4991 -8.3468 -8.2248 -8.1229 -8.0311 -7.9374 -7.8209
 -7.6788 -7.5229 -7.3672 -7.2188 -7.0785 -6.7507 -6.4277 -6.1096 -5.8119 -5.5467
 -5.3256 -5.1518 -5.0214 -4.9289 -4.8696 -4.8369 -4.8223 -4.8176 -4.8182 -4.8200
 -4.8185
 -9.4094 -9.0772 -8.7836 -8.5310 -8.3205 -8.1479 -8.0045 -7.8815 -7.7716 -7.6671
 -7.5564 -7.4369 -7.3101 -7.1796 -7.0490 -6.7301 -6.4095 -6.0912 -5.7930 -5.5251
 -5.2963 -5.1119 -4.9707 -4.8681 -4.7998 -4.7605 -4.7428 -4.7381 -4.7406 -4.7461
 -4.7516
 -9.6671 -9.2866 -8.9455 -8.6418 -8.3787 -8.1556 -7.9686 -7.8099 -7.6711 -7.5459
 -7.4293 -7.3182 -7.2127 -7.1106 -7.0070 -6.7241 -6.4124 -6.0958 -5.7962 -5.5246
 -5.2877 -5.0912 -4.9367 -4.8213 -4.7409 -4.6912 -4.6663 -4.6582 -4.6603 -4.6681
 -4.6766
 -9.9577 -9.5491 -9.1668 -8.8189 -8.5090 -8.2388 -8.0071 -7.8100 -7.6412 -7.4938
 -7.3617 -7.2408 -7.1294 -7.0270 -6.9323 -6.7025 -6.4273 -6.1161 -5.8158 -5.5404
 -5.2960 -5.0878 -4.9191 -4.7892 -4.6947 -4.6319 -4.5963 -4.5812 -4.5798 -4.5865
 -4.5936
-10.1825 -9.7985 -9.4118 -9.0386 -8.6943 -8.3843 -8.1117 -7.8760 -7.6738 -7.4998
 -7.3480 -7.2135 -7.0919 -6.9808 -6.8249 -6.6653 -6.4542 -6.1521 -5.8518
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  u   
-10.6325-10.6027-10.6373-10.6602-10.6050-10.4286-10.0959 -9.6234 -9.1667 -8.7146
 -8.3311 -8.0490 -7.8450 -7.6917 -7.5718 -7.3375 -7.1039 -6.8346 -6.5395
-10.2100-10.1799-10.1473-10.1107-10.0634 -9.9843 -9.8134 -9.4476 -9.0267 -8.6104
 -8.2539 -7.9829 -7.7813 -7.6269 -7.5031 -7.2522 -6.9936 -6.6982 -6.3967 -6.1203
 -9.8146 -9.7856 -9.7524 -9.7160 -9.6734 -9.6113 -9.4908 -9.2393 -8.8897 -8.5225
 -8.1920 -7.9283 -7.7257 -7.5674 -7.4379 -7.1710 -6.8961 -6.5869 -6.2774 -6.0025
 -5.7770
