 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F360M
 -5.3442 -5.4875 -5.6252 -5.7579 -5.8864 -6.0113 -6.1329 -6.2514 -6.3662 -6.4764
 -3.3216 -3.3848 -3.4492 -3.5134 -3.5770 -3.6401 -3.7030 -3.7668 -3.8345 -3.9127
 -3.9968 -4.0814 -4.1650 -4.2471 -4.3276 -4.5214 -4.7049 -4.8781 -5.0421 -5.1980
 -5.3469 -5.4898 -5.6272 -5.7594 -5.8869 -6.0104 -6.1307 -6.2478 -6.3616 -6.4718
 -6.5779
 -3.3510 -3.4119 -3.4756 -3.5409 -3.6064 -3.6722 -3.7385 -3.8051 -3.8719 -3.9394
 -4.0095 -4.0862 -4.1677 -4.2494 -4.3297 -4.5231 -4.7064 -4.8797 -5.0437 -5.1995
 -5.3481 -5.4909 -5.6282 -5.7603 -5.8874 -6.0102 -6.1293 -6.2452 -6.3579 -6.4671
 -6.5729
 -3.3848 -3.4423 -3.5033 -3.5671 -3.6326 -3.6989 -3.7660 -3.8340 -3.9029 -3.9720
 -4.0409 -4.1101 -4.1815 -4.2566 -4.3337 -4.5259 -4.7089 -4.8822 -5.0463 -5.2021
 -5.3507 -5.4934 -5.6308 -5.7632 -5.8905 -6.0131 -6.1317 -6.2468 -6.3584 -6.4668
 -6.5720
 -3.4219 -3.4759 -3.5331 -3.5937 -3.6570 -3.7224 -3.7888 -3.8562 -3.9247 -3.9941
 -4.0640 -4.1337 -4.2030 -4.2736 -4.3452 -4.5264 -4.7078 -4.8808 -5.0447 -5.2003
 -5.3488 -5.4915 -5.6290 -5.7618 -5.8895 -6.0123 -6.1307 -6.2452 -6.3561 -6.4657
 -6.5684
 -3.4622 -3.5137 -3.5672 -3.6239 -3.6836 -3.7463 -3.8111 -3.8772 -3.9443 -4.0124
 -4.0814 -4.1511 -4.2206 -4.2900 -4.3600 -4.5339 -4.7069 -4.8785 -5.0421 -5.1975
 -5.3458 -5.4883 -5.6258 -5.7589 -5.8873 -6.0108 -6.1297 -6.2442 -6.3549 -6.4621
 -6.5657
 -3.5039 -3.5546 -3.6055 -3.6586 -3.7144 -3.7733 -3.8350 -3.8988 -3.9642 -4.0306
 -4.0977 -4.1658 -4.2343 -4.3030 -4.3719 -4.5430 -4.7105 -4.8760 -5.0387
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F360M
 -3.1272 -3.1741 -3.2352 -3.3089 -3.3885 -3.4726 -3.5609 -3.6500 -3.7396 -3.8288
 -3.9158 -4.0008 -4.0837 -4.1647 -4.2440 -4.4353 -4.6191 -4.7964 -4.9678
 -3.1429 -3.1806 -3.2494 -3.3276 -3.4112 -3.4968 -3.5855 -3.6744 -3.7637 -3.8531
 -3.9405 -4.0261 -4.1098 -4.1916 -4.2717 -4.4645 -4.6476 -4.8229 -4.9911 -5.1522
 -3.1714 -3.1969 -3.2605 -3.3405 -3.4264 -3.5137 -3.6021 -3.6910 -3.7799 -3.8688
 -3.9564 -4.0422 -4.1264 -4.2087 -4.2894 -4.4833 -4.6668 -4.8411 -5.0076 -5.1667
 -5.3190
 -3.2105 -3.2552 -3.2888 -3.3536 -3.4373 -3.5257 -3.6143 -3.7029 -3.7913 -3.8794
 -3.9670 -4.0529 -4.1372 -4.2198 -4.3007 -4.4954 -4.6794 -4.8535 -5.0191 -5.1769
 -5.3278 -5.4729
 -3.2488 -3.3019 -3.3502 -3.3949 -3.4528 -3.5351 -3.6233 -3.7117 -3.7997 -3.8871
 -3.9742 -4.0601 -4.1444 -4.2271 -4.3081 -4.5033 -4.6877 -4.8618 -5.0270 -5.1840
 -5.3340 -5.4780 -5.6166 -5.7504
 -3.2770 -3.3385 -3.3974 -3.4515 -3.5039 -3.5577 -3.6329 -3.7187 -3.8062 -3.8932
 -3.9794 -4.0651 -4.1493 -4.2320 -4.3130 -4.5082 -4.6929 -4.8672 -5.0322 -5.1889
 -5.3382 -5.4814 -5.6192 -5.7520 -5.8805 -6.0055 -6.1275 -6.2464 -6.3615 -6.4721
 -3.3012 -3.3659 -3.4303 -3.4928 -3.5527 -3.6104 -3.6689 -3.7335 -3.8127 -3.8980
