 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.7412 -3.3657 -3.0406 -2.7518 -2.4946 -2.2681 -2.0745 -1.9111 -1.7718 -1.6495
 -1.5391 -1.4376 -1.3436 -1.2571 -1.1775 -1.0047 -0.8533 -0.7237 -0.6252 -0.5559
 -0.5108 -0.4848 -0.4717 -0.4655 -0.4618 -0.4583 -0.4545 -0.4498 -0.4446 -0.4395
 -0.4353
 -3.8833 -3.4875 -3.1481 -2.8490 -2.5793 -2.3377 -2.1248 -1.9410 -1.7858 -1.6539
 -1.5393 -1.4371 -1.3438 -1.2576 -1.1776 -1.0030 -0.8557 -0.7289 -0.6273
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F547M
 -4.3465 -4.0107 -3.6151 -3.2747 -2.9744 -2.7153 -2.5043 -2.3188 -2.1461 -1.9791
 -1.8226 -1.6784 -1.5486 -1.4329 -1.3294 -1.1115 -0.9319 -0.7769 -0.6442
 -3.9120 -3.8211 -3.5420 -3.2005 -2.8974 -2.6298 -2.4100 -2.2223 -2.0509 -1.8875
 -1.7344 -1.5938 -1.4676 -1.3555 -1.2559 -1.0504 -0.8857 -0.7474 -0.6312 -0.5370
 -3.6409 -3.4294 -3.3498 -3.1610 -2.8649 -2.5930 -2.3579 -2.1637 -1.9931 -1.8338
 -1.6846 -1.5470 -1.4230 -1.3128 -1.2150 -1.0149 -0.8580 -0.7296 -0.6241 -0.5390
 -0.4713
 -3.5490 -3.2620 -3.0486 -2.9289 -2.8196 -2.5858 -2.3427 -2.1338 -1.9597 -1.8034
 -1.6580 -1.5233 -1.4010 -1.2918 -1.1947 -0.9962 -0.8428 -0.7200 -0.6213 -0.5429
 -0.4809 -0.4298
 -3.5076 -3.2033 -2.9479 -2.7404 -2.5841 -2.4810 -2.3387 -2.1342 -1.9455 -1.7870
 -1.6450 -1.5132 -1.3925 -1.2840 -1.1872 -0.9884 -0.8356 -0.7154 -0.6210 -0.5476
 -0.4905 -0.4436 -0.4034 -0.3677
 -3.5042 -3.1820 -2.9117 -2.6815 -2.4863 -2.3209 -2.1899 -2.0848 -1.9487 -1.7852
 -1.6402 -1.5107 -1.3916 -1.2838 -1.1871 -0.9873 -0.8333 -0.7137 -0.6217 -0.5517
 -0.4988 -0.4565 -0.4203 -0.3884 -0.3605 -0.3370 -0.3185 -0.3070 -0.3038 -0.3090
 -3.5417 -3.1953 -2.9046 -2.6611 -2.4533 -2.2728 -2.1138 -1.9741 -1.8584 -1.7564
 -1.6388 -1.5142 -1.3954 -1.2878 -1.1912 -0.9904 -0.8343 -0.7135 -0.6221 -0.5543
 -0.5049 -0.4671 -0.4356 -0.4077 -0.3826 -0.3605 -0.3418 -0.3277 -0.3202 -0.3229
 -0.3338
 -3.6130 -3.2471 -2.9300 -2.6651 -2.4440 -2.2558 -2.0908 -1.9425 -1.8081 -1.6886
 -1.5862 -1.4936 -1.3964 -1.2950 -1.1980 -0.9958 -0.8375 -0.7142 -0.6220 -0.5549
 -0.5077 -0.4740 -0.4477 -0.4248 -0.4039 -0.3847 -0.3662 -0.3507 -0.3410 -0.3395
 -0.3474
 -3.7152 -3.3284 -2.9892 -2.6977 -2.4546 -2.2528 -2.0812 -1.9302 -1.7936 -1.6681
 -1.5542 -1.4536 -1.3653 -1.2825 -1.1992 -1.0008 -0.8408 -0.7147 -0.6204 -0.5528
 -0.5066 -0.4761 -0.4548 -0.4376 -0.4220 -0.4072 -0.3937 -0.3814 -0.3712 -0.3655
 -0.3645
 -3.8459 -3.4413 -3.0856 -2.7712 -2.5008 -2.2756 -2.0890 -1.9305 -1.7915 -1.6658
 -1.5502 -1.4446 -1.3497 -1.2646 -1.1873 -1.0082 -0.8471 -0.7182 -0.6205 -0.5506
 -0.5036 -0.4742 -0.4567 -0.4451 -0.4355 -0.4264 -0.4176 -0.4090 -0.4011 -0.3948
 -0.3915
 -3.9987 -3.5751 -3.2063 -2.8767 -2.5847 -2.3324 -2.1214 -1.9463 -1.7982 -1.6689
 -1.5527 -1.4466 -1.3494 -1.2611 -1.1807 -1.0081 -0.8550 -0.7235 -0.6221 -0.5487
 -0.4994 -0.4693 -0.4535 -0.4462 -0.4425 -0.4396 -0.4367 -0.4332 -0.4294 -0.4257
 -0.4225
 -4.1701 -3.7249 -3.3439 -3.0043 -2.6985 -2.4257 -2.1887 -1.9887 -1.8222 -1.6816
 -1.5600 -1.4521 -1.3542 -1.2646 -1.1825 -1.0067 -0.8597 -0.7308 -0.6258
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F547M
 -4.3228 -3.8859 -3.4945 -3.1743 -2.8990 -2.6495 -2.4400 -2.2542 -2.0869 -1.9264
 -1.7747 -1.6340 -1.5061 -1.3917 -1.2898 -1.0779 -0.9074 -0.7615 -0.6350
 -4.0402 -3.8280 -3.4610 -3.1175 -2.8294 -2.5758 -2.3612 -2.1759 -2.0074 -1.8495
 -1.7006 -1.5626 -1.4375 -1.3260 -1.2271 -1.0253 -0.8667 -0.7345 -0.6223 -0.5287
 -3.6695 -3.5533 -3.4228 -3.1134 -2.8053 -2.5430 -2.3182 -2.1285 -1.9607 -1.8056
 -1.6600 -1.5246 -1.4013 -1.2912 -1.1935 -0.9955 -0.8427 -0.7183 -0.6148 -0.5294
 -0.4608
 -3.5673 -3.2904 -3.1359 -3.0515 -2.8170 -2.5425 -2.3052 -2.1048 -1.9344 -1.7818
 -1.6394 -1.5067 -1.3849 -1.2754 -1.1780 -0.9805 -0.8299 -0.7096 -0.6116 -0.5322
 -0.4689 -0.4174
 -3.5464 -3.2261 -2.9729 -2.7917 -2.6869 -2.5485 -2.3191 -2.1043 -1.9239 -1.7700
 -1.6305 -1.5004 -1.3803 -1.2714 -1.1739 -0.9752 -0.8244 -0.7056 -0.6110 -0.5359
 -0.4769 -0.4294 -0.3893 -0.3545
 -3.5695 -3.2201 -2.9355 -2.7025 -2.5162 -2.3753 -2.2688 -2.1198 -1.9337 -1.7682
 -1.6282 -1.5008 -1.3823 -1.2741 -1.1765 -0.9762 -0.8235 -0.7046 -0.6117 -0.5395
 -0.4840 -0.4405 -0.4042 -0.3727 -0.3446 -0.3213 -0.3046 -0.2957 -0.2946 -0.2992
 -3.6405 -3.2547 -2.9408 -2.6839 -2.4711 -2.2921 -2.1401 -2.0162 -1.9087 -1.7786
 -1.6327 -1.5048 -1.3881 -1.2806 -1.1831 -0.9813 -0.8261 -0.7054 -0.6126 -0.5421
 -0.4893 -0.4496 -0.4176 -0.3900 -0.3656 -0.3445 -0.3265 -0.3138 -0.3087 -0.3123
 -0.3225
 -3.7513 -3.3355 -2.9848 -2.6995 -2.4667 -2.2718 -2.1047 -1.9571 -1.8272 -1.7160
 -1.6151 -1.5071 -1.3964 -1.2895 -1.1919 -0.9888 -0.8311 -0.7077 -0.6136 -0.5433
 -0.4922 -0.4556 -0.4281 -0.4052 -0.3850 -0.3668 -0.3514 -0.3386 -0.3299 -0.3279
 -0.3364
 -3.8948 -3.4504 -3.0696 -2.7485 -2.4876 -2.2749 -2.0966 -1.9419 -1.8035 -1.6783
 -1.5667 -1.4686 -1.3800 -1.2906 -1.1996 -0.9959 -0.8363 -0.7100 -0.6134 -0.5424
 -0.4920 -0.4576 -0.4342 -0.4165 -0.4014 -0.3876 -0.3752 -0.3645 -0.3560 -0.3511
 -0.3527
 -4.0634 -3.6030 -3.1983 -2.8457 -2.5493 -2.3078 -2.1111 -1.9461 -1.8028 -1.6741
 -1.5570 -1.4509 -1.3565 -1.2723 -1.1938 -1.0060 -0.8446 -0.7155 -0.6155 -0.5420
 -0.4906 -0.4569 -0.4362 -0.4233 -0.4137 -0.4052 -0.3975 -0.3903 -0.3840 -0.3796
 -0.3782
 -4.2484 -3.7719 -3.3535 -2.9809 -2.6549 -2.3796 -2.1537 -1.9689 -1.8144 -1.6805
 -1.5609 -1.4523 -1.3536 -1.2647 -1.1843 -1.0102 -0.8542 -0.7225 -0.6190 -0.5419
 -0.4883 -0.4537 -0.4341 -0.4245 -0.4201 -0.4174 -0.4153 -0.4130 -0.4107 -0.4087
 -0.4068
 -4.4486 -3.9538 -3.5238 -3.1398 -2.7957 -2.4936 -2.2357 -2.0219 -1.8461 -1.6990
 -1.5727 -1.4610 -1.3603 -1.2688 -1.1856 -1.0093 -0.8621 -0.7314 -0.6244
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F547M
 -4.2660 -3.7947 -3.4103 -3.1051 -2.8427 -2.6030 -2.3965 -2.2056 -2.0383 -1.8851
 -1.7381 -1.6005 -1.4744 -1.3610 -1.2595 -1.0501 -0.8849 -0.7464 -0.6257
 -4.0030 -3.7840 -3.3867 -3.0527 -2.7756 -2.5333 -2.3249 -2.1390 -1.9728 -1.8198
 -1.6748 -1.5395 -1.4157 -1.3043 -1.2053 -1.0042 -0.8489 -0.7212 -0.6125 -0.5198
 -3.7637 -3.6883 -3.4030 -3.0562 -2.7560 -2.5005 -2.2856 -2.0990 -1.9340 -1.7830
 -1.6408 -1.5078 -1.3856 -1.2753 -1.1771 -0.9787 -0.8280 -0.7064 -0.6049 -0.5196
 -0.4497
 -3.5835 -3.3522 -3.2780 -3.0788 -2.7753 -2.5031 -2.2733 -2.0799 -1.9130 -1.7634
 -1.6241 -1.4936 -1.3729 -1.2632 -1.1650 -0.9664 -0.8170 -0.6985 -0.6014 -0.5213
 -0.4563 -0.4039
 -3.5669 -3.2417 -3.0127 -2.8963 -2.7802 -2.5318 -2.2868 -2.0792 -1.9055 -1.7544
 -1.6175 -1.4896 -1.3705 -1.2614 -1.1631 -0.9628 -0.8126 -0.6951 -0.6007 -0.5241
 -0.4630 -0.4142 -0.3738 -0.3390
 -3.6116 -3.2395 -2.9498 -2.7283 -2.5733 -2.4703 -2.3131 -2.1009 -1.9121 -1.7542
 -1.6168 -1.4913 -1.3740 -1.2658 -1.1674 -0.9652 -0.8128 -0.6946 -0.6013 -0.5273
 -0.4691 -0.4236 -0.3867 -0.3553 -0.3281 -0.3061 -0.2905 -0.2824 -0.2822 -0.2877
 -3.7150 -3.2904 -2.9593 -2.6974 -2.4882 -2.3214 -2.1916 -2.0804 -1.9341 -1.7668
 -1.6212 -1.4961 -1.3809 -1.2738 -1.1757 -0.9716 -0.8165 -0.6963 -0.6027 -0.5299
 -0.4740 -0.4314 -0.3982 -0.3704 -0.3465 -0.3262 -0.3098 -0.2988 -0.2949 -0.2996
 -0.3104
 -3.8689 -3.3975 -3.0166 -2.7174 -2.4787 -2.2840 -2.1208 -1.9809 -1.8627 -1.7546
 -1.6328 -1.5041 -1.3897 -1.2840 -1.1862 -0.9808 -0.8229 -0.6998 -0.6045 -0.5318
 -0.4772 -0.4371 -0.4074 -0.3838 -0.3638 -0.3463 -0.3320 -0.3203 -0.3134 -0.3139
 -0.3233
 -4.0553 -3.5514 -3.1247 -2.7783 -2.5047 -2.2863 -2.1061 -1.9519 -1.8156 -1.6946
 -1.5881 -1.4900 -1.3913 -1.2924 -1.1962 -0.9899 -0.8299 -0.7038 -0.6059 -0.5321
 -0.4778 -0.4394 -0.4128 -0.3937 -0.3783 -0.3650 -0.3538 -0.3441 -0.3372 -0.3350
 -0.3385
 -4.2661 -3.7428 -3.2857 -2.8966 -2.5779 -2.3248 -2.1223 -1.9545 -1.8102 -1.6815
 -1.5652 -1.4609 -1.3676 -1.2834 -1.2007 -1.0021 -0.8401 -0.7112 -0.6099 -0.5334
 -0.4780 -0.4400 -0.4154 -0.3999 -0.3894 -0.3811 -0.3742 -0.3683 -0.3637 -0.3601
 -0.3620
 -4.4881 -3.9519 -3.4775 -3.0605 -2.7029 -2.4079 -2.1710 -1.9804 -1.8226 -1.6870
 -1.5664 -1.4574 -1.3586 -1.2702 -1.1904 -1.0113 -0.8512 -0.7201 -0.6153 -0.5353
 -0.4776 -0.4386 -0.4145 -0.4016 -0.3953 -0.3922 -0.3904 -0.3892 -0.3883 -0.3883
 -0.3881
 -4.7189 -4.1670 -3.6837 -3.2521 -2.8701 -2.5403 -2.2647 -2.0403 -1.8584 -1.7078
 -1.5793 -1.4661 -1.3643 -1.2721 -1.1888 -1.0120 -0.8622 -0.7304 -0.6227
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F547M
