 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F336W
 -6.4754 -6.1680 -5.8745 -5.5913 -5.3143 -4.6379 -3.9802 -3.3629 -2.8218 -2.3979
-10.1721 -9.6847 -9.5178 -9.3171 -9.0249 -8.6087 -7.9708 -7.3617 -6.9089 -6.5275
 -6.1781 -5.8492 -5.5389 -5.2436 -4.9593 -4.2826 -3.6465 -3.0695 -2.5748 -2.1832
 -1.9084
 -9.8432 -9.1462 -8.7354 -8.5586 -8.4539 -8.2360 -7.8643 -7.3102 -6.7679 -6.3391
 -5.9645 -5.6149 -5.2877 -4.9804 -4.6891 -4.0136 -3.3955 -2.8456 -2.3808 -2.0099
 -1.7440 -1.5738
 -9.7405 -8.9299 -8.3617 -7.9954 -7.7758 -7.6558 -7.5024 -7.1924 -6.7275 -6.2347
 -5.8301 -5.4624 -5.1196 -4.8002 -4.5011 -3.8233 -3.2172 -2.6834 -2.2347 -1.8748
 -1.6100 -1.4370 -1.3345 -1.2763
 -9.8074 -8.9085 -8.2184 -7.7282 -7.3836 -7.1284 -6.9337 -6.7729 -6.5467 -6.1848
 -5.7633 -5.3821 -5.0264 -4.6956 -4.3876 -3.7014 -3.1009 -2.5752 -2.1327 -1.7753
 -1.5055 -1.3233 -1.2134 -1.1527 -1.1217 -1.1085 -1.1042 -1.1017 -1.0954 -1.0818
-10.0034 -9.0498 -8.2516 -7.6415 -7.1962 -6.8608 -6.5853 -6.3365 -6.1154 -5.9083
 -5.6504 -5.3284 -4.9896 -4.6552 -4.3388 -3.6385 -3.0369 -2.5136 -2.0708 -1.7099
 -1.4305 -1.2337 -1.1106 -1.0409 -1.0050 -0.9895 -0.9854 -0.9866 -0.9882 -0.9861
 -0.9763
-10.2820 -9.3129 -8.4391 -7.7177 -7.1596 -6.7399 -6.4102 -6.1245 -5.8538 -5.5962
 -5.3632 -5.1440 -4.9035 -4.6297 -4.3355 -3.6265 -3.0177 -2.4923 -2.0460 -1.6774
