 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5370 -3.5995 -3.6668 -3.7358 -3.8047 -3.9739 -4.1384 -4.2980 -4.4536
 -3.4083 -3.4330 -3.4487 -3.4552 -3.4541 -3.4476 -3.4446 -3.4615 -3.4894 -3.5258
 -3.5707 -3.6250 -3.6878 -3.7555 -3.8247 -3.9957 -4.1607 -4.3190 -4.4725 -4.6257
 -3.4387 -3.4713 -3.4949 -3.5086 -3.5129 -3.5093 -3.5053 -3.5183 -3.5409 -3.5701
 -3.6058 -3.6501 -3.7048 -3.7685 -3.8366 -4.0087 -4.1752 -4.3340 -4.4867 -4.6381
 -4.7874
 -3.4474 -3.4919 -3.5263 -3.5505 -3.5640 -3.5677 -3.5650 -3.5735 -3.5927 -3.6170
 -3.6457 -3.6801 -3.7240 -3.7798 -3.8444 -4.0161 -4.1841 -4.3441 -4.4972 -4.6476
 -4.7954 -4.9388
 -3.4043 -3.4690 -3.5258 -3.5702 -3.6005 -3.6170 -3.6224 -3.6281 -3.6445 -3.6659
 -3.6900 -3.7171 -3.7502 -3.7946 -3.8519 -4.0199 -4.1890 -4.3505 -4.5045 -4.6545
 -4.8014 -4.9438 -5.0813 -5.2142
 -3.3571 -3.4165 -3.4780 -3.5379 -3.5914 -3.6341 -3.6613 -3.6750 -3.6916 -3.7129
 -3.7358 -3.7595 -3.7851 -3.8175 -3.8632 -4.0218 -4.1911 -4.3539 -4.5093 -4.6593
 -4.8056 -4.9475 -5.0843 -5.2163 -5.3440 -5.4680 -5.5887 -5.7062 -5.8200 -5.9292
 -3.3389 -3.3902 -3.4446 -3.5015 -3.5587 -3.6116 -3.6561 -3.6897 -3.7169 -3.7442
 -3.7710 -3.7971 -3.8226 -3.8486 -3.8829 -4.0235 -4.1914 -4.3552 -4.5118 -4.6623
 -4.8084 -4.9500 -5.0865 -5.2179 -5.3448 -5.4676 -5.5870 -5.7030 -5.8157 -5.9249
 -6.0300
 -3.3396 -3.3854 -3.4332 -3.4842 -3.5379 -3.5925 -3.6439 -3.6882 -3.7246 -3.7567
 -3.7881 -3.8188 -3.8486 -3.8782 -3.9096 -4.0272 -4.1908 -4.3549 -4.5125 -4.6636
 -4.8098 -4.9513 -5.0877 -5.2191 -5.3455 -5.4676 -5.5860 -5.7007 -5.8121 -5.9206
 -6.0275
 -3.3488 -3.3925 -3.4360 -3.4816 -3.5304 -3.5821 -3.6345 -3.6845 -3.7293 -3.7680
 -3.8023 -3.8344 -3.8663 -3.8988 -3.9326 -4.0383 -4.1921 -4.3558 -4.5141 -4.6659
 -4.8122 -4.9538 -5.0905 -5.2223 -5.3488 -5.4707 -5.5886 -5.7026 -5.8132 -5.9206
 -6.0249
 -3.3642 -3.4050 -3.4450 -3.4866 -3.5310 -3.5785 -3.6284 -3.6789 -3.7278 -3.7729
 -3.8131 -3.8491 -3.8827 -3.9163 -3.9516 -4.0553 -4.1929 -4.3536 -4.5118 -4.6638
 -4.8101 -4.9516 -5.0886 -5.2208 -5.3479 -5.4700 -5.5877 -5.7012 -5.8111 -5.9177
 -6.0212
 -3.3870 -3.4236 -3.4604 -3.4980 -3.5383 -3.5816 -3.6279 -3.6760 -3.7247 -3.7724
 -3.8174 -3.8588 -3.8967 -3.9327 -3.9691 -4.0730 -4.2020 -4.3521 -4.5092 -4.6610
 -4.8070 -4.9482 -5.0850 -5.2177 -5.3456 -5.4684 -5.5865 -5.7001 -5.8098 -5.9160
 -6.0189
 -3.4231 -3.4546 -3.4858 -3.5190 -3.5541 -3.5927 -3.6346 -3.6788 -3.7248 -3.7714
 -3.8176 -3.8624 -3.9048 -3.9451 -3.9851 -4.0914 -4.2194 -4.3513 -4.5063
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F322W2
 -3.3339 -3.3476 -3.3534 -3.3525 -3.3436 -3.3358 -3.3390 -3.3616 -3.4065 -3.4639
 -3.5292 -3.5987 -3.6698 -3.7406 -3.8101 -3.9788 -4.1417 -4.2997 -4.4534
 -3.3845 -3.4043 -3.4155 -3.4180 -3.4136 -3.4043 -3.3989 -3.4167 -3.4511 -3.4983
 -3.5554 -3.6196 -3.6882 -3.7585 -3.8287 -3.9997 -4.1639 -4.3213 -4.4729 -4.6230
 -3.4221 -3.4493 -3.4676 -3.4761 -3.4756 -3.4675 -3.4593 -3.4702 -3.4961 -3.5339
 -3.5817 -3.6381 -3.7015 -3.7694 -3.8392 -4.0118 -4.1778 -4.3359 -4.4871 -4.6358
 -4.7838
 -3.4446 -3.4811 -3.5083 -3.5256 -3.5325 -3.5294 -3.5206 -3.5247 -3.5440 -3.5737
 -3.6125 -3.6597 -3.7151 -3.7780 -3.8455 -4.0182 -4.1858 -4.3455 -4.4973 -4.6453
 -4.7917 -4.9348
 -3.4324 -3.4869 -3.5297 -3.5606 -3.5795 -3.5864 -3.5829 -3.5813 -3.5948 -3.6183
 -3.6494 -3.6877 -3.7337 -3.7884 -3.8509 -4.0213 -4.1899 -4.3511 -4.5042 -4.6522
 -4.7976 -4.9395 -5.0769 -5.2101
 -3.3742 -3.4386 -3.5017 -3.5575 -3.6005 -3.6275 -3.6380 -3.6386 -3.6475 -3.6664
 -3.6920 -3.7230 -3.7599 -3.8046 -3.8589 -4.0224 -4.1914 -4.3539 -4.5085 -4.6569
 -4.8018 -4.9429 -5.0795 -5.2116 -5.3396 -5.4640 -5.5850 -5.7028 -5.8168 -5.9260
 -3.3414 -3.3966 -3.4549 -3.5145 -3.5710 -3.6198 -3.6567 -3.6771 -3.6914 -3.7111
 -3.7351 -3.7628 -3.7937 -3.8294 -3.8733 -4.0232 -4.1912 -4.3546 -4.5106 -4.6599
 -4.8045 -4.9452 -5.0813 -5.2128 -5.3399 -5.4631 -5.5828 -5.6992 -5.8123 -5.9216
 -6.0265
 -3.3343 -3.3825 -3.4332 -3.4869 -3.5425 -3.5964 -3.6442 -3.6816 -3.7089 -3.7353
 -3.7645 -3.7950 -3.8263 -3.8593 -3.8961 -4.0256 -4.1901 -4.3539 -4.5110 -4.6612
 -4.8061 -4.9464 -5.0823 -5.2135 -5.3401 -5.4625 -5.5812 -5.6965 -5.8085 -5.9170
 -6.0219
 -3.3414 -3.3859 -3.4311 -3.4788 -3.5294 -3.5820 -3.6335 -3.6800 -3.7189 -3.7517
 -3.7831 -3.8156 -3.8495 -3.8845 -3.9211 -4.0343 -4.1908 -4.3544 -4.5124 -4.6635
 -4.8087 -4.9492 -5.0851 -5.2164 -5.3430 -5.4651 -5.5833 -5.6977 -5.8088 -5.9167
 -6.0212
 -3.3531 -3.3958 -3.4379 -3.4811 -3.5268 -3.5754 -3.6258 -3.6755 -3.7219 -3.7631
 -3.7998 -3.8341 -3.8682 -3.9037 -3.9413 -4.0490 -4.1903 -4.3517 -4.5099 -4.6615
 -4.8071 -4.9476 -5.0835 -5.2150 -5.3418 -5.4640 -5.5820 -5.6959 -5.8062 -5.9132
 -6.0172
 -3.3670 -3.4083 -3.4488 -3.4887 -3.5308 -3.5754 -3.6227 -3.6716 -3.7203 -3.7668
 -3.8098 -3.8491 -3.8859 -3.9221 -3.9596 -4.0666 -4.1962 -4.3492 -4.5068 -4.6587
 -4.8043 -4.9448 -5.0806 -5.2123 -5.3395 -5.4622 -5.5804 -5.6943 -5.8044 -5.9110
 -6.0099
 -3.3831 -3.4261 -3.4634 -3.5010 -3.5394 -3.5805 -3.6244 -3.6705 -3.7182 -3.7660
 -3.8125 -3.8566 -3.8980 -3.9374 -3.9760 -4.0871 -4.2085 -4.3469 -4.5031
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.3027 -3.3117 -3.3150 -3.3119 -3.3004 -3.2913 -3.2965 -3.3259 -3.3821 -3.4498
 -3.5231 -3.5979 -3.6721 -3.7446 -3.8151 -3.9839 -4.1454 -4.3018 -4.4557
 -3.3577 -3.3728 -3.3795 -3.3784 -3.3707 -3.3588 -3.3528 -3.3739 -3.4173 -3.4757
 -3.5431 -3.6148 -3.6879 -3.7606 -3.8320 -4.0037 -4.1671 -4.3236 -4.4740 -4.6212
 -3.4016 -3.4234 -3.4363 -3.4399 -3.4350 -3.4233 -3.4123 -3.4227 -3.4541 -3.5018
 -3.5612 -3.6276 -3.6978 -3.7695 -3.8409 -4.0145 -4.1801 -4.3378 -4.4880 -4.6341
 -4.7799
 -3.4338 -3.4637 -3.4845 -3.4956 -3.4967 -3.4884 -3.4752 -3.4756 -3.4963 -3.5330
 -3.5826 -3.6415 -3.7065 -3.7753 -3.8457 -4.0200 -4.1873 -4.3466 -4.4977 -4.6436
 -4.7880 -4.9303
 -3.4449 -3.4871 -3.5193 -3.5411 -3.5519 -3.5513 -3.5411 -3.5336 -3.5446 -3.5712
 -3.6106 -3.6604 -3.7180 -3.7816 -3.8491 -4.0222 -4.1907 -4.3515 -4.5040 -4.6503
 -4.7938 -4.9348 -5.0720 -5.2051
 -3.4031 -3.4677 -3.5227 -3.5646 -3.5921 -3.6054 -3.6050 -3.5964 -3.5988 -3.6166
 -3.6466 -3.6869 -3.7355 -3.7915 -3.8537 -4.0226 -4.1915 -4.3536 -4.5077 -4.6548
 -4.7980 -4.9381 -5.0742 -5.2063 -5.3345 -5.4591 -5.5806 -5.6989 -5.8134 -5.9231
 -3.3516 -3.4115 -3.4739 -3.5344 -3.5873 -3.6277 -3.6509 -3.6551 -3.6556 -3.6673
 -3.6898 -3.7216 -3.7613 -3.8083 -3.8626 -4.0225 -4.1909 -4.3539 -4.5093 -4.6575
 -4.8007 -4.9402 -5.0757 -5.2070 -5.3343 -5.4577 -5.5778 -5.6947 -5.8084 -5.9184
 -6.0239
 -3.3330 -3.3842 -3.4383 -3.4953 -3.5521 -3.6044 -3.6476 -3.6774 -3.6927 -3.7091
 -3.7320 -3.7604 -3.7941 -3.8334 -3.8789 -4.0235 -4.1894 -4.3528 -4.5093 -4.6586
 -4.8022 -4.9415 -5.0765 -5.2073 -5.3340 -5.4566 -5.5757 -5.6914 -5.8039 -5.9132
 -6.0190
 -3.3352 -3.3811 -3.4285 -3.4787 -3.5316 -3.5849 -3.6346 -3.6764 -3.7075 -3.7320
 -3.7590 -3.7904 -3.8251 -3.8625 -3.9031 -4.0296 -4.1895 -4.3530 -4.5105 -4.6609
 -4.8051 -4.9445 -5.0794 -5.2100 -5.3364 -5.4587 -5.5772 -5.6921 -5.8037 -5.9121
 -6.0175
 -3.3461 -3.3892 -3.4325 -3.4773 -3.5248 -3.5747 -3.6252 -3.6729 -3.7148 -3.7496
 -3.7809 -3.8131 -3.8480 -3.8858 -3.9259 -4.0408 -4.1881 -4.3499 -4.5078 -4.6590
 -4.8038 -4.9433 -5.0781 -5.2087 -5.3350 -5.4571 -5.5753 -5.6896 -5.8004 -5.9080
 -6.0126
 -3.3574 -3.4006 -3.4420 -3.4838 -3.5270 -3.5728 -3.6207 -3.6693 -3.7162 -3.7592
 -3.7979 -3.8339 -3.8695 -3.9066 -3.9462 -4.0580 -4.1909 -4.3468 -4.5045 -4.6561
 -4.8013 -4.9411 -5.0759 -5.2064 -5.3328 -5.4551 -5.5733 -5.6875 -5.7980 -5.9051
 -6.0043
 -3.3693 -3.4118 -3.4527 -3.4927 -3.5329 -3.5755 -3.6203 -3.6670 -3.7147 -3.7615
 -3.8060 -3.8477 -3.8870 -3.9255 -3.9640 -4.0812 -4.1979 -4.3437 -4.5006
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F322W2
 -3.2699 -3.2761 -3.2652 -3.2479 -3.2346 -3.2337 -3.2521 -3.2954 -3.3636 -3.4397
 -3.5183 -3.5967 -3.6733 -3.7475 -3.8192 -3.9892 -4.1495 -4.3043 -4.4568
 -3.3289 -3.3395 -3.3423 -3.3379 -3.3266 -3.3128 -3.3073 -3.3348 -3.3898 -3.4585
 -3.5335 -3.6105 -3.6869 -3.7617 -3.8344 -4.0073 -4.1705 -4.3260 -4.4754 -4.6205
 -3.3784 -3.3949 -3.4027 -3.4017 -3.3926 -3.3775 -3.3648 -3.3769 -3.4172 -3.4759
 -3.5450 -3.6188 -3.6940 -3.7686 -3.8418 -4.0169 -4.1823 -4.3396 -4.4892 -4.6333
 -4.7764
 -3.4182 -3.4420 -3.4568 -3.4621 -3.4578 -3.4449 -3.4283 -3.4265 -3.4515 -3.4975
 -3.5579 -3.6264 -3.6986 -3.7720 -3.8450 -4.0213 -4.1886 -4.3475 -4.4982 -4.6425
 -4.7845 -4.9255
 -3.4438 -3.4773 -3.5016 -3.5158 -3.5195 -3.5126 -3.4971 -3.4852 -3.4952 -3.5273
 -3.5765 -3.6371 -3.7042 -3.7747 -3.8463 -4.0227 -4.1912 -4.3517 -4.5038 -4.6488
 -4.7904 -4.9300 -5.0667 -5.1997
 -3.4207 -3.4863 -3.5266 -3.5551 -3.5715 -3.5753 -3.5669 -3.5518 -3.5491 -3.5674
 -3.6039 -3.6543 -3.7139 -3.7792 -3.8478 -4.0223 -4.1915 -4.3532 -4.5068 -4.6529
 -4.7944 -4.9332 -5.0687 -5.2005 -5.3289 -5.4539 -5.5757 -5.6941 -5.8089 -5.9188
 -3.3729 -3.4380 -3.5013 -3.5560 -3.5970 -3.6215 -3.6289 -3.6211 -3.6118 -3.6179
 -3.6419 -3.6807 -3.7307 -3.7886 -3.8519 -4.0212 -4.1904 -4.3530 -4.5079 -4.6552
 -4.7970 -4.9353 -5.0699 -5.2009 -5.3280 -5.4516 -5.5720 -5.6893 -5.8035 -5.9138
 -6.0196
 -3.3383 -3.3930 -3.4512 -3.5111 -3.5678 -3.6165 -3.6527 -3.6709 -3.6713 -3.6739
 -3.6890 -3.7172 -3.7569 -3.8055 -3.8613 -4.0207 -4.1885 -4.3516 -4.5076 -4.6561
 -4.7985 -4.9366 -5.0707 -5.2009 -5.3272 -5.4499 -5.5693 -5.6854 -5.7983 -5.9082
 -6.0144
 -3.3322 -3.3798 -3.4300 -3.4833 -3.5383 -3.5915 -3.6385 -3.6748 -3.6984 -3.7120
 -3.7304 -3.7573 -3.7915 -3.8324 -3.8798 -4.0241 -4.1881 -4.3515 -4.5085 -4.6582
 -4.8015 -4.9397 -5.0736 -5.2034 -5.3293 -5.4514 -5.5701 -5.6855 -5.7976 -5.9065
 -6.0123
 -3.3402 -3.3837 -3.4288 -3.4757 -3.5253 -3.5766 -3.6267 -3.6715 -3.7078 -3.7348
 -3.7586 -3.7868 -3.8211 -3.8603 -3.9035 -4.0306 -4.1858 -4.3481 -4.5056 -4.6562
 -4.8002 -4.9388 -5.0726 -5.2022 -5.3277 -5.4494 -5.5676 -5.6822 -5.7935 -5.9036
 -6.0061
 -3.3524 -3.3956 -3.4375 -3.4802 -3.5249 -3.5721 -3.6207 -3.6683 -3.7122 -3.7500
 -3.7824 -3.8135 -3.8474 -3.8854 -3.9272 -4.0457 -4.1859 -4.3446 -4.5021 -4.6533
 -4.7980 -4.9370 -5.0709 -5.2003 -5.3257 -5.4472 -5.5652 -5.6795 -5.7904 -5.8980
 -5.9959
 -3.3632 -3.4061 -3.4480 -3.4887 -3.5304 -3.5738 -3.6193 -3.6661 -3.7126 -3.7569
 -3.7973 -3.8345 -3.8707 -3.9083 -3.9509 -4.0694 -4.1884 -4.3410 -4.4980
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.2355 -3.2392 -3.2209 -3.1971 -3.1842 -3.1894 -3.2109 -3.2713 -3.3503 -3.4323
 -3.5143 -3.5951 -3.6736 -3.7494 -3.8224 -3.9942 -4.1543 -4.3075 -4.4589
 -3.2984 -3.3048 -3.3044 -3.2971 -3.2838 -3.2681 -3.2640 -3.3013 -3.3688 -3.4460
 -3.5261 -3.6065 -3.6853 -3.7619 -3.8360 -4.0107 -4.1739 -4.3287 -4.4771 -4.6208
 -3.3531 -3.3645 -3.3677 -3.3626 -3.3498 -3.3319 -3.3183 -3.3351 -3.3869 -3.4561
