 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -2.0498 -1.8736 -1.7098 -1.5597 -1.4240 -1.1428 -0.9226 -0.7435 -0.5947 -0.4698
 -0.3648 -0.2755 -0.1977 -0.1284
 -4.1394 -3.8364 -3.5514 -3.2931 -3.0629 -2.8598 -2.6825 -2.5321 -2.4002 -2.2351
 -2.0496 -1.8733 -1.7086 -1.5563 -1.4175 -1.1289 -0.9068 -0.7312 -0.5892 -0.4724
 -0.3752 -0.2927 -0.2208 -0.1566 -0.0980 -0.0446  0.0035  0.0462  0.0812  0.1003
 -4.0839 -3.7948 -3.5185 -3.2606 -3.0268 -2.8182 -2.6280 -2.4512 -2.2915 -2.1536
 -2.0231 -1.8773 -1.7200 -1.5669 -1.4250 -1.1275 -0.8999 -0.7243 -0.5860 -0.4749
 -0.3844 -0.3086 -0.2430 -0.1844 -0.1306 -0.0803 -0.0342  0.0066  0.0416  0.0682
  0.0792
 -4.0386 -3.7621 -3.4960 -3.2430 -3.0081 -2.7954 -2.6039 -2.4270 -2.2603 -2.1044
 -1.9632 -1.8364 -1.7113 -1.5784 -1.4416 -1.1361 -0.9005 -0.7216 -0.5840 -0.4764
 -0.3909 -0.3213 -0.2622 -0.2099 -0.1618 -0.1168 -0.0735 -0.0338  0.0003  0.0270
  0.0452
 -4.0081 -3.7340 -3.4768 -3.2307 -2.9980 -2.7833 -2.5890 -2.4124 -2.2484 -2.0923
 -1.9446 -1.8072 -1.6800 -1.5607 -1.4430 -1.1508 -0.9058 -0.7210 -0.5819 -0.4754
 -0.3930 -0.3282 -0.2755 -0.2300 -0.1886 -0.1496 -0.1129 -0.0793 -0.0487 -0.0210
  0.0042
 -3.9978 -3.7214 -3.4654 -3.2264 -2.9984 -2.7841 -2.5868 -2.4075 -2.2442 -2.0916
 -1.9462 -1.8074 -1.6755 -1.5515 -1.4356 -1.1671 -0.9223 -0.7279 -0.5839 -0.4759
 -0.3941 -0.3319 -0.2838 -0.2446 -0.2102 -0.1782 -0.1479 -0.1187 -0.0909 -0.0652
 -0.0429
 -4.0070 -3.7111 -3.4567 -3.2227 -3.0013 -2.7904 -2.5926 -2.4101 -2.2440 -2.0917
 -1.9495 -1.8140 -1.6835 -1.5580 -1.4389 -1.1745 -0.9413 -0.7415 -0.5893 -0.4774
 -0.3942 -0.3324 -0.2867 -0.2522 -0.2243 -0.1996 -0.1765 -0.1540 -0.1319 -0.1108
 -0.0913
 -4.0366 -3.7172 -3.4522 -3.2186 -3.0010 -2.7958 -2.6017 -2.4187 -2.2495 -2.0944
 -1.9520 -1.8191 -1.6924 -1.5699 -1.4512 -1.1828 -0.9550 -0.7583 -0.5993
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  g   
 -5.2646 -4.8968 -4.4567 -4.0513 -3.6800 -3.3583 -3.0979 -2.8691 -2.6578 -2.4585
 -2.2739 -2.1038 -1.9486 -1.8076 -1.6790 -1.3968 -1.1457 -0.9108 -0.6945
 -4.7482 -4.6440 -4.3482 -3.9637 -3.5971 -3.2609 -2.9824 -2.7457 -2.5317 -2.3323
 -2.1474 -1.9770 -1.8217 -1.6814 -1.5545 -1.2836 -1.0517 -0.8420 -0.6525 -0.4880
 -4.4336 -4.1913 -4.0983 -3.8950 -3.5601 -3.2281 -2.9273 -2.6766 -2.4589 -2.2596
 -2.0748 -1.9039 -1.7473 -1.6056 -1.4778 -1.2097 -0.9883 -0.7948 -0.6239 -0.4754
 -0.3500
 -4.3213 -3.9928 -3.7484 -3.6122 -3.4887 -3.2213 -2.9230 -2.6524 -2.4248 -2.2238
 -2.0393 -1.8678 -1.7097 -1.5656 -1.4354 -1.1646 -0.9475 -0.7639 -0.6058 -0.4698
 -0.3543 -0.2559
 -4.2603 -3.9222 -3.6272 -3.3889 -3.2104 -3.0888 -2.9187 -2.6672 -2.4231 -2.2138
 -2.0288 -1.8571 -1.6975 -1.5509 -1.4175 -1.1402 -0.9229 -0.7446 -0.5951 -0.4685
 -0.3615 -0.2702 -0.1910 -0.1208
 -4.2237 -3.8899 -3.5854 -3.3178 -3.0913 -2.8990 -2.7426 -2.6112 -2.4381 -2.2274
 -2.0355 -1.8634 -1.7027 -1.5536 -1.4169 -1.1308 -0.9096 -0.7330 -0.5889 -0.4694
 -0.3698 -0.2852 -0.2119 -0.1469 -0.0884 -0.0353  0.0129  0.0547  0.0878  0.1082
 -4.2051 -3.8773 -3.5727 -3.2961 -3.0524 -2.8402 -2.6517 -2.4824 -2.3375 -2.2042
 -2.0478 -1.8810 -1.7198 -1.5689 -1.4291 -1.1331 -0.9049 -0.7269 -0.5854 -0.4709
 -0.3774 -0.2992 -0.2321 -0.1726 -0.1188 -0.0695 -0.0250  0.0153  0.0507  0.0770
  0.0879
 -4.1981 -3.8784 -3.5761 -3.2968 -3.0444 -2.8219 -2.6251 -2.4461 -2.2806 -2.1296
 -1.9959 -1.8698 -1.7343 -1.5911 -1.4506 -1.1449 -0.9077 -0.7253 -0.5838 -0.4721
 -0.3829 -0.3103 -0.2494 -0.1962 -0.1481 -0.1036 -0.0613 -0.0226  0.0105  0.0366
  0.0547
 -4.2044 -3.8852 -3.5870 -3.3078 -3.0512 -2.8206 -2.6164 -2.4340 -2.2664 -2.1091
 -1.9625 -1.8291 -1.7069 -1.5879 -1.4648 -1.1624 -0.9153 -0.7261 -0.5823 -0.4713
 -0.3848 -0.3167 -0.2616 -0.2149 -0.1732 -0.1347 -0.0988 -0.0652 -0.0344 -0.0080
  0.0140
 -4.2268 -3.9038 -3.6091 -3.3321 -3.0736 -2.8373 -2.6254 -2.4367 -2.2672 -2.1105
 -1.9628 -1.8238 -1.6942 -1.5733 -1.4595 -1.1851 -0.9333 -0.7347 -0.5854 -0.4725
 -0.3864 -0.3205 -0.2696 -0.2287 -0.1938 -0.1620 -0.1323 -0.1041 -0.0775 -0.0532
 -0.0321
 -4.2653 -3.9283 -3.6341 -3.3608 -3.1040 -2.8650 -2.6468 -2.4507 -2.2755 -2.1170
 -1.9705 -1.8322 -1.7009 -1.5764 -1.4588 -1.1955 -0.9563 -0.7500 -0.5923 -0.4750
 -0.3872 -0.3216 -0.2728 -0.2363 -0.2073 -0.1824 -0.1598 -0.1381 -0.1172 -0.0973
 -0.0787
 -4.3237 -3.9607 -3.6593 -3.3887 -3.1359 -2.8983 -2.6774 -2.4752 -2.2929 -2.1290
 -1.9804 -1.8431 -1.7134 -1.5895 -1.4706 -1.2028 -0.9735 -0.7706 -0.6044
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  g   
 -5.2131 -4.7526 -4.3049 -3.9162 -3.5750 -3.2673 -3.0101 -2.7808 -2.5745 -2.3819
 -2.2031 -2.0385 -1.8881 -1.7517 -1.6278 -1.3591 -1.1244 -0.9055 -0.6983
 -4.8740 -4.6541 -4.2601 -3.8594 -3.5035 -3.1845 -2.9144 -2.6809 -2.4696 -2.2764
 -2.0969 -1.9318 -1.7810 -1.6445 -1.5213 -1.2601 -1.0394 -0.8396 -0.6566 -0.4936
 -4.4546 -4.3213 -4.1828 -3.8490 -3.4872 -3.1595 -2.8714 -2.6275 -2.4130 -2.2185
 -2.0388 -1.8728 -1.7206 -1.5824 -1.4577 -1.1966 -0.9827 -0.7950 -0.6274 -0.4792
 -0.3518
 -4.3307 -4.0179 -3.8435 -3.7505 -3.4958 -3.1733 -2.8739 -2.6122 -2.3898 -2.1933
 -2.0133 -1.8465 -1.6926 -1.5519 -1.4243 -1.1586 -0.9464 -0.7658 -0.6085 -0.4716
 -0.3540 -0.2535
 -4.2940 -3.9397 -3.6509 -3.4472 -3.3296 -3.1741 -2.9045 -2.6329 -2.3943 -2.1909
 -2.0097 -1.8421 -1.6867 -1.5435 -1.4126 -1.1390 -0.9247 -0.7475 -0.5970 -0.4685
 -0.3590 -0.2654 -0.1844 -0.1133
 -4.2891 -3.9259 -3.6059 -3.3385 -3.1269 -2.9666 -2.8410 -2.6610 -2.4272 -2.2085
 -2.0212 -1.8528 -1.6961 -1.5506 -1.4164 -1.1334 -0.9135 -0.7366 -0.5903 -0.4680
 -0.3653 -0.2782 -0.2030 -0.1367 -0.0773 -0.0241  0.0231  0.0646  0.0984  0.1171
 -4.3083 -3.9402 -3.6088 -3.3181 -3.0706 -2.8641 -2.6874 -2.5390 -2.4046 -2.2377
 -2.0463 -1.8740 -1.7163 -1.5689 -1.4318 -1.1387 -0.9109 -0.7313 -0.5867 -0.4686
 -0.3713 -0.2901 -0.2208 -0.1601 -0.1058 -0.0567 -0.0120  0.0277  0.0615  0.0872
  0.0982
 -4.3426 -3.9747 -3.6365 -3.3327 -3.0666 -2.8386 -2.6428 -2.4677 -2.3098 -2.1703
 -2.0387 -1.8936 -1.7428 -1.5952 -1.4561 -1.1534 -0.9158 -0.7309 -0.5856 -0.4695
