 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -5.0717 -4.9115 -4.7526 -4.5998 -4.4561 -4.1340 -3.8534 -3.6241 -3.4463 -3.3040
 -3.1895 -3.1001 -3.0307 -2.9743 -2.9249 -2.8793 -2.8363 -2.7952 -2.7563 -2.7202
 -2.6870
 -6.9116 -6.6787 -6.4729 -6.2837 -6.0956 -5.9093 -5.7234 -5.5413 -5.3683 -5.2065
 -5.0529 -4.9029 -4.7534 -4.6052 -4.4618 -4.1398 -3.8663 -3.6375 -3.4555 -3.3122
 -3.1977 -3.1081 -3.0400 -2.9877 -2.9449 -2.9072 -2.8722 -2.8387 -2.8065 -2.7759
 -2.7475
 -6.8368 -6.5975 -6.3905 -6.2035 -6.0282 -5.8568 -5.6854 -5.5149 -5.3471 -5.1855
 -5.0331 -4.8884 -4.7478 -4.6087 -4.4709 -4.1499 -3.8772 -3.6503 -3.4658
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = BX   
 -8.9767 -8.6853 -8.2504 -7.7974 -7.3594 -6.9796 -6.6821 -6.4172 -6.1671 -5.9339
 -5.7129 -5.5060 -5.3153 -5.1400 -4.9777 -4.6088 -4.2632 -3.9300 -3.6268
 -8.3150 -8.1488 -7.9761 -7.6274 -7.2301 -6.8445 -6.5139 -6.2362 -5.9809 -5.7441
 -5.5199 -5.3105 -5.1183 -4.9437 -4.7842 -4.4326 -4.1183 -3.8260 -3.5594 -3.3310
 -8.0306 -7.6874 -7.4886 -7.3755 -7.1185 -6.7699 -6.4255 -6.1254 -5.8639 -5.6243
 -5.3980 -5.1859 -4.9907 -4.8139 -4.6539 -4.3098 -4.0150 -3.7510 -3.5132 -3.3063
 -3.1347
 -7.8838 -7.5041 -7.1963 -6.9712 -6.8337 -6.6713 -6.3855 -6.0781 -5.8014 -5.5570
 -5.3294 -5.1149 -4.9163 -4.7357 -4.5729 -4.2293 -3.9453 -3.6999 -3.4834 -3.2939
 -3.1347 -3.0020
 -7.7833 -7.4091 -7.0786 -6.7967 -6.5654 -6.3815 -6.2395 -6.0446 -5.7832 -5.5286
 -5.2994 -5.0834 -4.8813 -4.6962 -4.5290 -4.1803 -3.9009 -3.6669 -3.4655 -3.2900
 -3.1413 -3.0172 -2.9114 -2.8189
 -7.7058 -7.3476 -7.0143 -6.7178 -6.4589 -6.2330 -6.0353 -5.8644 -5.7103 -5.5159
 -5.2939 -5.0791 -4.8750 -4.6855 -4.5131 -4.1549 -3.8746 -3.6469 -3.4556 -3.2913
 -3.1519 -3.0354 -2.9366 -2.8499 -2.7722 -2.7015 -2.6360 -2.5744 -2.5200 -2.4868
 -7.6420 -7.3029 -6.9775 -6.6770 -6.4094 -6.1742 -5.9610 -5.7610 -5.5769 -5.4139
 -5.2558 -5.0771 -4.8843 -4.6950 -4.5182 -4.1476 -3.8620 -3.6362 -3.4512 -3.2952
 -3.1636 -3.0541 -2.9620 -2.8818 -2.8096 -2.7434 -2.6826 -2.6269 -2.5759 -2.5327
 -2.5091
 -7.5826 -7.2660 -6.9539 -6.6565 -6.3833 -6.1395 -5.9225 -5.7222 -5.5309 -5.3484
 -5.1795 -5.0239 -4.8687 -4.7041 -4.5351 -4.1554 -3.8606 -3.6327 -3.4505 -3.3001
 -3.1746 -3.0711 -2.9853 -2.9119 -2.8461 -2.7857 -2.7288 -2.6763 -2.6297 -2.5900
 -2.5579
 -7.5294 -7.2276 -6.9324 -6.6440 -6.3703 -6.1202 -5.8967 -5.6955 -5.5078 -5.3266
 -5.1513 -4.9847 -4.8277 -4.6795 -4.5334 -4.1722 -3.8666 -3.6331 -3.4509 -3.3035
 -3.1823 -3.0835 -3.0034 -2.9366 -2.8779 -2.8243 -2.7746 -2.7290 -2.6873 -2.6492
 -2.6144
 -7.4865 -7.1951 -6.9131 -6.6392 -6.3721 -6.1197 -5.8890 -5.6817 -5.4940 -5.3180
 -5.1476 -4.9812 -4.8198 -4.6661 -4.5223 -4.1903 -3.8875 -3.6435 -3.4573 -3.3100
 -3.1906 -3.0943 -3.0179 -2.9566 -2.9049 -2.8586 -2.8160 -2.7759 -2.7384 -2.7039
 -2.6732
 -7.4556 -7.1528 -6.8847 -6.6276 -6.3751 -6.1283 -5.8948 -5.6803 -5.4867 -5.3104
 -5.1450 -4.9849 -4.8275 -4.6733 -4.5256 -4.1979 -3.9105 -3.6621 -3.4678 -3.3177
 -3.1983 -3.1027 -3.0280 -2.9703 -2.9244 -2.8853 -2.8503 -2.8175 -2.7866 -2.7576
 -2.7309
 -7.4407 -7.1195 -6.8488 -6.6035 -6.3653 -6.1325 -5.9066 -5.6903 -5.4901 -5.3079
 -5.1415 -4.9856 -4.8351 -4.6870 -4.5412 -4.2080 -3.9268 -3.6837 -3.4831
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = BX   
 -8.9885 -8.5760 -8.0826 -7.6202 -7.1951 -6.8308 -6.5399 -6.2849 -6.0483 -5.8246
 -5.6146 -5.4177 -5.2355 -5.0684 -4.9145 -4.5687 -4.2498 -3.9416 -3.6496
 -8.3885 -8.2602 -7.9385 -7.5160 -7.1029 -6.7194 -6.4025 -6.1340 -5.8905 -5.6633
 -5.4497 -5.2499 -5.0657 -4.8977 -4.7445 -4.4102 -4.1141 -3.8378 -3.5813 -3.3533
 -8.0278 -7.7453 -7.6357 -7.4169 -7.0538 -6.6818 -6.3371 -6.0482 -5.7969 -5.5661
 -5.3500 -5.1472 -4.9596 -4.7886 -4.6336 -4.3020 -4.0190 -3.7643 -3.5329 -3.3262
 -3.1500
 -7.9006 -7.5173 -7.2399 -7.0880 -6.9531 -6.6637 -6.3303 -6.0184 -5.7521 -5.5157
 -5.2976 -5.0922 -4.9010 -4.7257 -4.5669 -4.2320 -3.9553 -3.7143 -3.5007 -3.3111
 -3.1475 -3.0100
 -7.8348 -7.4373 -7.0977 -6.8308 -6.6347 -6.5004 -6.3123 -6.0309 -5.7490 -5.5005
 -5.2790 -5.0715 -4.8768 -4.6969 -4.5332 -4.1903 -3.9147 -3.6818 -3.4805 -3.3042
 -3.1515 -3.0224 -2.9129 -2.8178
 -7.7963 -7.4038 -7.0488 -6.7431 -6.4902 -6.2784 -6.1050 -5.9562 -5.7584 -5.5144
 -5.2845 -5.0752 -4.8776 -4.6933 -4.5242 -4.1698 -3.8908 -3.6618 -3.4688 -3.3026
 -3.1595 -3.0381 -2.9355 -2.8464 -2.7672 -2.6952 -2.6285 -2.5683 -2.5169 -2.4804
 -7.7741 -7.3928 -7.0361 -6.7153 -6.4377 -6.2001 -5.9906 -5.8011 -5.6356 -5.4797
 -5.2945 -5.0930 -4.8959 -4.7087 -4.5343 -4.1660 -3.8798 -3.6510 -3.4628 -3.3042
 -3.1691 -3.0547 -2.9586 -2.8759 -2.8025 -2.7358 -2.6756 -2.6200 -2.5685 -2.5251
 -2.5013
 -7.7570 -7.3940 -7.0426 -6.7164 -6.4242 -6.1704 -5.9490 -5.7481 -5.5602 -5.3858
 -5.2279 -5.0748 -4.9086 -4.7324 -4.5584 -4.1765 -3.8798 -3.6475 -3.4613 -3.3074
 -3.1784 -3.0702 -2.9802 -2.9039 -2.8368 -2.7760 -2.7193 -2.6674 -2.6212 -2.5817
 -2.5492
 -7.7435 -7.3942 -7.0549 -6.7303 -6.4309 -6.1639 -5.9303 -5.7236 -5.5335 -5.3526
 -5.1810 -5.0213 -4.8717 -4.7244 -4.5719 -4.1965 -3.8872 -3.6483 -3.4612 -3.3098
 -3.1851 -3.0819 -2.9973 -2.9273 -2.8669 -2.8128 -2.7633 -2.7175 -2.6755 -2.6382
 -2.6054
 -7.7341 -7.3954 -7.0725 -6.7572 -6.4569 -6.1811 -5.9351 -5.7183 -5.5248 -5.3454
 -5.1738 -5.0090 -4.8521 -4.7032 -4.5621 -4.2222 -3.9092 -3.6596 -3.4679 -3.3160
 -3.1930 -3.0927 -3.0118 -2.9468 -2.8929 -2.8457 -2.8031 -2.7635 -2.7268 -2.6933
 -2.6634
 -7.7318 -7.3890 -7.0805 -6.7812 -6.4899 -6.2126 -5.9575 -5.7292 -5.5266 -5.3443
 -5.1751 -5.0131 -4.8560 -4.7041 -4.5587 -4.2323 -3.9368 -3.6797 -3.4793 -3.3241
 -3.2006 -3.1013 -3.0223 -2.9608 -2.9121 -2.8717 -2.8363 -2.8038 -2.7736 -2.7455
 -2.7193
 -7.7447 -7.3807 -7.0745 -6.7914 -6.5159 -6.2474 -5.9917 -5.7552 -5.5420 -5.3513
 -5.1791 -5.0192 -4.8662 -4.7172 -4.5716 -4.2396 -3.9564 -3.7056 -3.4968
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = BX   
 -8.9379 -8.4222 -7.9091 -7.4584 -7.0657 -6.7178 -6.4313 -6.1769 -5.9475 -5.7338
 -5.5334 -5.3456 -5.1714 -5.0111 -4.8638 -4.5364 -4.2391 -3.9524 -3.6730
 -8.5251 -8.2780 -7.8473 -7.3961 -6.9884 -6.6232 -6.3168 -6.0532 -5.8145 -5.5974
 -5.3934 -5.2026 -5.0258 -4.8639 -4.7161 -4.3956 -4.1144 -3.8517 -3.6045 -3.3790
 -8.0454 -7.8846 -7.7309 -7.3729 -6.9709 -6.5973 -6.2659 -5.9861 -5.7402 -5.5181
 -5.3114 -5.1177 -4.9376 -4.7724 -4.6219 -4.3006 -4.0279 -3.7810 -3.5546 -3.3494
 -3.1696
 -7.9048 -7.5403 -7.3416 -7.2380 -6.9669 -6.6120 -6.2707 -5.9672 -5.7087 -5.4804
 -5.2710 -5.0744 -4.8908 -4.7214 -4.5667 -4.2395 -3.9697 -3.7326 -3.5206 -3.3311
 -3.1642 -3.0217
 -7.8675 -7.4518 -7.1207 -6.8940 -6.7650 -6.5967 -6.3012 -5.9924 -5.7136 -5.4738
 -5.2601 -5.0610 -4.8741 -4.7003 -4.5406 -4.2036 -3.9323 -3.7007 -3.4985 -3.3211
 -3.1653 -3.0313 -2.9173 -2.8191
 -7.8662 -7.4405 -7.0682 -6.7644 -6.5301 -6.3549 -6.2161 -6.0158 -5.7511 -5.4951
 -5.2711 -5.0691 -4.8793 -4.7014 -4.5365 -4.1870 -3.9103 -3.6807 -3.4852 -3.3166
