 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  y   
 -0.7570 -0.7290 -0.7012 -0.6751 -0.6515 -0.6054 -0.5831 -0.5862 -0.6116 -0.6546
 -0.7073 -0.7623 -0.8165 -0.8697 -0.9210 -0.9718 -1.0238 -1.0785 -1.1358 -1.1932
 -0.7898 -0.8033 -0.7984 -0.7785 -0.7516 -0.7255 -0.7038 -0.6883 -0.6813 -0.6856
 -0.6945 -0.6946 -0.6849 -0.6677 -0.6479 -0.6057 -0.5858 -0.5904 -0.6163 -0.6593
 -0.7131 -0.7705 -0.8272 -0.8824 -0.9363 -0.9881 -1.0394 -1.0920 -1.1473 -1.2058
 -1.2655
 -0.6814 -0.7101 -0.7240 -0.7222 -0.7078 -0.6873 -0.6667 -0.6488 -0.6349 -0.6257
 -0.6222 -0.6234 -0.6282 -0.6311 -0.6286 -0.6026 -0.5850 -0.5910 -0.6172 -0.6602
 -0.7149 -0.7748 -0.8346 -0.8928 -0.9491 -1.0038 -1.0564 -1.1084 -1.1618 -1.2181
 -1.2782
 -0.5664 -0.6059 -0.6346 -0.6503 -0.6526 -0.6444 -0.6306 -0.6157 -0.6024 -0.5914
 -0.5829 -0.5765 -0.5734 -0.5751 -0.5797 -0.5864 -0.5805 -0.5882 -0.6151 -0.6578
 -0.7130 -0.7753 -0.8387 -0.9006 -0.9602 -1.0179 -1.0741 -1.1296 -1.1845 -1.2389
 -1.2927
 -0.4483 -0.4955 -0.5339 -0.5634 -0.5816 -0.5890 -0.5873 -0.5801 -0.5712 -0.5625
 -0.5550 -0.5484 -0.5425 -0.5386 -0.5383 -0.5508 -0.5666 -0.5815 -0.6092 -0.6513
 -0.7059 -0.7694 -0.8361 -0.9021 -0.9658 -1.0271 -1.0865 -1.1438 -1.1997 -1.2547
 -1.3098
 -0.3289 -0.3799 -0.4260 -0.4651 -0.4957 -0.5172 -0.5299 -0.5347 -0.5341 -0.5309
 -0.5270 -0.5232 -0.5194 -0.5157 -0.5130 -0.5190 -0.5409 -0.5681 -0.6001 -0.6423
 -0.6958 -0.7591 -0.8279 -0.8976 -0.9657 -1.0312 -1.0945 -1.1554 -1.2143 -1.2718
 -1.3282
 -0.2080 -0.2628 -0.3140 -0.3598 -0.3991 -0.4314 -0.4564 -0.4741 -0.4853 -0.4910
 -0.4935 -0.4945 -0.4948 -0.4945 -0.4938 -0.4974 -0.5170 -0.5489 -0.5873
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  y   
 -1.4907 -1.4310 -1.3291 -1.2303 -1.1310 -1.0408 -0.9749 -0.9220 -0.8722 -0.8199
