 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.9705 -0.8327 -0.7156 -0.6194 -0.5429 -0.4837 -0.4390 -0.4068 -0.3849 -0.3705
 -0.3617 -0.3586 -0.3607 -0.3643 -0.3651 -0.3398 -0.3023 -0.2808 -0.2764 -0.2878
 -0.3093 -0.3433 -0.3776 -0.4128 -0.4489 -0.4861 -0.5252 -0.5661 -0.6102 -0.6591
 -0.7139
 -0.9330 -0.8101 -0.7000 -0.6092 -0.5356 -0.4773 -0.4315 -0.3959 -0.3692 -0.3498
 -0.3358 -0.3257 -0.3186 -0.3157 -0.3166 -0.3148 -0.2945 -0.2764 -0.2732 -0.2850
 -0.3099 -0.3438 -0.3813 -0.4194 -0.4573 -0.4954 -0.5343 -0.5741 -0.6157 -0.6600
 -0.7087
 -0.8762 -0.7670 -0.6697 -0.5869 -0.5188 -0.4641 -0.4205 -0.3852 -0.3570 -0.3348
 -0.3176 -0.3045 -0.2941 -0.2859 -0.2806 -0.2779 -0.2749 -0.2673 -0.2661 -0.2779
 -0.3027 -0.3380 -0.3787 -0.4206 -0.4619 -0.5023 -0.5424 -0.5824 -0.6230 -0.6649
 -0.7088
 -0.8105 -0.7108 -0.6240 -0.5495 -0.4885 -0.4390 -0.3993 -0.3670 -0.3404 -0.3183
 -0.3003 -0.2859 -0.2743 -0.2649 -0.2571 -0.2471 -0.2467 -0.2499 -0.2551 -0.2678
 -0.2921 -0.3275 -0.3703 -0.4160 -0.4614 -0.5054 -0.5483 -0.5901 -0.6313 -0.6728
 -0.7150
 -0.7446 -0.6500 -0.5693 -0.5015 -0.4461 -0.4016 -0.3663 -0.3379 -0.3147 -0.2952
 -0.2788 -0.2650 -0.2538 -0.2446 -0.2461 -0.2224 -0.2099 -0.2242 -0.2402
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.9379 -1.8375 -1.7447 -1.6508 -1.5512 -1.4265 -1.2565 -1.0464 -0.8679 -0.7398
 -0.6473 -0.5737 -0.5107 -0.4551 -0.4056 -0.3061 -0.2348 -0.1932 -0.1789
 -1.7121 -1.6038 -1.5108 -1.4249 -1.3373 -1.2374 -1.1082 -0.9483 -0.8104 -0.7064
 -0.6279 -0.5633 -0.5062 -0.4549 -0.4090 -0.3172 -0.2538 -0.2162 -0.2029 -0.2104
 -1.5439 -1.4235 -1.3245 -1.2401 -1.1629 -1.0841 -0.9894 -0.8697 -0.7609 -0.6751
 -0.6086 -0.5530 -0.5024 -0.4553 -0.4125 -0.3268 -0.2684 -0.2341 -0.2218 -0.2279
 -0.2481
 -1.4186 -1.2882 -1.1808 -1.0921 -1.0173 -0.9503 -0.8819 -0.7958 -0.7108 -0.6407
 -0.5851 -0.5386 -0.4957 -0.4540 -0.4146 -0.3342 -0.2797 -0.2481 -0.2368 -0.2422
 -0.2609 -0.2884
 -1.2861 -1.1585 -1.0567 -0.9711 -0.8977 -0.8352 -0.7800 -0.7209 -0.6573 -0.6014
 -0.5559 -0.5181 -0.4835 -0.4488 -0.4139 -0.3390 -0.2880 -0.2586 -0.2484 -0.2537
 -0.2715 -0.2981 -0.3302 -0.3667
 -1.2114 -1.0576 -0.9341 -0.8394 -0.7697 -0.7194 -0.6794 -0.6417 -0.5995 -0.5577
 -0.5215 -0.4912 -0.4643 -0.4375 -0.4089 -0.3408 -0.2931 -0.2659 -0.2567 -0.2625
 -0.2801 -0.3064 -0.3380 -0.3733 -0.4120 -0.4542 -0.5004 -0.5513 -0.6065 -0.6607
 -1.1858 -1.0205 -0.8819 -0.7690 -0.6811 -0.6150 -0.5675 -0.5361 -0.5146 -0.4971
 -0.4791 -0.4597 -0.4394 -0.4192 -0.3978 -0.3395 -0.2951 -0.2700 -0.2619 -0.2682
 -0.2861 -0.3129 -0.3450 -0.3803 -0.4180 -0.4582 -0.5013 -0.5478 -0.5986 -0.6538
 -0.7088
 -1.1799 -1.0095 -0.8640 -0.7429 -0.6448 -0.5682 -0.5106 -0.4686 -0.4384 -0.4180
 -0.4068 -0.4024 -0.3987 -0.3912 -0.3787 -0.3341 -0.2940 -0.2709 -0.2639 -0.2708
 -0.2892 -0.3167 -0.3502 -0.3866 -0.4247 -0.4641 -0.5056 -0.5493 -0.5962 -0.6463
 -0.7014
