 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.8812  0.8906  0.8998  0.9073  0.9102  0.9060  0.8910  0.8638  0.8268  0.7827
  0.7350  0.6858  0.6368  0.5882  0.5397  0.4188  0.2986  0.1777  0.0553 -0.0687
  0.8518  0.8576  0.8647  0.8712  0.8751  0.8734  0.8627  0.8409  0.8096  0.7706
  0.7262  0.6786  0.6296  0.5804  0.5310  0.4080  0.2864  0.1659  0.0449 -0.0767
 -0.1978
  0.8175  0.8247  0.8307  0.8359  0.8394  0.8387  0.8315  0.8149  0.7893  0.7560
  0.7164  0.6719  0.6244  0.5753  0.5257  0.4010  0.2780  0.1570  0.0368 -0.0832
 -0.2025 -0.3199
  0.7948  0.7870  0.7759  0.7853  0.7970  0.8022  0.7985  0.7864  0.7658  0.7379
  0.7036  0.6636  0.6191  0.5715  0.5222  0.3968  0.2726  0.1508  0.0307 -0.0885
 -0.2065 -0.3225 -0.4357 -0.5464
  0.7848  0.7616  0.7448  0.7334  0.7282  0.7296  0.7365  0.7414  0.7349  0.7158
  0.6874  0.6523  0.6120  0.5672  0.5193  0.3943  0.2692  0.1466  0.0263 -0.0923
 -0.2096 -0.3248 -0.4370 -0.5464 -0.6533 -0.7580 -0.8611 -0.9629 -1.0630 -1.1589
  0.7828  0.7610  0.7382  0.7163  0.6974  0.6824  0.6707  0.6621  0.6582  0.6579
  0.6520  0.6326  0.6006  0.5606  0.5157  0.3927  0.2672  0.1441  0.0235 -0.0950
 -0.2117 -0.3265 -0.4383 -0.5470 -0.6529 -0.7563 -0.8576 -0.9571 -1.0554 -1.1523
 -1.2456
  0.7829  0.7626  0.7390  0.7134  0.6879  0.6639  0.6423  0.6229  0.6049  0.5892
  0.5781  0.5719  0.5622  0.5410  0.5069  0.3914  0.2663  0.1428  0.0220 -0.0964
 -0.2128 -0.3272 -0.4390 -0.5477 -0.6531 -0.7557 -0.8559 -0.9539 -1.0502 -1.1453
 -1.2394
  0.7759  0.7600  0.7387  0.7136  0.6863  0.6584  0.6312  0.6054  0.5810  0.5576
  0.5352  0.5149  0.4990  0.4864  0.4699  0.3860  0.2645  0.1409  0.0199 -0.0985
 -0.2147 -0.3289 -0.4409 -0.5500 -0.6556 -0.7581 -0.8579 -0.9551 -1.0501 -1.1435
 -1.2358
  0.7586  0.7479  0.7321  0.7103  0.6847  0.6568  0.6280  0.5992  0.5709  0.5433
  0.5161  0.4893  0.4634  0.4397  0.4194  0.3617  0.2628  0.1413  0.0205 -0.0976
 -0.2133 -0.3271 -0.4390 -0.5484 -0.6546 -0.7574 -0.8572 -0.9540 -1.0484 -1.1407
 -1.2313
  0.7316  0.7263  0.7153  0.6991  0.6775  0.6523  0.6249  0.5961  0.5667  0.5371
  0.5073  0.4772  0.4471  0.4173  0.3886  0.3244  0.2469  0.1405  0.0214 -0.0963
 -0.2115 -0.3247 -0.4360 -0.5454 -0.6522 -0.7557 -0.8561 -0.9532 -1.0475 -1.1394
 -1.2291
  0.6979  0.6967  0.6904  0.6790  0.6623  0.6413  0.6171  0.5906  0.5624  0.5330
  0.5026  0.4713  0.4393  0.4068  0.3775  0.2741  0.2168  0.1385  0.0226
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.9484  0.9599  0.9692  0.9746  0.9737  0.9628  0.9388  0.9002  0.8511  0.7978
  0.7443  0.6925  0.6428  0.5944  0.5469  0.4296  0.3120  0.1926  0.0702
  0.9163  0.9269  0.9363  0.9429  0.9439  0.9369  0.9178  0.8845  0.8404  0.7898
  0.7371  0.6848  0.6340  0.5843  0.5355  0.4152  0.2964  0.1778  0.0575 -0.0646
  0.8853  0.8931  0.9012  0.9080  0.9111  0.9077  0.8938  0.8669  0.8288  0.7827
  0.7323  0.6805  0.6292  0.5788  0.5290  0.4062  0.2857  0.1667  0.0476 -0.0723
 -0.1925
  0.8566  0.8612  0.8669  0.8724  0.8760  0.8750  0.8661  0.8455  0.8139  0.7735
  0.7271  0.6773  0.6265  0.5758  0.5255  0.4009  0.2786  0.1588  0.0400 -0.0785
 -0.1968 -0.3139
  0.8137  0.8174  0.8271  0.8355  0.8402  0.8405  0.8347  0.8198  0.7946  0.7604
  0.7193  0.6731  0.6242  0.5741  0.5238  0.3981  0.2744  0.1534  0.0345 -0.0833
 -0.2003 -0.3160 -0.4293 -0.5403
  0.7962  0.7817  0.7734  0.7729  0.7798  0.7900  0.7948  0.7883  0.7703  0.7426
  0.7074  0.6661  0.6205  0.5722  0.5226  0.3969  0.2721  0.1502  0.0308 -0.0868
 -0.2030 -0.3176 -0.4299 -0.5396 -0.6469 -0.7521 -0.8557 -0.9580 -1.0583 -1.1542
  0.7949  0.7744  0.7548  0.7388  0.7276  0.7209  0.7177  0.7173  0.7162  0.7076
  0.6865  0.6539  0.6137  0.5689  0.5211  0.3964  0.2712  0.1484  0.0286 -0.0890
 -0.2047 -0.3187 -0.4304 -0.5394 -0.6457 -0.7496 -0.8514 -0.9516 -1.0504 -1.1475
 -1.2407
  0.7975  0.7758  0.7525  0.7291  0.7072  0.6880  0.6715  0.6564  0.6419  0.6298
  0.6213  0.6113  0.5914  0.5590  0.5172  0.3964  0.2713  0.1480  0.0277 -0.0900
 -0.2055 -0.3192 -0.4305 -0.5393 -0.6451 -0.7482 -0.8490 -0.9477 -1.0447 -1.1402
 -1.2345
  0.7978  0.7782  0.7548  0.7290  0.7021  0.6757  0.6507  0.6272  0.6045  0.5820
  0.5606  0.5425  0.5287  0.5147  0.4928  0.3944  0.2707  0.1470  0.0262 -0.0916
 -0.2071 -0.3207 -0.4321 -0.5410 -0.6469 -0.7499 -0.8502 -0.9481 -1.0438 -1.1378
 -1.2306
  0.7910  0.7752  0.7551  0.7304  0.7028  0.6735  0.6440  0.6152  0.5872  0.5598
  0.5327  0.5060  0.4810  0.4593  0.4408  0.3788  0.2715  0.1487  0.0278 -0.0901
 -0.2054 -0.3187 -0.4299 -0.5390 -0.6454 -0.7485 -0.8488 -0.9463 -1.0413 -1.1343
 -1.2256
  0.7742  0.7637  0.7478  0.7274  0.7019  0.6732  0.6427  0.6116  0.5806  0.5499
  0.5195  0.4891  0.4589  0.4295  0.4020  0.3415  0.2617  0.1501  0.0299 -0.0879
 -0.2030 -0.3158 -0.4268 -0.5358 -0.6425 -0.7463 -0.8471 -0.9448 -1.0397 -1.1323
 -1.2227
  0.7485  0.7430  0.7322  0.7159  0.6950  0.6693  0.6405  0.6099  0.5783  0.5463
  0.5141  0.4815  0.4488  0.4160  0.3764  0.2825  0.2413  0.1512  0.0325
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F150W2
  0.9818  0.9937  1.0028  1.0069  1.0040  0.9901  0.9615  0.9169  0.8623  0.8048
  0.7481  0.6938  0.6421  0.5924  0.5443  0.4270  0.3109  0.1936  0.0734
  0.9509  0.9627  0.9725  0.9784  0.9777  0.9678  0.9447  0.9060  0.8558  0.8001
  0.7436  0.6885  0.6356  0.5847  0.5353  0.4147  0.2969  0.1798  0.0613 -0.0591
  0.9189  0.9289  0.9382  0.9451  0.9473  0.9420  0.9250  0.8933  0.8491  0.7971
  0.7419  0.6867  0.6330  0.5812  0.5307  0.4076  0.2876  0.1697  0.0520 -0.0665
 -0.1858
  0.8893  0.8959  0.9032  0.9096  0.9133  0.9116  0.9007  0.8765  0.8394  0.7927
  0.7405  0.6863  0.6325  0.5801  0.5289  0.4038  0.2819  0.1627  0.0450 -0.0724
 -0.1898 -0.3066
  0.8556  0.8625  0.8686  0.8741  0.8778  0.8779  0.8716  0.8544  0.8248  0.7847
  0.7372  0.6856  0.6327  0.5802  0.5286  0.4023  0.2787  0.1583  0.0401 -0.0768
 -0.1929 -0.3082 -0.4216 -0.5329
  0.8160  0.8111  0.8152  0.8258  0.8360  0.8407  0.8382  0.8269  0.8045  0.7715
  0.7300  0.6826  0.6321  0.5805  0.5290  0.4021  0.2774  0.1558  0.0370 -0.0798
 -0.1952 -0.3093 -0.4216 -0.5315 -0.6391 -0.7448 -0.8489 -0.9519 -1.0524 -1.1483
  0.8070  0.7898  0.7763  0.7691  0.7680  0.7722  0.7786  0.7806  0.7718  0.7499
  0.7168  0.6756  0.6292  0.5798  0.5293  0.4026  0.2774  0.1548  0.0353 -0.0816
 -0.1966 -0.3100 -0.4215 -0.5306 -0.6373 -0.7416 -0.8439 -0.9447 -1.0441 -1.1415
 -1.2346
  0.8080  0.7870  0.7658  0.7467  0.7313  0.7198  0.7110  0.7032  0.6955  0.6873
  0.6750  0.6527  0.6187  0.5759  0.5284  0.4035  0.2782  0.1551  0.0350 -0.0822
 -0.1971 -0.3101 -0.4211 -0.5298 -0.6359 -0.7394 -0.8408 -0.9400 -1.0375 -1.1338
 -1.2283
  0.8117  0.7900  0.7664  0.7420  0.7182  0.6962  0.6763  0.6577  0.6386  0.6187
  0.6001  0.5842  0.5688  0.5476  0.5161  0.4032  0.2785  0.1549  0.0341 -0.0835
 -0.1985 -0.3115 -0.4223 -0.5309 -0.6370 -0.7403 -0.8412 -0.9397 -1.0360 -1.1307
 -1.2241
  0.8123  0.7929  0.7701  0.7444  0.7171  0.6892  0.6619  0.6357  0.6101  0.5842
  0.5577  0.5316  0.5081  0.4881  0.4693  0.3963  0.2805  0.1573  0.0364 -0.0814
 -0.1965 -0.3093 -0.4201 -0.5287 -0.6348 -0.7382 -0.8390 -0.9370 -1.0328 -1.1264
 -1.2184
  0.8057  0.7903  0.7704  0.7467  0.7193  0.6895  0.6585  0.6276  0.5970  0.5669
  0.5368  0.5064  0.4762  0.4475  0.4215  0.3625  0.2769  0.1600  0.0393 -0.0785
 -0.1935 -0.3062 -0.4168 -0.5253 -0.6316 -0.7354 -0.8365 -0.9347 -1.0303 -1.1236
 -1.2148
  0.7897  0.7793  0.7639  0.7435  0.7191  0.6903  0.6589  0.6263  0.5931  0.5600
  0.5271  0.4942  0.4612  0.4283  0.3727  0.3018  0.2677  0.1630  0.0428
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F150W2
  1.0104  1.0224  1.0307  1.0332  1.0274  1.0099  0.9760  0.9246  0.8651  0.8040
  0.7444  0.6874  0.6336  0.5825  0.5334  0.4164  0.3026  0.1884  0.0717
  0.9818  0.9945  1.0041  1.0088  1.0060  0.9926  0.9641  0.9187  0.8627  0.8027
  0.7428  0.6848  0.6297  0.5772  0.5268  0.4062  0.2900  0.1755  0.0600 -0.0575
  0.9501  0.9619  0.9719  0.9785  0.9792  0.9709  0.9495  0.9117  0.8610  0.8036
  0.7443  0.6858  0.6297  0.5761  0.5245  0.4011  0.2823  0.1665  0.0513 -0.0646
 -0.1817
  0.9192  0.9283  0.9372  0.9443  0.9474  0.9439  0.9297  0.9004  0.8570  0.8040
  0.7467  0.6886  0.6318  0.5773  0.5248  0.3990  0.2780  0.1606  0.0451 -0.0700
 -0.1853 -0.3007
  0.8823  0.8959  0.9025  0.9086  0.9126  0.9120  0.9039  0.8832  0.8481  0.8015
  0.7478  0.6913  0.6348  0.5797  0.5264  0.3989  0.2761  0.1571  0.0409 -0.0739
 -0.1881 -0.3019 -0.4146 -0.5256
  0.8457  0.8537  0.8637  0.8712  0.8759  0.8770  0.8727  0.8594  0.8328  0.7939
  0.7458  0.6925  0.6373  0.5823  0.5286  0.3999  0.2758  0.1554  0.0383 -0.0765
 -0.1901 -0.3027 -0.4141 -0.5237 -0.6314 -0.7372 -0.8418 -0.9454 -1.0461 -1.1421
  0.8210  0.8101  0.8064  0.8103  0.8198  0.8292  0.8327  0.8270  0.8096  0.7795
  0.7386  0.6903  0.6381  0.5844  0.5309  0.4014  0.2765  0.1551  0.0371 -0.0780
 -0.1912 -0.3031 -0.4135 -0.5221 -0.6287 -0.7332 -0.8359 -0.9373 -1.0374 -1.1350
 -1.2282
  0.8171  0.7984  0.7816  0.7693  0.7625  0.7601  0.7605  0.7612  0.7572  0.7438
  0.7183  0.6808  0.6350  0.5846  0.5326  0.4034  0.2779  0.1557  0.0370 -0.0785
 -0.1917 -0.3031 -0.4128 -0.5207 -0.6265 -0.7302 -0.8319 -0.9317 -1.0298 -1.1269
 -1.2217
  0.8202  0.7988  0.7767  0.7555  0.7368  0.7215  0.7088  0.6969  0.6837  0.6686
  0.6522  0.6331  0.6078  0.5729  0.5293  0.4044  0.2788  0.1558  0.0362 -0.0799
 -0.1933 -0.3046 -0.4140 -0.5215 -0.6269 -0.7302 -0.8313 -0.9303 -1.0274 -1.1228
 -1.2170
  0.8245  0.8036  0.7799  0.7550  0.7299  0.7057  0.6832  0.6621  0.6407  0.6175
  0.5926  0.5677  0.5445  0.5222  0.4974  0.4042  0.2818  0.1588  0.0387 -0.0779
 -0.1914 -0.3027 -0.4119 -0.5192 -0.6244 -0.7275 -0.8283 -0.9268 -1.0231 -1.1176
 -1.2103
  0.8258  0.8068  0.7847  0.7592  0.7316  0.7030  0.6741  0.6459  0.6181  0.5900
  0.5608  0.5304  0.5001  0.4715  0.4455  0.3796  0.2829  0.1624  0.0422 -0.0748
 -0.1886 -0.2998 -0.4089 -0.5161 -0.6212 -0.7243 -0.8252 -0.9237 -1.0198 -1.1138
 -1.2058
  0.8196  0.8047  0.7853  0.7620  0.7352  0.7053  0.6737  0.6414  0.6088  0.5765
  0.5441  0.5112  0.4778  0.4445  0.3736  0.3306  0.2821  0.1666  0.0467
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =F150W2
  1.0354  1.0474  1.0548  1.0544  1.0437  1.0209  0.9846  0.9339  0.8711  0.8076
  0.7457  0.6864  0.6303  0.5773  0.5272  0.4092  0.2967  0.1846  0.0708
  1.0096  1.0228  1.0322  1.0359  1.0315  1.0152  0.9823  0.9316  0.8716  0.8088
  0.7464  0.6861  0.6288  0.5745  0.5227  0.4010  0.2856  0.1728  0.0597 -0.0554
