 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -0.3797 -0.3313 -0.2910 -0.2558 -0.2237 -0.1940 -0.1667 -0.1416 -0.1193 -0.1034
 -0.0971
 -3.7467 -3.3005 -2.9270 -2.6192 -2.3667 -2.1575 -1.9811 -1.8296 -1.6978 -1.5818
 -1.4781 -1.3836 -1.2963 -1.2152 -1.1378 -0.9429 -0.7643 -0.6248 -0.5192 -0.4393
 -0.3797 -0.3350 -0.3000 -0.2705 -0.2439 -0.2191 -0.1959 -0.1742 -0.1545 -0.1388
 -0.1271
 -3.6722 -3.2696 -2.9217 -2.6273 -2.3802 -2.1722 -1.9945 -1.8401 -1.7041 -1.5830
 -1.4743 -1.3757 -1.2848 -1.2000 -1.1202 -0.9354 -0.7658 -0.6251 -0.5180 -0.4375
 -0.3780 -0.3350 -0.3037 -0.2794 -0.2587 -0.2397 -0.2220 -0.2049 -0.1889 -0.1745
 -0.1613
 -3.5981 -3.2364 -2.9165 -2.6381 -2.3983 -2.1917 -2.0122 -1.8548 -1.7150 -1.5898
 -1.4769 -1.3744 -1.2806 -1.1937 -1.1123 -0.9278 -0.7656 -0.6271 -0.5180 -0.4359
 -0.3753 -0.3322 -0.3024 -0.2818 -0.2664 -0.2535 -0.2419 -0.2305 -0.2195 -0.2090
 -0.1997
 -3.5343 -3.2050 -2.9111 -2.6498 -2.4194 -2.2157 -2.0351 -1.8742 -1.7301 -1.6006
 -1.4835 -1.3772 -1.2764 -1.1874 -1.1141 -0.9201 -0.7637 -0.6308 -0.5192
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.2432 -5.7997 -5.3756 -4.9655 -4.5596 -4.1290 -3.6452 -3.1219 -2.6799 -2.3323
 -2.0647 -1.8540 -1.6794 -1.5310 -1.4012 -1.1338 -0.9189 -0.7357 -0.5773
 -5.8507 -5.3632 -4.9037 -4.4742 -4.0710 -3.6778 -3.2608 -2.8432 -2.4819 -2.1859
 -1.9472 -1.7524 -1.5881 -1.4455 -1.3196 -1.0616 -0.8605 -0.6948 -0.5535 -0.4342
 -5.5278 -5.0304 -4.5589 -4.1213 -3.7214 -3.3553 -3.0002 -2.6528 -2.3454 -2.0858
 -1.8697 -1.6883 -1.5314 -1.3928 -1.2693 -1.0159 -0.8223 -0.6670 -0.5374 -0.4280
 -0.3371
 -5.0595 -4.5869 -4.1845 -3.8106 -3.4513 -3.1143 -2.8018 -2.5069 -2.2405 -2.0095
 -1.8128 -1.6443 -1.4958 -1.3618 -1.2403 -0.9890 -0.7987 -0.6495 -0.5276 -0.4260
 -0.3416 -0.2709
 -4.7528 -4.2110 -3.7583 -3.3859 -3.0862 -2.8433 -2.6134 -2.3782 -2.1517 -1.9468
 -1.7669 -1.6101 -1.4710 -1.3432 -1.2247 -0.9747 -0.7851 -0.6390 -0.5223 -0.4266
 -0.3478 -0.2821 -0.2261 -0.1774
 -4.6275 -4.0239 -3.5257 -3.1267 -2.8079 -2.5520 -2.3453 -2.1759 -2.0292 -1.8805
 -1.7281 -1.5830 -1.4511 -1.3304 -1.2165 -0.9685 -0.7782 -0.6332 -0.5196 -0.4284
 -0.3544 -0.2936 -0.2420 -0.1971 -0.1572 -0.1218 -0.0906 -0.0644 -0.0447 -0.0355
 -4.6064 -3.9729 -3.4446 -3.0203 -2.6852 -2.4184 -2.2024 -2.0240 -1.8755 -1.7547
 -1.6524 -1.5481 -1.4349 -1.3206 -1.2114 -0.9674 -0.7756 -0.6302 -0.5182 -0.4301
 -0.3601 -0.3038 -0.2570 -0.2165 -0.1803 -0.1478 -0.1188 -0.0936 -0.0729 -0.0597
 -0.0574
 -4.6187 -3.9801 -3.4368 -2.9950 -2.6442 -2.3669 -2.1442 -1.9618 -1.8090 -1.6795
 -1.5689 -1.4753 -1.3909 -1.3019 -1.2058 -0.9693 -0.7762 -0.6291 -0.5172 -0.4308
 -0.3637 -0.3113 -0.2693 -0.2337 -0.2022 -0.1735 -0.1476 -0.1244 -0.1046 -0.0893
 -0.0830
 -4.6107 -3.9911 -3.4521 -3.0055 -2.6458 -2.3595 -2.1294 -1.9410 -1.7835 -1.6495
 -1.5331 -1.4307 -1.3401 -1.2590 -1.1803 -0.9698 -0.7772 -0.6279 -0.5152 -0.4293
 -0.3640 -0.3146 -0.2769 -0.2465 -0.2202 -0.1965 -0.1748 -0.1548 -0.1371 -0.1231
 -0.1127
